iter	Passed	Remaining
0	266	106382
1	360	71702
2	460	60877
3	557	55226
4	658	51982
5	756	49652
6	854	47988
7	945	46319
8	1036	45020
9	1136	44307
10	1233	43606
11	1321	42742
12	1409	41956
13	1494	41209
14	1581	40593
15	1703	40877
16	2000	45069
17	2102	44625
18	2204	44203
19	2277	43279
20	2358	42572
21	2445	42025
22	2536	41572
23	2626	41155
24	2707	40608
25	2794	40200
26	2899	40057
27	3125	41524
28	3255	41646
29	3340	41198
30	3420	40719
31	3509	40360
32	3609	40138
33	3699	39826
34	3838	40027
35	4132	41787
36	4496	44114
37	4593	43755
38	4674	43268
39	4759	42833
40	5010	43870
41	5104	43513
42	5239	43500
43	5357	43343
44	5582	44037
45	6145	47292
46	6228	46778
47	6303	46222
48	6387	45754
49	6464	45252
50	6857	46928
51	7061	47255
52	7158	46864
53	7254	46484
54	7360	46170
55	7480	45951
56	7573	45573
57	7675	45256
58	7777	44951
59	7917	44864
60	8049	44736
61	8174	44564
62	8257	44171
63	8335	43761
64	8422	43406
65	8535	43195
66	8685	43166
67	8893	43419
68	9086	43587
69	9169	43227
70	9255	42887
71	9339	42544
72	9474	42442
73	9561	42123
74	9656	41844
75	9742	41532
76	9845	41301
77	9953	41089
78	10045	40818
79	10120	40482
80	10199	40168
81	10282	39874
82	10360	39567
83	10438	39267
84	10512	38957
85	10597	38693
86	10679	38422
87	10763	38162
88	10842	37886
89	10950	37717
90	11087	37648
91	11173	37408
92	11254	37151
93	11339	36913
94	11423	36676
95	11514	36463
96	11598	36230
97	11680	35993
98	11770	35785
99	11892	35677
100	12010	35555
101	12115	35395
102	12221	35240
103	12308	35033
104	12396	34827
105	12476	34604
106	12567	34413
107	12651	34204
108	12731	33989
109	12816	33787
110	12903	33595
111	12995	33418
112	13082	33226
113	13171	33045
114	13254	32847
115	13350	32684
116	13432	32491
117	13500	32263
118	13586	32082
119	13669	31894
120	13754	31714
121	13836	31529
122	13934	31381
123	14021	31209
124	14088	30995
125	14165	30804
126	14247	30625
127	14318	30427
128	14395	30241
129	14474	30062
130	14548	29874
131	14629	29702
132	14711	29533
133	14786	29352
134	14861	29173
135	14950	29021
136	15037	28867
137	15114	28696
138	15191	28524
139	15278	28375
140	15362	28219
141	15464	28097
142	15546	27940
143	15631	27788
144	15722	27649
145	15802	27492
146	15925	27409
147	16064	27353
148	16170	27240
149	16267	27113
150	16360	26978
151	16452	26842
152	16533	26690
153	16619	26547
154	16705	26405
155	16782	26250
156	16864	26102
157	16960	25977
158	17045	25836
159	17154	25732
160	17293	25671
161	17404	25570
162	17500	25444
163	17584	25305
164	17671	25168
165	17761	25037
166	17853	24908
167	17972	24819
168	18074	24705
169	18148	24554
170	18228	24411
171	18299	24257
172	18377	24114
173	18448	23962
174	18516	23806
175	18586	23655
176	18660	23509
177	18740	23372
178	18824	23241
179	18916	23120
180	18994	22982
181	19080	22854
182	19149	22707
183	19221	22564
184	19299	22428
185	19374	22290
186	19453	22158
187	19530	22023
188	19595	21875
189	19661	21730
190	19727	21586
191	19795	21445
192	19862	21303
193	19965	21200
194	20056	21085
195	20137	20959
196	20211	20827
197	20278	20688
198	20355	20560
199	20434	20434
200	20508	20304
201	20584	20177
202	20651	20041
203	20729	19916
204	20798	19784
205	20866	19651
206	20954	19537
207	21039	19420
208	21113	19295
209	21179	19162
210	21245	19030
211	21308	18896
212	21381	18771
213	21452	18645
214	21528	18524
215	21593	18394
216	21666	18271
217	21728	18140
218	21797	18015
219	21865	17889
220	21945	17774
221	22032	17665
222	22101	17542
223	22168	17417
224	22232	17291
225	22297	17167
226	22365	17045
227	22445	16932
228	22519	16815
229	22590	16697
230	22665	16582
231	22733	16462
232	22803	16344
233	22873	16226
234	22959	16120
235	23048	16016
236	23119	15900
237	23184	15781
238	23257	15667
239	23328	15552
240	23392	15433
241	23472	15325
242	23646	15277
243	23730	15172
244	23808	15062
245	23894	14958
246	23996	14863
247	24083	14761
248	24167	14655
249	24246	14547
250	24315	14434
251	24383	14320
252	24452	14207
253	24526	14097
254	24597	13986
255	24675	13879
256	24749	13771
257	24826	13664
258	24899	13555
259	24983	13452
260	25052	13342
261	25125	13234
262	25195	13124
263	25260	13012
264	25330	12904
265	25395	12793
266	25466	12685
267	25529	12574
268	25592	12463
269	25661	12355
270	25732	12249
271	25806	12144
272	25881	12040
273	25967	11941
274	26038	11835
275	26107	11729
276	26169	11620
277	26232	11512
278	26300	11406
279	26359	11296
280	26430	11192
281	26495	11086
282	26561	10981
283	26627	10876
284	26690	10769
285	26753	10664
286	26823	10561
287	26897	10459
288	26973	10359
289	27046	10259
290	27125	10160
291	27195	10058
292	27266	9957
293	27339	9857
294	27411	9756
295	27482	9656
296	27568	9560
297	27649	9464
298	27725	9365
299	27797	9265
300	27875	9168
301	27973	9077
302	28067	8985
303	28144	8887
304	28224	8791
305	28293	8691
306	28371	8594
307	28445	8496
308	28518	8398
309	28607	8305
310	28682	8208
311	28750	8109
312	28817	8009
313	28898	7914
314	28978	7819
315	29053	7722
316	29126	7626
317	29193	7527
318	29266	7431
319	29338	7334
320	29404	7236
321	29476	7140
322	29560	7046
323	29630	6950
324	29697	6853
325	29765	6756
326	29833	6660
327	29911	6565
328	29990	6472
329	30057	6375
330	30125	6279
331	30194	6184
332	30258	6088
333	30326	5992
