Amount,Merchant,Category,CardType,Location,Time,FraudFlag,HighAmountFlag,IsNightTransaction,MerchantRisk,CardRisk
25380,OnlineMall,Luxury,Mastercard,Kano,21:30,0,0,0,1,0
196619,PharmaCare,Groceries,Visa,Ibadan,22:00,0,0,1,0,0
32550,ShopX,Groceries,Visa,Lagos,09:30,0,0,0,0,0
17301,OnlineMall,Gaming,VirtualCard,Kano,21:00,0,0,0,1,1
23233,LuxuryStore,Groceries,Visa,Ibadan,21:30,0,0,0,1,0
29695,OnlineMall,Gaming,Visa,Abuja,08:00,0,0,0,1,0
17099,ShopX,Groceries,Visa,Enugu,00:00,0,0,1,0,0
33318,PharmaCare,Gaming,Visa,Kano,05:00,0,0,1,0,0
6443,PharmaCare,Groceries,Mastercard,Enugu,11:00,0,0,0,0,0
40782,ElectroMart,Travel,Visa,Kano,01:30,0,0,1,0,0
4775,LuxuryStore,Luxury,Visa,Ibadan,17:00,0,0,0,1,0
120112,OnlineMall,Luxury,Visa,Lagos,01:00,0,0,1,1,0
31944,ShopX,Gaming,Visa,Lagos,16:00,0,0,0,0,0
4191,ShopX,Gaming,Visa,Lagos,21:00,0,0,0,0,0
42813,ShopX,Gaming,Visa,Kano,11:00,0,0,0,0,0
106171,OnlineMall,Luxury,Mastercard,PortHarcourt,14:30,0,0,0,1,0
40729,OnlineMall,Travel,Visa,Kano,12:00,0,0,0,1,0
14661,ElectroMart,Gaming,Visa,Abuja,04:30,0,0,1,0,0
33163,ElectroMart,Travel,Visa,Ibadan,05:30,0,0,1,0,0
16389,PharmaCare,Electronics,Mastercard,Lagos,04:00,0,0,1,0,0
1543,LuxuryStore,Healthcare,Mastercard,PortHarcourt,01:30,0,0,1,1,0
853608,OnlineMall,Electronics,Visa,Lagos,11:00,1,1,0,1,0
24503,ElectroMart,Travel,VirtualCard,Abuja,04:00,0,0,1,0,1
37949,ShopY,Healthcare,Visa,Abuja,00:30,0,0,1,0,0
64686,ShopY,Groceries,Mastercard,PortHarcourt,14:30,0,0,0,0,0
193806,ShopX,Electronics,Mastercard,Enugu,17:30,0,0,0,0,0
