feature,importance
AmountToCategoryMedian,0.5539957737366689
Merchant,0.12654601039825014
AmountPercentile,0.08358088927755236
Amount,0.06872556342138648
AmountLog,0.0607198229605007
CardRisk,0.0491668626056858
CardType,0.021557814163399833
RiskScoreComposite,0.010022622103044106
MerchantRisk,0.007876773694081338
SubCategory,0.00601118723936316
Category,0.004496383433707177
AmountZScoreByCategory,0.00408892474936247
Hour,0.0017568892973550796
Location,0.0010334295780011049
IsNightTransaction,0.00040335530528562294
NightHighAmountFlag,1.6584157098852454e-05
HighAmountFlag,1.1138792570376598e-06
