figure,file,exists,bytes,sha256,embedded,caption_present
Figure 1,figures\figure1_experimental_pipeline.png,True,138892,89dc44ae067bb57d8119376a91d177729f2e0748006be6f4510f479b3098f629,True,True
Figure 2,figures\figure2_dataset_version_progression.png,True,89444,c507f8ca20927b284724948253bdeb0541de2dd9f00685c43482cdd232654358,True,True
Figure 3,figures\figure3_class_distribution.png,True,52681,f3d10e9cba3e0a495d96eb514d21484b06a87e8b60c875afda02a4d035e87e7e,True,True
Figure 4,figures\figure4_fraud_f1_comparison.png,True,78390,3c152cd4993a68076de0a71892d999b86018dc5ed3512b79c1d677beec479c66,True,True
Figure 5,figures\figure5_precision_comparison.png,True,66754,f7e24b25e082b6a95608e0dbac94621587a1b1421fd2b45993b86eda8d90c191,True,True
Figure 6,figures\figure6_recall_comparison.png,True,70305,aae8d6c11ea0962d2da1d8ce1f3694ea5f3e464ae2132ec032edde6006e9924f,True,True
Figure 7,figures\figure7_pr_auc_comparison.png,True,65855,c08fe704ebd41b9632dedc0c4bb90a0f6f43325744825f9ac498bf18599cdeeb,True,True
Figure 8,figures\figure8_threshold_optimization_curve.png,True,173554,6d8f53105cca7b773081f897f75c534996fc13fe997c4db99832d4c34a470c31,True,True
Figure 9,figures\figure9_best_tuned_confusion_matrix.png,True,115743,5e1b687f01328085607197407bcc07ff6751e2fe216824635577747fcdff8e0d,True,True
Figure 10,figures\figure10_feature_importance.png,True,135687,d10c252013ff064b1749e488487b3d2ab4fbd9ed5f9e6d2407e6e4be238a5971,True,True
