scope,version,status
table4_no_smote,v1,PASS
table4_no_smote,v2,PASS
table4_no_smote,v3,PASS
table4_no_smote,v4,PASS
table4_no_smote,v5,PASS
table5_smote,v1,PASS
table5_smote,v2,PASS
table5_smote,v3,PASS
table5_smote,v4,PASS
table5_smote,v5,PASS
table6_no_smote_threshold,v1,PASS
table6_smote_threshold,v1,PASS
table6_no_smote_threshold,v2,PASS
table6_smote_threshold,v2,PASS
table6_no_smote_threshold,v3,PASS
table6_smote_threshold,v3,PASS
table6_no_smote_threshold,v4,PASS
table6_smote_threshold,v4,PASS
table6_no_smote_threshold,v5,PASS
table6_smote_threshold,v5,PASS
