pass_number,inline_shapes,media_files,all_expected_hashes_embedded,all_figure_captions_present,all_table_cells_match_csv,status
1,10,10,True,True,True,PASS
2,10,10,True,True,True,PASS
3,10,10,True,True,True,PASS
4,10,10,True,True,True,PASS
5,10,10,True,True,True,PASS
6,10,10,True,True,True,PASS
7,10,10,True,True,True,PASS
8,10,10,True,True,True,PASS
9,10,10,True,True,True,PASS
10,10,10,True,True,True,PASS
11,10,10,True,True,True,PASS
12,10,10,True,True,True,PASS
13,10,10,True,True,True,PASS
14,10,10,True,True,True,PASS
15,10,10,True,True,True,PASS
16,10,10,True,True,True,PASS
17,10,10,True,True,True,PASS
18,10,10,True,True,True,PASS
19,10,10,True,True,True,PASS
20,10,10,True,True,True,PASS
