source_file,exists,rows,columns,feature_list,missing_total,exact_duplicate_rows,fraud_count,legitimate_count,fraud_ratio,invalid_fraudflag_count,missing_amount_count,nonpositive_amount_count,unrealistic_amount_count,amount_min,amount_max,invalid_time_count,time_min,time_max,Merchant_unique,Merchant_blank_or_unknown,Category_unique,Category_blank_or_unknown,CardType_unique,CardType_blank_or_unknown,Location_unique,Location_blank_or_unknown,SubCategory_unique,SubCategory_blank_or_unknown,version,features
data_old\nigeria_credit_card_fraud_dataset_v1.csv,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_old\nigeria_credit_card_fraud_dataset_v2.csv,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_old\nigeria_credit_card_fraud_dataset_v3.csv,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_old\nigeria_credit_card_fraud_dataset_v4.csv,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_old\nigeria_credit_card_fraud_dataset_v5.csv,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data\nigeria_credit_card_fraud_dataset_v1.csv,True,200000.0,7.0,Amount|Merchant|Category|CardType|Location|Time|FraudFlag,0.0,0.0,40361.0,159639.0,0.201805,0.0,0.0,0.0,0.0,103.0,999996.0,0.0,2024-01-01 00:00:00,2024-05-18 21:19:00,16.0,0.0,10.0,0.0,3.0,0.0,18.0,0.0,,,,
data\nigeria_credit_card_fraud_dataset_v2.csv,True,200000.0,6.0,Amount|Merchant|CardType|Location|Time|FraudFlag,0.0,0.0,86825.0,113175.0,0.434125,0.0,0.0,0.0,0.0,119.0,999996.0,0.0,2024-01-01 00:03:00,2024-12-30 23:59:00,13.0,0.0,,,3.0,0.0,14.0,0.0,,,,
data\nigeria_credit_card_fraud_dataset_v3.csv,True,250000.0,11.0,Amount|Merchant|Category|CardType|Location|Time|FraudFlag|HighAmountFlag|IsNightTransaction|MerchantRisk|CardRisk,0.0,0.0,12500.0,237500.0,0.05,0.0,0.0,0.0,0.0,1001.0,499997.0,0.0,2024-01-01 00:00:00,2024-06-22 14:39:00,8.0,0.0,8.0,0.0,4.0,0.0,10.0,0.0,,,,
data\nigeria_credit_card_fraud_dataset_v4.csv,True,250000.0,11.0,Amount|Merchant|Category|CardType|Location|Time|FraudFlag|HighAmountFlag|IsNightTransaction|MerchantRisk|CardRisk,0.0,14.0,50000.0,200000.0,0.2,0.0,0.0,0.0,0.0,500.0,999899.0,0.0,2024-01-01 00:00:00,2024-01-01 23:30:00,6.0,0.0,6.0,0.0,3.0,0.0,6.0,0.0,,,,
data\nigeria_credit_card_fraud_dataset_v5.csv,True,350000.0,11.0,Amount|Merchant|Category|CardType|Location|Time|FraudFlag|HighAmountFlag|IsNightTransaction|MerchantRisk|CardRisk,0.0,156453.0,35000.0,315000.0,0.1,0.0,0.0,0.0,0.0,500.0,999899.0,0.0,2024-01-01 00:00:00,2024-01-01 23:30:00,6.0,0.0,6.0,0.0,3.0,0.0,6.0,0.0,,,,
data\nigeria_credit_card_merged_v3_v4_v5.csv,True,849999.0,11.0,Amount|Merchant|Category|CardType|Location|Time|FraudFlag|HighAmountFlag|IsNightTransaction|MerchantRisk|CardRisk,0.0,350014.0,97500.0,752499.0,0.114706,0.0,0.0,0.0,0.0,500.0,999899.0,0.0,2024-01-01 00:00:00,2024-06-22 14:38:00,14.0,0.0,12.0,0.0,6.0,0.0,11.0,0.0,,,,
data\nigeria_credit_card_master_clean.csv,True,499985.0,11.0,Amount|Merchant|Category|CardType|Location|Time|FraudFlag|HighAmountFlag|IsNightTransaction|MerchantRisk|CardRisk,0.0,0.0,62500.0,437485.0,0.125004,0.0,0.0,0.0,0.0,500.0,999899.0,0.0,2024-01-01 00:00:00,2026-03-29 23:30:00,14.0,0.0,12.0,0.0,6.0,0.0,11.0,0.0,,,,
data\nigeria_credit_card_master_enhanced.csv,True,499985.0,12.0,Amount|Merchant|Category|CardType|Location|Time|FraudFlag|HighAmountFlag|IsNightTransaction|MerchantRisk|CardRisk|SubCategory,0.0,0.0,62500.0,437485.0,0.125004,0.0,0.0,0.0,0.0,500.0,999899.0,0.0,2024-01-01 00:00:00,2026-03-29 23:30:00,14.0,0.0,12.0,0.0,6.0,0.0,11.0,0.0,68.0,0.0,,
data\dataset_v1.csv,True,499985.0,8.0,TransactionID|Amount|Merchant|Category|CardType|Location|Time|FraudFlag,0.0,0.0,62500.0,437485.0,0.125004,0.0,0.0,0.0,0.0,500.0,999899.0,0.0,2024-01-01 00:00:00,2024-06-22 14:38:00,14.0,0.0,12.0,0.0,5.0,0.0,10.0,0.0,,,,
