version,model_name,selection_source_file,evaluation_source_file,selection_split,evaluation_split,selection_mode,min_recall,selection_note,best_threshold,selection_accuracy,selection_precision,selection_recall,selection_f1,selection_tn,selection_fp,selection_fn,selection_tp,accuracy,precision,recall,f1,tn,fp,fn,tp
v1,LogisticRegression,results_multiversion_smoke_research_clean\v1\LogisticRegression_validation_predictions.csv,results_multiversion_smoke_research_clean\v1\LogisticRegression_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.75,0.9535,0.9337016574585635,0.676,0.7842227378190256,1738,12,81,169,0.949,0.9625,0.616,0.751219512195122,1744,6,96,154
v1,DecisionTree,results_multiversion_smoke_research_clean\v1\DecisionTree_validation_predictions.csv,results_multiversion_smoke_research_clean\v1\DecisionTree_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.55,0.9615,0.9942857142857143,0.696,0.8188235294117647,1749,1,76,174,0.958,0.9940476190476191,0.668,0.7990430622009569,1749,1,83,167
v1,RandomForest,results_multiversion_smoke_research_clean\v1\RandomForest_validation_predictions.csv,results_multiversion_smoke_research_clean\v1\RandomForest_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.71,0.9595,0.9246231155778895,0.736,0.8195991091314031,1735,15,66,184,0.953,0.9333333333333333,0.672,0.7813953488372094,1738,12,82,168
v1,XGBoost,results_multiversion_smoke_research_clean\v1\XGBoost_validation_predictions.csv,results_multiversion_smoke_research_clean\v1\XGBoost_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.72,0.9605,0.934010152284264,0.736,0.8232662192393736,1737,13,66,184,0.9545,0.9441340782122905,0.676,0.7878787878787878,1740,10,81,169
v1,CatBoost,results_multiversion_smoke_research_clean\v1\CatBoost_validation_predictions.csv,results_multiversion_smoke_research_clean\v1\CatBoost_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.76,0.955,0.8846153846153846,0.736,0.8034934497816593,1726,24,66,184,0.952,0.9425287356321839,0.656,0.7735849056603773,1740,10,86,164
v2,LogisticRegression,results_multiversion_smoke_research_clean\v2\LogisticRegression_validation_predictions.csv,results_multiversion_smoke_research_clean\v2\LogisticRegression_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.78,0.9545,0.9704142011834319,0.656,0.7828162291169452,1745,5,86,164,0.9485,0.9741935483870968,0.604,0.7456790123456789,1746,4,99,151
v2,DecisionTree,results_multiversion_smoke_research_clean\v2\DecisionTree_validation_predictions.csv,results_multiversion_smoke_research_clean\v2\DecisionTree_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.55,0.9615,0.9942857142857143,0.696,0.8188235294117647,1749,1,76,174,0.958,0.9940476190476191,0.668,0.7990430622009569,1749,1,83,167
v2,RandomForest,results_multiversion_smoke_research_clean\v2\RandomForest_validation_predictions.csv,results_multiversion_smoke_research_clean\v2\RandomForest_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.73,0.96,0.9473684210526315,0.72,0.8181818181818181,1740,10,70,180,0.9535,0.9590643274853801,0.656,0.7790973871733967,1743,7,86,164
v2,XGBoost,results_multiversion_smoke_research_clean\v2\XGBoost_validation_predictions.csv,results_multiversion_smoke_research_clean\v2\XGBoost_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.74,0.9625,0.9629629629629629,0.728,0.8291571753986332,1743,7,68,182,0.9555,0.9653179190751445,0.668,0.789598108747045,1744,6,83,167
v2,CatBoost,results_multiversion_smoke_research_clean\v2\CatBoost_validation_predictions.csv,results_multiversion_smoke_research_clean\v2\CatBoost_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.68,0.9535,0.8552036199095022,0.756,0.802547770700637,1718,32,61,189,0.9485,0.8888888888888888,0.672,0.765375854214123,1729,21,82,168
