threshold,accuracy,precision,recall,f1,tn,fp,fn,tp
0.1,0.2765,0.1473187978786093,1.0,0.25680534155110424,303,1447,0,250
0.11,0.3085,0.15266707541385652,0.996,0.2647527910685805,368,1382,1,249
0.12,0.3265,0.1561128526645768,0.996,0.2699186991869919,404,1346,1,249
0.13,0.3535,0.16070266753415746,0.988,0.27644096250699496,460,1290,3,247
0.14,0.3865,0.167912984364378,0.988,0.28704241719930274,526,1224,3,247
0.15,0.402,0.17152777777777778,0.988,0.2923076923076923,557,1193,3,247
0.16,0.413,0.17372881355932204,0.984,0.2953181272509004,580,1170,4,246
0.17,0.426,0.17697841726618704,0.984,0.30000000000000004,606,1144,4,246
0.18,0.448,0.18181818181818182,0.976,0.3065326633165829,652,1098,6,244
0.19,0.4755,0.1895881895881896,0.976,0.31750162654521796,707,1043,6,244
0.2,0.5245,0.2037193575655114,0.964,0.3363572923935799,808,942,9,241
0.21,0.548,0.20959147424511546,0.944,0.3430232558139535,860,890,14,236
0.22,0.578,0.22086466165413535,0.94,0.3576864535768645,921,829,15,235
0.23,0.612,0.23380566801619435,0.924,0.3731825525040388,993,757,19,231
0.24,0.652,0.25331858407079644,0.916,0.3968804159445407,1075,675,21,229
0.25,0.6835,0.2689987937273824,0.892,0.41334569045412417,1144,606,27,223
0.26,0.705,0.2809278350515464,0.872,0.4249512670565302,1192,558,32,218
0.27,0.752,0.3169642857142857,0.852,0.4620390455531453,1291,459,37,213
0.28,0.7775,0.34248788368336025,0.848,0.4879171461449942,1343,407,38,212
0.29,0.801,0.36971830985915494,0.84,0.5134474327628362,1392,358,40,210
0.3,0.823,0.4,0.832,0.5402597402597402,1438,312,42,208
0.31,0.838,0.42418032786885246,0.828,0.5609756097560975,1469,281,43,207
0.32,0.849,0.44420600858369097,0.828,0.5782122905027933,1491,259,43,207
0.33,0.8575,0.4608501118568233,0.824,0.5911047345767576,1509,241,44,206
0.34,0.8645,0.4756380510440835,0.82,0.6020558002936858,1524,226,45,205
0.35,0.869,0.48578199052132703,0.82,0.6101190476190476,1533,217,45,205
0.36,0.875,0.5,0.82,0.6212121212121212,1545,205,45,205
0.37,0.8795,0.5112781954887218,0.816,0.6286594761171032,1555,195,46,204
0.38,0.8845,0.5244215938303342,0.816,0.6384976525821595,1565,185,46,204
0.39,0.8885,0.5356200527704486,0.812,0.6454689984101749,1574,176,47,203
0.4,0.8925,0.5471698113207547,0.812,0.6537842190016104,1582,168,47,203
0.41,0.8975,0.5630252100840336,0.804,0.6622734761120264,1594,156,49,201
0.42,0.8985,0.5669515669515669,0.796,0.6622296173044926,1598,152,51,199
0.43,0.904,0.5852941176470589,0.796,0.6745762711864407,1609,141,51,199
0.44,0.905,0.5892857142857143,0.792,0.6757679180887373,1612,138,52,198
0.45,0.9075,0.5981873111782477,0.792,0.6815834767641997,1617,133,52,198
0.46,0.9115,0.6130030959752322,0.792,0.6910994764397905,1625,125,52,198
0.47,0.9155,0.6310679611650486,0.78,0.6976744186046512,1636,114,55,195
0.48,0.919,0.6456953642384106,0.78,0.7065217391304348,1643,107,55,195
0.49,0.9235,0.6655290102389079,0.78,0.718232044198895,1652,98,55,195
0.5,0.924,0.6689655172413793,0.776,0.7185185185185186,1654,96,56,194
0.51,0.9245,0.6724738675958188,0.772,0.7188081936685289,1656,94,57,193
0.52,0.926,0.6795774647887324,0.772,0.7228464419475656,1659,91,57,193
0.53,0.9265,0.6819787985865724,0.772,0.724202626641651,1660,90,57,193
0.54,0.929,0.6942446043165468,0.772,0.7310606060606061,1665,85,57,193
0.55,0.93,0.6992753623188406,0.772,0.7338403041825096,1667,83,57,193
0.56,0.933,0.7148148148148148,0.772,0.7423076923076923,1673,77,57,193
0.57,0.934,0.7201492537313433,0.772,0.7451737451737451,1675,75,57,193
0.58,0.934,0.7234848484848485,0.764,0.7431906614785992,1677,73,59,191
0.59,0.936,0.7346153846153847,0.764,0.7490196078431374,1681,69,59,191
0.6,0.937,0.7421875,0.76,0.7509881422924901,1684,66,60,190
0.61,0.938,0.75,0.756,0.7529880478087648,1687,63,61,189
0.62,0.9385,0.7529880478087649,0.756,0.7544910179640718,1688,62,61,189
0.63,0.9385,0.7550200803212851,0.752,0.7535070140280562,1689,61,62,188
0.64,0.94,0.7642276422764228,0.752,0.7580645161290323,1692,58,62,188
0.65,0.9415,0.7736625514403292,0.752,0.7626774847870184,1695,55,62,188
0.66,0.9425,0.7800829875518672,0.752,0.7657841140529531,1697,53,62,188
0.67,0.944,0.7923728813559322,0.748,0.7695473251028805,1701,49,63,187
0.68,0.944,0.7923728813559322,0.748,0.7695473251028805,1701,49,63,187
0.69,0.9455,0.8025751072961373,0.748,0.7743271221532091,1704,46,63,187
0.7,0.9465,0.8095238095238095,0.748,0.7775467775467776,1706,44,63,187
0.71,0.9465,0.8095238095238095,0.748,0.7775467775467776,1706,44,63,187
0.72,0.9485,0.8237885462555066,0.748,0.7840670859538783,1710,40,63,187
0.73,0.9505,0.8416289592760181,0.744,0.7898089171974523,1715,35,64,186
0.74,0.9525,0.8604651162790697,0.74,0.7956989247311828,1720,30,65,185
0.75,0.954,0.8761904761904762,0.736,0.8,1724,26,66,184
0.76,0.955,0.8846153846153846,0.736,0.8034934497816593,1726,24,66,184
0.77,0.954,0.8910891089108911,0.72,0.7964601769911505,1728,22,70,180
0.78,0.954,0.898989898989899,0.712,0.7946428571428571,1730,20,72,178
0.79,0.955,0.9123711340206185,0.708,0.7972972972972973,1733,17,73,177
0.8,0.9535,0.9153439153439153,0.692,0.7881548974943051,1734,16,77,173
0.81,0.953,0.9148936170212766,0.688,0.7853881278538812,1734,16,78,172
0.82,0.954,0.9247311827956989,0.688,0.7889908256880734,1736,14,78,172
0.83,0.955,0.9347826086956522,0.688,0.7926267281105991,1738,12,78,172
0.84,0.956,0.9550561797752809,0.68,0.7943925233644861,1742,8,80,170
0.85,0.957,0.9659090909090909,0.68,0.7981220657276995,1744,6,80,170
0.86,0.954,0.9702380952380952,0.652,0.7799043062200957,1745,5,87,163
0.87,0.954,0.9759036144578314,0.648,0.7788461538461539,1746,4,88,162
0.88,0.9555,0.9938650306748467,0.648,0.784503631961259,1749,1,88,162
0.89,0.955,0.9938271604938271,0.644,0.7815533980582523,1749,1,89,161
0.9,0.9545,0.9937888198757764,0.64,0.7785888077858881,1749,1,90,160
