threshold,accuracy,precision,recall,f1,tn,fp,fn,tp
0.1,0.312,0.15246913580246912,0.988,0.2641711229946524,377,1373,3,247
0.11,0.336,0.15712468193384224,0.988,0.2711306256860593,425,1325,3,247
0.12,0.3565,0.160445317616241,0.98,0.2757456387169387,468,1282,5,245
0.13,0.384,0.16598639455782313,0.976,0.2837209302325581,524,1226,6,244
0.14,0.409,0.17136812411847674,0.972,0.29136690647482016,575,1175,7,243
0.15,0.4385,0.17833456153279292,0.968,0.30118232731798383,635,1115,8,242
0.16,0.4735,0.1855912294440094,0.948,0.3104125736738703,710,1040,13,237
0.17,0.5065,0.1936824605153782,0.932,0.32071576049552647,780,970,17,233
0.18,0.5395,0.20388349514563106,0.924,0.334056399132321,848,902,19,231
0.19,0.5665,0.21302325581395348,0.916,0.3456603773584906,904,846,21,229
0.2,0.5965,0.2228855721393035,0.896,0.35697211155378483,969,781,26,224
0.21,0.633,0.24034334763948498,0.896,0.37901861252115054,1042,708,26,224
0.22,0.6645,0.25608342989571264,0.884,0.3971248876909255,1108,642,29,221
0.23,0.6905,0.27137546468401486,0.876,0.41438032166508987,1162,588,31,219
0.24,0.7155,0.28761651131824234,0.864,0.43156843156843155,1215,535,34,216
0.25,0.748,0.31432748538011696,0.86,0.4603854389721628,1281,469,35,215
0.26,0.778,0.3415032679738562,0.836,0.48491879350348027,1347,403,41,209
0.27,0.8075,0.3770491803278688,0.828,0.5181476846057571,1408,342,43,207
0.28,0.834,0.4166666666666667,0.82,0.5525606469002696,1463,287,45,205
0.29,0.8595,0.46485260770975056,0.82,0.593342981186686,1514,236,45,205
0.3,0.875,0.5,0.812,0.6189024390243902,1547,203,47,203
0.31,0.888,0.5343915343915344,0.808,0.6433121019108281,1574,176,48,202
0.32,0.899,0.5677966101694916,0.804,0.6655629139072848,1597,153,49,201
0.33,0.9085,0.6006006006006006,0.8,0.686106346483705,1617,133,50,200
0.34,0.917,0.6329113924050633,0.8,0.7067137809187279,1634,116,50,200
0.35,0.9235,0.6622073578595318,0.792,0.7213114754098361,1649,101,52,198
0.36,0.9265,0.6769759450171822,0.788,0.7282809611829946,1656,94,53,197
0.37,0.9295,0.6912280701754386,0.788,0.7364485981308411,1662,88,53,197
0.38,0.931,0.7,0.784,0.7396226415094339,1666,84,54,196
0.39,0.933,0.7101449275362319,0.784,0.7452471482889734,1670,80,54,196
0.4,0.9345,0.717948717948718,0.784,0.7495219885277248,1673,77,54,196
0.41,0.9365,0.7286245353159851,0.784,0.7552986512524085,1677,73,54,196
0.42,0.9375,0.7340823970037453,0.784,0.758220502901354,1679,71,54,196
0.43,0.939,0.7424242424242424,0.784,0.7626459143968871,1682,68,54,196
0.44,0.9405,0.752895752895753,0.78,0.7662082514734775,1686,64,55,195
0.45,0.9425,0.766798418972332,0.776,0.7713717693836978,1691,59,56,194
0.46,0.944,0.776,0.776,0.776,1694,56,56,194
0.47,0.945,0.782258064516129,0.776,0.7791164658634537,1696,54,56,194
0.48,0.945,0.7845528455284553,0.772,0.778225806451613,1697,53,57,193
0.49,0.9455,0.7877551020408163,0.772,0.7797979797979798,1698,52,57,193
0.5,0.946,0.7909836065573771,0.772,0.7813765182186235,1699,51,57,193
0.51,0.9475,0.8008298755186722,0.772,0.7861507128309573,1702,48,57,193
0.52,0.949,0.8109243697478992,0.772,0.7909836065573771,1705,45,57,193
0.53,0.9525,0.8384279475982532,0.768,0.8016701461377871,1713,37,58,192
0.54,0.953,0.8451327433628318,0.764,0.8025210084033614,1715,35,59,191
0.55,0.9545,0.8565022421524664,0.764,0.8076109936575053,1718,32,59,191
0.56,0.955,0.8603603603603603,0.764,0.809322033898305,1719,31,59,191
0.57,0.955,0.8603603603603603,0.764,0.809322033898305,1719,31,59,191
0.58,0.956,0.8681818181818182,0.764,0.8127659574468085,1721,29,59,191
0.59,0.956,0.875,0.756,0.8111587982832618,1723,27,61,189
0.6,0.955,0.8738317757009346,0.748,0.8060344827586207,1723,27,63,187
0.61,0.9555,0.8779342723004695,0.748,0.8077753779697624,1724,26,63,187
0.62,0.9555,0.8779342723004695,0.748,0.8077753779697624,1724,26,63,187
0.63,0.956,0.8820754716981132,0.748,0.8095238095238094,1725,25,63,187
0.64,0.9565,0.8862559241706162,0.748,0.8112798264642084,1726,24,63,187
0.65,0.957,0.8904761904761904,0.748,0.8130434782608696,1727,23,63,187
