threshold,accuracy,precision,recall,f1,tn,fp,fn,tp
0.1,0.441,0.18135095447870778,0.988,0.3064516129032258,635,1115,3,247
0.11,0.46,0.18608169440242056,0.984,0.3129770992366412,674,1076,4,246
0.12,0.4795,0.19077404222048475,0.976,0.31916285153695223,715,1035,6,244
0.13,0.502,0.1967479674796748,0.968,0.327027027027027,762,988,8,242
0.14,0.5235,0.2038753159224937,0.968,0.336812804453723,805,945,8,242
0.15,0.54,0.20818815331010454,0.956,0.34191702432045784,841,909,11,239
0.16,0.5525,0.21024258760107817,0.936,0.3433602347762289,871,879,16,234
0.17,0.574,0.21869158878504674,0.936,0.35454545454545455,914,836,16,234
0.18,0.594,0.22665369649805447,0.932,0.3646322378716745,955,795,17,233
0.19,0.6115,0.2341069626639758,0.928,0.3738920225624497,991,759,18,232
0.2,0.626,0.240625,0.924,0.38181818181818183,1021,729,19,231
0.21,0.6425,0.24864864864864866,0.92,0.39148936170212767,1055,695,20,230
0.22,0.6555,0.2547486033519553,0.912,0.3982532751091703,1083,667,22,228
0.23,0.6755,0.26666666666666666,0.912,0.41266968325791853,1123,627,22,228
0.24,0.686,0.27228915662650605,0.904,0.4185185185185185,1146,604,24,226
0.25,0.707,0.2862595419847328,0.9,0.4343629343629344,1189,561,25,225
0.26,0.723,0.2984084880636605,0.9,0.448207171314741,1221,529,25,225
0.27,0.737,0.30939226519337015,0.896,0.459958932238193,1250,500,26,224
0.28,0.751,0.3208092485549133,0.888,0.4713375796178344,1280,470,28,222
0.29,0.762,0.33083832335329344,0.884,0.48148148148148157,1303,447,29,221
0.3,0.775,0.34276729559748426,0.872,0.49209932279909707,1332,418,32,218
0.31,0.7885,0.357495881383855,0.868,0.5064177362893816,1360,390,33,217
0.32,0.7995,0.37005163511187605,0.86,0.5174488567990373,1384,366,35,215
0.33,0.808,0.3807829181494662,0.856,0.5270935960591133,1402,348,36,214
0.34,0.818,0.3940520446096654,0.848,0.5380710659898477,1424,326,38,212
0.35,0.83,0.412109375,0.844,0.5538057742782153,1449,301,39,211
0.36,0.838,0.4251012145748988,0.84,0.5645161290322581,1466,284,40,210
0.37,0.848,0.4427966101694915,0.836,0.5789473684210527,1487,263,41,209
0.38,0.8565,0.458980044345898,0.828,0.5905848787446506,1506,244,43,207
0.39,0.863,0.47235023041474655,0.82,0.5994152046783626,1521,229,45,205
0.4,0.868,0.4834905660377358,0.82,0.6083086053412463,1531,219,45,205
0.41,0.875,0.5,0.82,0.6212121212121212,1545,205,45,205
0.42,0.8805,0.5137844611528822,0.82,0.6317411402157165,1556,194,45,205
0.43,0.887,0.5310880829015544,0.82,0.6446540880503144,1569,181,45,205
0.44,0.8925,0.5466666666666666,0.82,0.6559999999999999,1580,170,45,205
0.45,0.898,0.5631868131868132,0.82,0.6677524429967426,1591,159,45,205
0.46,0.902,0.5767045454545454,0.812,0.6744186046511628,1601,149,47,203
0.47,0.9075,0.5953079178885631,0.812,0.6869712351945854,1612,138,47,203
0.48,0.9135,0.6184615384615385,0.804,0.6991304347826087,1626,124,49,201
0.49,0.916,0.628125,0.804,0.7052631578947369,1631,119,49,201
0.5,0.9195,0.6430868167202572,0.8,0.7130124777183602,1639,111,50,200
0.51,0.9215,0.6534653465346535,0.792,0.7160940325497288,1645,105,52,198
0.52,0.925,0.6700680272108843,0.788,0.724264705882353,1653,97,53,197
0.53,0.9275,0.6816608996539792,0.788,0.7309833024118738,1658,92,53,197
0.54,0.9315,0.7025089605734767,0.784,0.7410207939508506,1667,83,54,196
0.55,0.9355,0.7232472324723247,0.784,0.7523992322456814,1675,75,54,196
0.56,0.9375,0.7340823970037453,0.784,0.758220502901354,1679,71,54,196
0.57,0.9385,0.7414448669201521,0.78,0.760233918128655,1682,68,55,195
0.58,0.9395,0.749034749034749,0.776,0.7622789783889979,1685,65,56,194
0.59,0.9435,0.7729083665338645,0.776,0.7744510978043913,1693,57,56,194
0.6,0.9445,0.7813765182186235,0.772,0.7766599597585513,1696,54,57,193
0.61,0.945,0.7845528455284553,0.772,0.778225806451613,1697,53,57,193
0.62,0.948,0.8041666666666667,0.772,0.7877551020408163,1703,47,57,193
0.63,0.9485,0.8075313807531381,0.772,0.7893660531697343,1704,46,57,193
0.64,0.9505,0.8268398268398268,0.764,0.7941787941787942,1710,40,59,191
0.65,0.952,0.8407079646017699,0.76,0.7983193277310924,1714,36,60,190
0.66,0.953,0.8482142857142857,0.76,0.8016877637130801,1716,34,60,190
0.67,0.9545,0.8597285067873304,0.76,0.8067940552016984,1719,31,60,190
0.68,0.956,0.8715596330275229,0.76,0.8119658119658119,1722,28,60,190
0.69,0.957,0.8796296296296297,0.76,0.8154506437768241,1724,26,60,190
