threshold,accuracy,precision,recall,f1,tn,fp,fn,tp
0.1,0.449,0.18161434977578475,0.972,0.3060453400503778,655,1095,7,243
0.11,0.449,0.18161434977578475,0.972,0.3060453400503778,655,1095,7,243
0.12,0.449,0.18161434977578475,0.972,0.3060453400503778,655,1095,7,243
0.13,0.449,0.18161434977578475,0.972,0.3060453400503778,655,1095,7,243
0.14,0.449,0.18161434977578475,0.972,0.3060453400503778,655,1095,7,243
0.15,0.449,0.18161434977578475,0.972,0.3060453400503778,655,1095,7,243
0.16,0.529,0.20172413793103447,0.936,0.33191489361702126,824,926,16,234
0.17,0.529,0.20172413793103447,0.936,0.33191489361702126,824,926,16,234
0.18,0.529,0.20172413793103447,0.936,0.33191489361702126,824,926,16,234
0.19,0.529,0.20172413793103447,0.936,0.33191489361702126,824,926,16,234
0.2,0.58,0.22011385199240988,0.928,0.35582822085889576,928,822,18,232
0.21,0.58,0.22011385199240988,0.928,0.35582822085889576,928,822,18,232
0.22,0.58,0.22011385199240988,0.928,0.35582822085889576,928,822,18,232
0.23,0.58,0.22011385199240988,0.928,0.35582822085889576,928,822,18,232
0.24,0.58,0.22011385199240988,0.928,0.35582822085889576,928,822,18,232
0.25,0.58,0.22011385199240988,0.928,0.35582822085889576,928,822,18,232
0.26,0.58,0.22011385199240988,0.928,0.35582822085889576,928,822,18,232
0.27,0.58,0.22011385199240988,0.928,0.35582822085889576,928,822,18,232
0.28,0.8825,0.5189873417721519,0.82,0.6356589147286822,1560,190,45,205
0.29,0.8825,0.5189873417721519,0.82,0.6356589147286822,1560,190,45,205
0.3,0.8915,0.5437665782493368,0.82,0.6539074960127591,1578,172,45,205
0.31,0.8915,0.5437665782493368,0.82,0.6539074960127591,1578,172,45,205
0.32,0.8915,0.5437665782493368,0.82,0.6539074960127591,1578,172,45,205
0.33,0.9035,0.5811965811965812,0.816,0.6788685524126455,1603,147,46,204
0.34,0.9395,0.7380073800738007,0.8,0.7677543186180422,1679,71,50,200
0.35,0.9395,0.7380073800738007,0.8,0.7677543186180422,1679,71,50,200
0.36,0.9395,0.7380073800738007,0.8,0.7677543186180422,1679,71,50,200
0.37,0.9395,0.7380073800738007,0.8,0.7677543186180422,1679,71,50,200
0.38,0.9395,0.7380073800738007,0.8,0.7677543186180422,1679,71,50,200
0.39,0.9395,0.7380073800738007,0.8,0.7677543186180422,1679,71,50,200
0.4,0.9395,0.7380073800738007,0.8,0.7677543186180422,1679,71,50,200
0.41,0.9395,0.7380073800738007,0.8,0.7677543186180422,1679,71,50,200
0.42,0.9395,0.7380073800738007,0.8,0.7677543186180422,1679,71,50,200
0.43,0.9395,0.7380073800738007,0.8,0.7677543186180422,1679,71,50,200
0.44,0.9395,0.7380073800738007,0.8,0.7677543186180422,1679,71,50,200
0.45,0.9395,0.7380073800738007,0.8,0.7677543186180422,1679,71,50,200
0.46,0.9395,0.7380073800738007,0.8,0.7677543186180422,1679,71,50,200
0.47,0.9395,0.7380073800738007,0.8,0.7677543186180422,1679,71,50,200
0.48,0.9395,0.7380073800738007,0.8,0.7677543186180422,1679,71,50,200
0.49,0.9395,0.7380073800738007,0.8,0.7677543186180422,1679,71,50,200
0.5,0.9565,0.8590308370044053,0.78,0.8176100628930818,1718,32,55,195
0.51,0.9565,0.8590308370044053,0.78,0.8176100628930818,1718,32,55,195
0.52,0.9565,0.8590308370044053,0.78,0.8176100628930818,1718,32,55,195
0.53,0.9565,0.8590308370044053,0.78,0.8176100628930818,1718,32,55,195
0.54,0.9565,0.8590308370044053,0.78,0.8176100628930818,1718,32,55,195
0.55,0.9565,0.8590308370044053,0.78,0.8176100628930818,1718,32,55,195
0.56,0.9565,0.8590308370044053,0.78,0.8176100628930818,1718,32,55,195
0.57,0.9565,0.8590308370044053,0.78,0.8176100628930818,1718,32,55,195
0.58,0.9565,0.8590308370044053,0.78,0.8176100628930818,1718,32,55,195
0.59,0.9565,0.8590308370044053,0.78,0.8176100628930818,1718,32,55,195
0.6,0.9565,0.8590308370044053,0.78,0.8176100628930818,1718,32,55,195
0.61,0.9565,0.8590308370044053,0.78,0.8176100628930818,1718,32,55,195
0.62,0.9565,0.8590308370044053,0.78,0.8176100628930818,1718,32,55,195
0.63,0.9565,0.8590308370044053,0.78,0.8176100628930818,1718,32,55,195
0.64,0.961,0.8944954128440367,0.78,0.8333333333333334,1727,23,55,195
