threshold,accuracy,precision,recall,f1,tn,fp,fn,tp
0.1,0.4215,0.1763026409707352,0.988,0.2992125984251969,596,1154,3,247
0.11,0.441,0.18088235294117647,0.984,0.30559006211180123,636,1114,4,246
0.12,0.458,0.18456883509833585,0.976,0.3104325699745547,672,1078,6,244
0.13,0.476,0.18973561430793157,0.976,0.3177083333333333,708,1042,6,244
0.14,0.4965,0.19549477071600965,0.972,0.3255190890823844,750,1000,7,243
0.15,0.5165,0.20149875104079934,0.968,0.3335630599586492,791,959,8,242
0.16,0.5365,0.20692640692640693,0.956,0.3402135231316726,834,916,11,239
0.17,0.5585,0.2140921409214092,0.948,0.34929992630803247,880,870,13,237
0.18,0.5855,0.22349570200573066,0.936,0.36083269082498076,937,813,16,234
0.19,0.613,0.23481781376518218,0.928,0.37479806138933763,994,756,18,232
0.2,0.6425,0.247557003257329,0.912,0.3894107600341588,1057,693,22,228
0.21,0.671,0.2633410672853828,0.908,0.408273381294964,1115,635,23,227
0.22,0.6955,0.27812113720642767,0.9,0.42492917847025496,1166,584,25,225
0.23,0.72,0.294973544973545,0.892,0.4433399602385686,1217,533,27,223
0.24,0.75,0.3183139534883721,0.876,0.466950959488273,1281,469,31,219
0.25,0.775,0.34276729559748426,0.872,0.49209932279909707,1332,418,32,218
0.26,0.793,0.3610169491525424,0.852,0.5071428571428572,1373,377,37,213
0.27,0.819,0.39552238805970147,0.848,0.5394402035623409,1426,324,38,212
0.28,0.8385,0.4262626262626263,0.844,0.5664429530201343,1466,284,39,211
0.29,0.855,0.45652173913043476,0.84,0.5915492957746479,1500,250,40,210
0.3,0.8695,0.48711943793911006,0.832,0.6144756277695717,1531,219,42,208
0.31,0.8835,0.5216284987277354,0.82,0.6376360808709176,1562,188,45,205
0.32,0.9005,0.5710306406685237,0.82,0.6732348111658456,1596,154,45,205
0.33,0.91,0.6035502958579881,0.816,0.6938775510204082,1616,134,46,204
0.34,0.92,0.6415094339622641,0.816,0.7183098591549295,1636,114,46,204
0.35,0.924,0.6590909090909091,0.812,0.7275985663082438,1645,105,47,203
0.36,0.9315,0.6941580756013745,0.808,0.7467652495378928,1661,89,48,202
0.37,0.9385,0.730909090909091,0.804,0.7657142857142857,1676,74,49,201
0.38,0.942,0.75,0.804,0.7760617760617761,1683,67,49,201
0.39,0.9455,0.7722007722007722,0.8,0.7858546168958743,1691,59,50,200
0.4,0.9475,0.7843137254901961,0.8,0.792079207920792,1695,55,50,200
0.41,0.949,0.7936507936507936,0.8,0.7968127490039839,1698,52,50,200
0.42,0.95,0.8,0.8,0.8000000000000002,1700,50,50,200
0.43,0.9525,0.8163265306122449,0.8,0.8080808080808082,1705,45,50,200
0.44,0.9535,0.823045267489712,0.8,0.8113590263691685,1707,43,50,200
0.45,0.9545,0.8326359832635983,0.796,0.8139059304703476,1710,40,51,199
0.46,0.9555,0.8396624472573839,0.796,0.8172484599589322,1712,38,51,199
0.47,0.9555,0.8396624472573839,0.796,0.8172484599589322,1712,38,51,199
0.48,0.9565,0.8468085106382979,0.796,0.820618556701031,1714,36,51,199
0.49,0.9575,0.8540772532188842,0.796,0.824016563146998,1716,34,51,199
