version,model_name,selection_source_file,evaluation_source_file,selection_split,evaluation_split,selection_mode,min_recall,selection_note,best_threshold,selection_accuracy,selection_precision,selection_recall,selection_f1,selection_tn,selection_fp,selection_fn,selection_tp,accuracy,precision,recall,f1,tn,fp,fn,tp
v1,LogisticRegression,results_multiversion_smoke_research_clean_smote\v1\LogisticRegression_validation_predictions.csv,results_multiversion_smoke_research_clean_smote\v1\LogisticRegression_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.78,0.9555,0.96,0.672,0.7905882352941176,1743,7,82,168,0.948,0.974025974025974,0.6,0.7425742574257426,1746,4,100,150
v1,DecisionTree,results_multiversion_smoke_research_clean_smote\v1\DecisionTree_validation_predictions.csv,results_multiversion_smoke_research_clean_smote\v1\DecisionTree_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.67,0.9615,0.9942857142857143,0.696,0.8188235294117647,1749,1,76,174,0.958,0.9940476190476191,0.668,0.7990430622009569,1749,1,83,167
v1,RandomForest,results_multiversion_smoke_research_clean_smote\v1\RandomForest_validation_predictions.csv,results_multiversion_smoke_research_clean_smote\v1\RandomForest_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.78,0.9605,1.0,0.684,0.8123515439429928,1750,0,79,171,0.956,1.0,0.648,0.7864077669902912,1750,0,88,162
v1,XGBoost,results_multiversion_smoke_research_clean_smote\v1\XGBoost_validation_predictions.csv,results_multiversion_smoke_research_clean_smote\v1\XGBoost_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.75,0.9635,1.0,0.708,0.82903981264637,1750,0,73,177,0.957,1.0,0.656,0.7922705314009661,1750,0,86,164
v1,CatBoost,results_multiversion_smoke_research_clean_smote\v1\CatBoost_validation_predictions.csv,results_multiversion_smoke_research_clean_smote\v1\CatBoost_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.76,0.9615,0.9675675675675676,0.716,0.8229885057471263,1744,6,71,179,0.957,0.9823529411764705,0.668,0.7952380952380953,1747,3,83,167
v2,LogisticRegression,results_multiversion_smoke_research_clean_smote\v2\LogisticRegression_validation_predictions.csv,results_multiversion_smoke_research_clean_smote\v2\LogisticRegression_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.81,0.955,0.9761904761904762,0.656,0.784688995215311,1746,4,86,164,0.9465,0.9798657718120806,0.584,0.731829573934837,1747,3,104,146
v2,DecisionTree,results_multiversion_smoke_research_clean_smote\v2\DecisionTree_validation_predictions.csv,results_multiversion_smoke_research_clean_smote\v2\DecisionTree_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.56,0.961,0.9886363636363636,0.696,0.8169014084507042,1748,2,76,174,0.957,0.9767441860465116,0.672,0.7962085308056872,1746,4,82,168
v2,RandomForest,results_multiversion_smoke_research_clean_smote\v2\RandomForest_validation_predictions.csv,results_multiversion_smoke_research_clean_smote\v2\RandomForest_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.59,0.957,0.9019607843137255,0.736,0.8105726872246696,1730,20,66,184,0.951,0.9175824175824175,0.668,0.7731481481481481,1735,15,83,167
v2,XGBoost,results_multiversion_smoke_research_clean_smote\v2\XGBoost_validation_predictions.csv,results_multiversion_smoke_research_clean_smote\v2\XGBoost_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.68,0.963,1.0,0.704,0.8262910798122065,1750,0,74,176,0.9565,0.9880239520958084,0.66,0.7913669064748201,1748,2,85,165
v2,CatBoost,results_multiversion_smoke_research_clean_smote\v2\CatBoost_validation_predictions.csv,results_multiversion_smoke_research_clean_smote\v2\CatBoost_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.67,0.962,0.9728260869565217,0.716,0.8248847926267281,1745,5,71,179,0.957,0.9823529411764705,0.668,0.7952380952380953,1747,3,83,167
v3,LogisticRegression,results_multiversion_smoke_research_clean_smote\v3\LogisticRegression_validation_predictions.csv,results_multiversion_smoke_research_clean_smote\v3\LogisticRegression_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.79,0.9565,0.9358288770053476,0.7,0.8009153318077803,1738,12,75,175,0.9475,0.9239766081871345,0.632,0.7505938242280286,1737,13,92,158
