threshold,accuracy,precision,recall,f1,tn,fp,fn,tp
0.1,0.568,0.21415270018621974,0.92,0.34743202416918434,906,844,20,230
0.11,0.6695,0.2602100350058343,0.892,0.40289069557362234,1116,634,27,223
0.12,0.7415,0.3079136690647482,0.856,0.4529100529100529,1269,481,36,214
0.13,0.8085,0.379746835443038,0.84,0.523038605230386,1407,343,40,210
0.14,0.8475,0.44086021505376344,0.82,0.5734265734265734,1490,260,45,205
0.15,0.868,0.4834123222748815,0.816,0.6071428571428571,1532,218,46,204
0.16,0.8845,0.5244215938303342,0.816,0.6384976525821595,1565,185,46,204
0.17,0.8925,0.5471698113207547,0.812,0.6537842190016104,1582,168,47,203
0.18,0.905,0.5872093023255814,0.808,0.6801346801346803,1608,142,48,202
0.19,0.915,0.6234567901234568,0.808,0.7038327526132405,1628,122,48,202
0.2,0.92,0.6442307692307693,0.804,0.7153024911032028,1639,111,49,201
0.21,0.926,0.6711409395973155,0.8,0.72992700729927,1652,98,50,200
0.22,0.9275,0.6791808873720137,0.796,0.7329650092081033,1656,94,51,199
0.23,0.93,0.6909722222222222,0.796,0.7397769516728625,1661,89,51,199
0.24,0.933,0.7056737588652482,0.796,0.7481203007518796,1667,83,51,199
0.25,0.9335,0.7096774193548387,0.792,0.7485822306238186,1669,81,52,198
0.26,0.9345,0.7163636363636363,0.788,0.7504761904761905,1672,78,53,197
0.27,0.9365,0.7286245353159851,0.784,0.7552986512524085,1677,73,54,196
0.28,0.9395,0.7452471482889734,0.784,0.7641325536062379,1683,67,54,196
0.29,0.9395,0.7452471482889734,0.784,0.7641325536062379,1683,67,54,196
0.3,0.941,0.7538461538461538,0.784,0.7686274509803921,1686,64,54,196
0.31,0.943,0.765625,0.784,0.774703557312253,1690,60,54,196
0.32,0.946,0.784,0.784,0.7840000000000001,1696,54,54,196
0.33,0.946,0.7862903225806451,0.78,0.7831325301204819,1697,53,55,195
0.34,0.9465,0.7894736842105263,0.78,0.7847082494969819,1698,52,55,195
0.35,0.947,0.7926829268292683,0.78,0.7862903225806452,1699,51,55,195
0.36,0.9475,0.7959183673469388,0.78,0.7878787878787878,1700,50,55,195
0.37,0.9485,0.8024691358024691,0.78,0.7910750507099392,1702,48,55,195
0.38,0.9485,0.8024691358024691,0.78,0.7910750507099392,1702,48,55,195
0.39,0.9495,0.8091286307053942,0.78,0.7942973523421588,1704,46,55,195
0.4,0.9495,0.8117154811715481,0.776,0.7934560327198364,1705,45,56,194
0.41,0.9495,0.8143459915611815,0.772,0.7926078028747433,1706,44,57,193
0.42,0.9505,0.8212765957446808,0.772,0.7958762886597939,1708,42,57,193
0.43,0.9525,0.8384279475982532,0.768,0.8016701461377871,1713,37,58,192
0.44,0.9525,0.8384279475982532,0.768,0.8016701461377871,1713,37,58,192
0.45,0.952,0.8377192982456141,0.764,0.799163179916318,1713,37,59,191
0.46,0.9525,0.8414096916299559,0.764,0.8008385744234802,1714,36,59,191
0.47,0.9525,0.8444444444444444,0.76,0.8,1715,35,60,190
0.48,0.9525,0.8475336322869955,0.756,0.7991543340380549,1716,34,61,189
0.49,0.956,0.875,0.756,0.8111587982832618,1723,27,61,189
0.5,0.956,0.8785046728971962,0.752,0.8103448275862069,1724,26,62,188
0.51,0.9565,0.8862559241706162,0.748,0.8112798264642084,1726,24,63,187
0.52,0.9565,0.893719806763285,0.74,0.8096280087527352,1728,22,65,185
0.53,0.956,0.8932038834951457,0.736,0.8070175438596492,1728,22,66,184
0.54,0.956,0.8970588235294118,0.732,0.8061674008810573,1729,21,67,183
0.55,0.9565,0.9014778325123153,0.732,0.8079470198675497,1730,20,67,183
0.56,0.9565,0.9014778325123153,0.732,0.8079470198675497,1730,20,67,183
0.57,0.957,0.9183673469387755,0.72,0.8071748878923766,1734,16,70,180
0.58,0.958,0.9278350515463918,0.72,0.8108108108108107,1736,14,70,180
0.59,0.9585,0.9326424870466321,0.72,0.8126410835214447,1737,13,70,180
0.6,0.959,0.9421052631578948,0.716,0.8136363636363637,1739,11,71,179
0.61,0.9595,0.9470899470899471,0.716,0.8154897494305239,1740,10,71,179
0.62,0.9605,0.9572192513368984,0.716,0.8192219679633866,1742,8,71,179
0.63,0.961,0.9623655913978495,0.716,0.8211009174311926,1743,7,71,179
0.64,0.9615,0.9675675675675676,0.716,0.8229885057471263,1744,6,71,179
0.65,0.962,0.9728260869565217,0.716,0.8248847926267281,1745,5,71,179
0.66,0.962,0.9833333333333333,0.708,0.8232558139534883,1747,3,73,177
0.67,0.962,0.9833333333333333,0.708,0.8232558139534883,1747,3,73,177
0.68,0.962,0.9833333333333333,0.708,0.8232558139534883,1747,3,73,177
0.69,0.9625,0.9888268156424581,0.708,0.8251748251748251,1748,2,73,177
0.7,0.963,0.9943820224719101,0.708,0.8271028037383177,1749,1,73,177
0.71,0.963,0.9943820224719101,0.708,0.8271028037383177,1749,1,73,177
0.72,0.963,0.9943820224719101,0.708,0.8271028037383177,1749,1,73,177
0.73,0.963,0.9943820224719101,0.708,0.8271028037383177,1749,1,73,177
0.74,0.963,0.9943820224719101,0.708,0.8271028037383177,1749,1,73,177
0.75,0.9635,1.0,0.708,0.82903981264637,1750,0,73,177
0.76,0.9625,1.0,0.7,0.8235294117647058,1750,0,75,175
0.77,0.9615,1.0,0.692,0.817966903073286,1750,0,77,173
0.78,0.9605,1.0,0.684,0.8123515439429928,1750,0,79,171
0.79,0.9605,1.0,0.684,0.8123515439429928,1750,0,79,171
0.8,0.9605,1.0,0.684,0.8123515439429928,1750,0,79,171
0.81,0.9605,1.0,0.684,0.8123515439429928,1750,0,79,171
0.82,0.9605,1.0,0.684,0.8123515439429928,1750,0,79,171
0.83,0.96,1.0,0.68,0.8095238095238095,1750,0,80,170
0.84,0.96,1.0,0.68,0.8095238095238095,1750,0,80,170
0.85,0.9595,1.0,0.676,0.8066825775656324,1750,0,81,169
0.86,0.9595,1.0,0.676,0.8066825775656324,1750,0,81,169
0.87,0.9585,1.0,0.668,0.8009592326139089,1750,0,83,167
0.88,0.958,1.0,0.664,0.798076923076923,1750,0,84,166
0.89,0.958,1.0,0.664,0.798076923076923,1750,0,84,166
0.9,0.9565,1.0,0.652,0.7893462469733655,1750,0,87,163
