threshold,accuracy,precision,recall,f1,tn,fp,fn,tp
0.1,0.2255,0.13896609227348528,1.0,0.24402147388970233,201,1549,0,250
0.11,0.3105,0.15261538461538462,0.992,0.26453333333333334,373,1377,2,248
0.12,0.345,0.15806451612903225,0.98,0.27222222222222225,445,1305,5,245
0.13,0.3875,0.16678058783321942,0.976,0.2848803269118506,531,1219,6,244
0.14,0.451,0.17927382753403934,0.948,0.30152671755725197,665,1085,13,237
0.15,0.5305,0.20173160173160173,0.932,0.3316725978647687,828,922,17,233
0.16,0.578,0.21714285714285714,0.912,0.3507692307692308,928,822,22,228
0.17,0.638,0.24239130434782608,0.892,0.38119658119658123,1053,697,27,223
0.18,0.7095,0.28366013071895424,0.868,0.42758620689655175,1202,548,33,217
0.19,0.7505,0.3166421207658321,0.86,0.4628632938643702,1286,464,35,215
0.2,0.788,0.35451505016722407,0.848,0.4999999999999999,1364,386,38,212
0.21,0.852,0.4497816593886463,0.824,0.5819209039548022,1498,252,44,206
0.22,0.886,0.5292553191489362,0.796,0.6357827476038339,1573,177,51,199
0.23,0.895,0.5558659217877095,0.796,0.6546052631578948,1591,159,51,199
0.24,0.8985,0.5673352435530086,0.792,0.66110183639399,1599,151,52,198
0.25,0.9035,0.584070796460177,0.792,0.6723259762308998,1609,141,52,198
0.26,0.905,0.5898203592814372,0.788,0.6746575342465754,1613,137,53,197
0.27,0.908,0.600609756097561,0.788,0.6816608996539792,1619,131,53,197
0.28,0.9115,0.6137071651090342,0.788,0.6900175131348512,1626,124,53,197
0.29,0.915,0.6273885350318471,0.788,0.6985815602836879,1633,117,53,197
0.3,0.917,0.635483870967742,0.788,0.7035714285714285,1637,113,53,197
0.31,0.9205,0.6501650165016502,0.788,0.7124773960216999,1644,106,53,197
0.32,0.923,0.6610738255033557,0.788,0.7189781021897811,1649,101,53,197
0.33,0.924,0.6655405405405406,0.788,0.7216117216117216,1651,99,53,197
0.34,0.926,0.6758620689655173,0.784,0.725925925925926,1656,94,54,196
0.35,0.929,0.6901408450704225,0.784,0.7340823970037453,1662,88,54,196
0.36,0.9325,0.7075812274368231,0.784,0.7438330170777988,1669,81,54,196
0.37,0.933,0.7101449275362319,0.784,0.7452471482889734,1670,80,54,196
0.38,0.9345,0.717948717948718,0.784,0.7495219885277248,1673,77,54,196
0.39,0.9365,0.7286245353159851,0.784,0.7552986512524085,1677,73,54,196
0.4,0.9395,0.7452471482889734,0.784,0.7641325536062379,1683,67,54,196
0.41,0.943,0.765625,0.784,0.774703557312253,1690,60,54,196
0.42,0.943,0.7677165354330708,0.78,0.7738095238095238,1691,59,55,195
0.43,0.9435,0.7729083665338645,0.776,0.7744510978043913,1693,57,56,194
0.44,0.9445,0.7836734693877551,0.768,0.7757575757575759,1697,53,58,192
0.45,0.945,0.7868852459016393,0.768,0.7773279352226721,1698,52,58,192
0.46,0.9465,0.7966804979253111,0.768,0.7820773930753564,1701,49,58,192
0.47,0.9465,0.7966804979253111,0.768,0.7820773930753564,1701,49,58,192
0.48,0.949,0.8135593220338984,0.768,0.7901234567901235,1706,44,58,192
0.49,0.949,0.8135593220338984,0.768,0.7901234567901235,1706,44,58,192
0.5,0.949,0.8162393162393162,0.764,0.7892561983471075,1707,43,59,191
0.51,0.9495,0.8225108225108225,0.76,0.7900207900207901,1709,41,60,190
0.52,0.95,0.8260869565217391,0.76,0.7916666666666667,1710,40,60,190
0.53,0.9495,0.8281938325991189,0.752,0.7882599580712788,1711,39,62,188
0.54,0.9495,0.8281938325991189,0.752,0.7882599580712788,1711,39,62,188
0.55,0.9495,0.8311111111111111,0.748,0.7873684210526316,1712,38,63,187
0.56,0.9495,0.8340807174887892,0.744,0.7864693446088794,1713,37,64,186
0.57,0.9505,0.8447488584474886,0.74,0.7889125799573561,1716,34,65,185
0.58,0.953,0.8644859813084113,0.74,0.7974137931034482,1721,29,65,185
0.59,0.9545,0.8767772511848341,0.74,0.8026030368763557,1724,26,65,185
0.6,0.9555,0.8888888888888888,0.736,0.8052516411378555,1727,23,66,184
0.61,0.956,0.8932038834951457,0.736,0.8070175438596492,1728,22,66,184
0.62,0.9575,0.9104477611940298,0.732,0.811529933481153,1732,18,67,183
0.63,0.958,0.915,0.732,0.8133333333333334,1733,17,67,183
0.64,0.9575,0.9187817258883249,0.724,0.8098434004474272,1734,16,69,181
0.65,0.959,0.9329896907216495,0.724,0.8153153153153152,1737,13,69,181
0.66,0.961,0.9623655913978495,0.716,0.8211009174311926,1743,7,71,179
0.67,0.962,0.9728260869565217,0.716,0.8248847926267281,1745,5,71,179
0.68,0.9615,0.9779005524861878,0.708,0.8213457076566125,1746,4,73,177
0.69,0.9615,0.9779005524861878,0.708,0.8213457076566125,1746,4,73,177
