threshold,accuracy,precision,recall,f1,tn,fp,fn,tp
0.1,0.634,0.2386117136659436,0.88,0.37542662116040953,1048,702,30,220
0.11,0.6785,0.2623941958887545,0.868,0.40297121634168986,1140,610,33,217
0.12,0.7255,0.29436038514442914,0.856,0.43807574206755373,1237,513,36,214
0.13,0.763,0.32769230769230767,0.852,0.47333333333333333,1313,437,37,213
0.14,0.799,0.36713286713286714,0.84,0.5109489051094891,1388,362,40,210
0.15,0.8245,0.402321083172147,0.832,0.5423728813559322,1441,309,42,208
0.16,0.8435,0.4336842105263158,0.824,0.5682758620689655,1481,269,44,206
0.17,0.8625,0.47139588100686497,0.824,0.5997088791848617,1519,231,44,206
0.18,0.878,0.5073891625615764,0.824,0.628048780487805,1550,200,44,206
0.19,0.886,0.5287958115183246,0.808,0.6392405063291139,1570,180,48,202
0.2,0.894,0.5521978021978022,0.804,0.6547231270358307,1587,163,49,201
0.21,0.9045,0.5860058309037901,0.804,0.6779089376053963,1608,142,49,201
0.22,0.9105,0.6072507552870091,0.804,0.6919104991394148,1620,130,49,201
0.23,0.918,0.6369426751592356,0.8,0.7092198581560283,1636,114,50,200
0.24,0.923,0.66,0.792,0.7200000000000001,1648,102,52,198
0.25,0.927,0.678082191780822,0.792,0.7306273062730628,1656,94,52,198
0.26,0.932,0.7021276595744681,0.792,0.7443609022556392,1666,84,52,198
0.27,0.9335,0.7096774193548387,0.792,0.7485822306238186,1669,81,52,198
0.28,0.936,0.7226277372262774,0.792,0.7557251908396948,1674,76,52,198
0.29,0.9375,0.7340823970037453,0.784,0.758220502901354,1679,71,54,196
0.3,0.94,0.7480916030534351,0.784,0.7656250000000001,1684,66,54,196
0.31,0.9425,0.7626459143968871,0.784,0.7731755424063116,1689,61,54,196
0.32,0.9435,0.7686274509803922,0.784,0.7762376237623763,1691,59,54,196
0.33,0.944,0.776,0.776,0.776,1694,56,56,194
0.34,0.946,0.7886178861788617,0.776,0.782258064516129,1698,52,56,194
0.35,0.946,0.7909836065573771,0.772,0.7813765182186235,1699,51,57,193
0.36,0.946,0.7909836065573771,0.772,0.7813765182186235,1699,51,57,193
0.37,0.9465,0.7942386831275721,0.772,0.7829614604462476,1700,50,57,193
0.38,0.9465,0.799163179916318,0.764,0.7811860940695297,1702,48,59,191
0.39,0.947,0.8025210084033614,0.764,0.7827868852459017,1703,47,59,191
0.4,0.9475,0.8059071729957806,0.764,0.7843942505133472,1704,46,59,191
0.41,0.9475,0.8059071729957806,0.764,0.7843942505133472,1704,46,59,191
0.42,0.9485,0.8127659574468085,0.764,0.7876288659793814,1706,44,59,191
0.43,0.949,0.8189655172413793,0.76,0.7883817427385893,1708,42,60,190
0.44,0.95,0.8289473684210527,0.756,0.7907949790794979,1711,39,61,189
0.45,0.9495,0.8311111111111111,0.748,0.7873684210526316,1712,38,63,187
0.46,0.95,0.8348214285714286,0.748,0.7890295358649789,1713,37,63,187
0.47,0.9525,0.8538812785388128,0.748,0.7974413646055437,1718,32,63,187
0.48,0.9525,0.8538812785388128,0.748,0.7974413646055437,1718,32,63,187
0.49,0.9525,0.8538812785388128,0.748,0.7974413646055437,1718,32,63,187
0.5,0.953,0.8577981651376146,0.748,0.7991452991452991,1719,31,63,187
0.51,0.953,0.8611111111111112,0.744,0.7982832618025751,1720,30,64,186
0.52,0.9535,0.8685446009389671,0.74,0.7991360691144708,1722,28,65,185
0.53,0.954,0.8726415094339622,0.74,0.800865800865801,1723,27,65,185
0.54,0.955,0.8809523809523809,0.74,0.8043478260869565,1725,25,65,185
0.55,0.9555,0.8851674641148325,0.74,0.8061002178649237,1726,24,65,185
0.56,0.956,0.8894230769230769,0.74,0.8078602620087336,1727,23,65,185
0.57,0.956,0.8894230769230769,0.74,0.8078602620087336,1727,23,65,185
0.58,0.9565,0.893719806763285,0.74,0.8096280087527352,1728,22,65,185
0.59,0.957,0.9019607843137255,0.736,0.8105726872246696,1730,20,66,184
0.6,0.957,0.9019607843137255,0.736,0.8105726872246696,1730,20,66,184
0.61,0.957,0.905940594059406,0.732,0.8097345132743362,1731,19,67,183
0.62,0.957,0.905940594059406,0.732,0.8097345132743362,1731,19,67,183
0.63,0.957,0.9141414141414141,0.724,0.8080357142857142,1733,17,69,181
0.64,0.956,0.9132653061224489,0.716,0.8026905829596412,1733,17,71,179
0.65,0.956,0.9132653061224489,0.716,0.8026905829596412,1733,17,71,179
0.66,0.9555,0.9128205128205128,0.712,0.7999999999999998,1733,17,72,178
0.67,0.9555,0.9128205128205128,0.712,0.7999999999999998,1733,17,72,178
0.68,0.9565,0.9222797927461139,0.712,0.8036117381489841,1735,15,72,178
0.69,0.956,0.921875,0.708,0.8009049773755657,1735,15,73,177
0.7,0.955,0.9210526315789473,0.7,0.7954545454545453,1735,15,75,175
0.71,0.956,0.9308510638297872,0.7,0.7990867579908676,1737,13,75,175
0.72,0.957,0.9408602150537635,0.7,0.8027522935779816,1739,11,75,175
0.73,0.9575,0.9508196721311475,0.696,0.8036951501154734,1741,9,76,174
0.74,0.957,0.9606741573033708,0.684,0.7990654205607476,1743,7,79,171
0.75,0.9565,0.96045197740113,0.68,0.7962529274004685,1743,7,80,170
