threshold,accuracy,precision,recall,f1,tn,fp,fn,tp
0.1,0.4755,0.18715740015661708,0.956,0.31303208906352326,712,1038,11,239
0.11,0.4995,0.19246519246519248,0.94,0.31951053704962606,764,986,15,235
0.12,0.5245,0.19965724078834618,0.932,0.328863796753705,816,934,17,233
0.13,0.544,0.20603907637655416,0.928,0.3372093023255814,856,894,18,232
0.14,0.561,0.21192660550458717,0.924,0.34477611940298514,891,859,19,231
0.15,0.5775,0.21800947867298578,0.92,0.35249042145593873,925,825,20,230
0.16,0.5985,0.2265084075173096,0.916,0.3632038065027756,968,782,21,229
0.17,0.6125,0.2324159021406728,0.912,0.3704305442729488,997,753,22,228
0.18,0.6275,0.23809523809523808,0.9,0.37656903765690375,1030,720,25,225
0.19,0.64,0.2440087145969499,0.896,0.3835616438356164,1056,694,26,224
0.2,0.6535,0.25140291806958476,0.896,0.39263803680981596,1083,667,26,224
0.21,0.669,0.26046511627906976,0.896,0.4036036036036036,1114,636,26,224
0.22,0.6815,0.2682634730538922,0.896,0.4129032258064516,1139,611,26,224
0.23,0.6935,0.27564894932014833,0.892,0.42115203021718606,1164,586,27,223
0.24,0.7065,0.28369704749679076,0.884,0.4295432458697765,1192,558,29,221
0.25,0.7215,0.29506008010680906,0.884,0.4424424424424425,1222,528,29,221
0.26,0.733,0.3044077134986226,0.884,0.4528688524590164,1245,505,29,221
0.27,0.7435,0.3129445234708393,0.88,0.4616998950682057,1267,483,30,220
0.28,0.7565,0.3244444444444444,0.876,0.4735135135135135,1294,456,31,219
0.29,0.766,0.33384146341463417,0.876,0.48344370860927155,1313,437,31,219
0.3,0.773,0.340625,0.872,0.48988764044943817,1328,422,32,218
0.31,0.781,0.34887459807073956,0.868,0.4977064220183486,1345,405,33,217
0.32,0.7885,0.357495881383855,0.868,0.5064177362893816,1360,390,33,217
0.33,0.7985,0.36923076923076925,0.864,0.517365269461078,1381,369,34,216
0.34,0.8055,0.37742504409171074,0.856,0.5238678090575275,1397,353,36,214
0.35,0.814,0.3886861313868613,0.852,0.5338345864661653,1415,335,37,213
0.36,0.818,0.3940520446096654,0.848,0.5380710659898477,1424,326,38,212
0.37,0.8245,0.4038095238095238,0.848,0.5470967741935484,1437,313,38,212
0.38,0.8315,0.41487279843444225,0.848,0.557161629434954,1451,299,38,212
0.39,0.836,0.422,0.844,0.5626666666666666,1461,289,39,211
0.4,0.8405,0.4294478527607362,0.84,0.5683355886332883,1471,279,40,210
0.41,0.8475,0.4418604651162791,0.836,0.5781466113416321,1486,264,41,209
0.42,0.8535,0.45336225596529284,0.836,0.5879043600562588,1498,252,41,209
0.43,0.856,0.4583333333333333,0.836,0.5920679886685553,1503,247,41,209
0.44,0.8645,0.4760820045558087,0.836,0.6066763425253991,1520,230,41,209
0.45,0.8665,0.4804597701149425,0.836,0.6102189781021897,1524,226,41,209
0.46,0.8715,0.491725768321513,0.832,0.6181277860326895,1535,215,42,208
0.47,0.875,0.5,0.824,0.622356495468278,1544,206,44,206
0.48,0.8805,0.513715710723192,0.824,0.6328725038402456,1555,195,44,206
0.49,0.887,0.5310880829015544,0.82,0.6446540880503144,1569,181,45,205
0.5,0.8865,0.5298701298701298,0.816,0.64251968503937,1569,181,46,204
0.51,0.889,0.5372340425531915,0.808,0.645367412140575,1576,174,48,202
0.52,0.8915,0.5444743935309974,0.808,0.6505636070853462,1581,169,48,202
0.53,0.897,0.5614525139664804,0.804,0.6611842105263159,1593,157,49,201
0.54,0.902,0.5775862068965517,0.804,0.6722408026755853,1603,147,49,201
0.55,0.906,0.5911764705882353,0.804,0.6813559322033899,1611,139,49,201
0.56,0.9095,0.6036036036036037,0.804,0.6895368782161235,1618,132,49,201
0.57,0.912,0.6134969325153374,0.8,0.6944444444444445,1624,126,50,200
0.58,0.9145,0.6238244514106583,0.796,0.6994727592267136,1630,120,51,199
0.59,0.918,0.6387096774193548,0.792,0.7071428571428572,1638,112,52,198
0.6,0.9225,0.6588628762541806,0.788,0.7176684881602915,1648,102,53,197
0.61,0.9265,0.6769759450171822,0.788,0.7282809611829946,1656,94,53,197
0.62,0.93,0.6950354609929078,0.784,0.7368421052631579,1664,86,54,196
0.63,0.933,0.7116788321167883,0.78,0.7442748091603054,1671,79,55,195
0.64,0.937,0.7366412213740458,0.772,0.75390625,1681,69,57,193
0.65,0.94,0.7579365079365079,0.764,0.7609561752988048,1689,61,59,191
0.66,0.942,0.7723577235772358,0.76,0.7661290322580646,1694,56,60,190
0.67,0.9445,0.7957446808510639,0.748,0.7711340206185568,1702,48,63,187
0.68,0.948,0.8201754385964912,0.748,0.7824267782426778,1709,41,63,187
0.69,0.9495,0.8401826484018264,0.736,0.7846481876332622,1715,35,66,184
0.7,0.9505,0.847926267281106,0.736,0.7880085653104925,1717,33,66,184
0.71,0.9515,0.8591549295774648,0.732,0.7904967602591793,1720,30,67,183
0.72,0.951,0.861904761904762,0.724,0.7869565217391303,1721,29,69,181
0.73,0.9515,0.8695652173913043,0.72,0.7877461706783369,1723,27,70,180
0.74,0.952,0.8774509803921569,0.716,0.7885462555066078,1725,25,71,179
0.75,0.9525,0.8817733990147784,0.716,0.7902869757174393,1726,24,71,179
0.76,0.9545,0.9035532994923858,0.712,0.796420581655481,1731,19,72,178
0.77,0.955,0.9166666666666666,0.704,0.7963800904977375,1734,16,74,176
0.78,0.9555,0.9259259259259259,0.7,0.7972665148063782,1736,14,75,175
0.79,0.9565,0.9358288770053476,0.7,0.8009153318077803,1738,12,75,175
0.8,0.956,0.9402173913043478,0.692,0.7972350230414745,1739,11,77,173
0.81,0.9555,0.9398907103825137,0.688,0.79445727482679,1739,11,78,172
0.82,0.956,0.945054945054945,0.688,0.7962962962962962,1740,10,78,172
0.83,0.956,0.945054945054945,0.688,0.7962962962962962,1740,10,78,172
0.84,0.956,0.9602272727272727,0.676,0.7934272300469485,1743,7,81,169
0.85,0.956,0.9709302325581395,0.668,0.7914691943127962,1745,5,83,167
0.86,0.955,0.9705882352941176,0.66,0.7857142857142857,1745,5,85,165
0.87,0.9535,0.9757575757575757,0.644,0.7759036144578314,1746,4,89,161
0.88,0.954,0.9817073170731707,0.644,0.7777777777777778,1747,3,89,161
0.89,0.9535,0.9815950920245399,0.64,0.7748184019370461,1747,3,90,160
0.9,0.9505,0.9808917197452229,0.616,0.7567567567567569,1747,3,96,154
