threshold,accuracy,precision,recall,f1,tn,fp,fn,tp
0.1,0.9285,0.6801346801346801,0.808,0.7385740402193784,1655,95,48,202
0.11,0.9285,0.6801346801346801,0.808,0.7385740402193784,1655,95,48,202
0.12,0.9285,0.6801346801346801,0.808,0.7385740402193784,1655,95,48,202
0.13,0.9285,0.6801346801346801,0.808,0.7385740402193784,1655,95,48,202
0.14,0.9285,0.6801346801346801,0.808,0.7385740402193784,1655,95,48,202
0.15,0.9355,0.7137809187279152,0.808,0.7579737335834896,1669,81,48,202
0.16,0.9355,0.7137809187279152,0.808,0.7579737335834896,1669,81,48,202
0.17,0.9355,0.7137809187279152,0.808,0.7579737335834896,1669,81,48,202
0.18,0.9505,0.8106995884773662,0.788,0.7991886409736308,1704,46,53,197
0.19,0.9505,0.8106995884773662,0.788,0.7991886409736308,1704,46,53,197
0.2,0.9505,0.8106995884773662,0.788,0.7991886409736308,1704,46,53,197
0.21,0.9505,0.8106995884773662,0.788,0.7991886409736308,1704,46,53,197
0.22,0.9505,0.8106995884773662,0.788,0.7991886409736308,1704,46,53,197
0.23,0.9505,0.8106995884773662,0.788,0.7991886409736308,1704,46,53,197
0.24,0.9505,0.8106995884773662,0.788,0.7991886409736308,1704,46,53,197
0.25,0.9505,0.8106995884773662,0.788,0.7991886409736308,1704,46,53,197
0.26,0.9505,0.8106995884773662,0.788,0.7991886409736308,1704,46,53,197
0.27,0.9505,0.8106995884773662,0.788,0.7991886409736308,1704,46,53,197
0.28,0.9505,0.8106995884773662,0.788,0.7991886409736308,1704,46,53,197
0.29,0.9505,0.8106995884773662,0.788,0.7991886409736308,1704,46,53,197
0.3,0.959,0.8783783783783784,0.78,0.826271186440678,1723,27,55,195
0.31,0.959,0.8783783783783784,0.78,0.826271186440678,1723,27,55,195
0.32,0.959,0.8783783783783784,0.78,0.826271186440678,1723,27,55,195
0.33,0.959,0.8783783783783784,0.78,0.826271186440678,1723,27,55,195
0.34,0.9625,0.9069767441860465,0.78,0.8387096774193548,1730,20,55,195
0.35,0.9625,0.9069767441860465,0.78,0.8387096774193548,1730,20,55,195
0.36,0.9625,0.9069767441860465,0.78,0.8387096774193548,1730,20,55,195
0.37,0.9625,0.9069767441860465,0.78,0.8387096774193548,1730,20,55,195
0.38,0.9625,0.9069767441860465,0.78,0.8387096774193548,1730,20,55,195
0.39,0.9625,0.9069767441860465,0.78,0.8387096774193548,1730,20,55,195
0.4,0.9625,0.9069767441860465,0.78,0.8387096774193548,1730,20,55,195
0.41,0.9625,0.9069767441860465,0.78,0.8387096774193548,1730,20,55,195
0.42,0.9625,0.9069767441860465,0.78,0.8387096774193548,1730,20,55,195
0.43,0.9625,0.9069767441860465,0.78,0.8387096774193548,1730,20,55,195
0.44,0.9625,0.9069767441860465,0.78,0.8387096774193548,1730,20,55,195
0.45,0.9625,0.9069767441860465,0.78,0.8387096774193548,1730,20,55,195
0.46,0.9625,0.9069767441860465,0.78,0.8387096774193548,1730,20,55,195
0.47,0.9625,0.9069767441860465,0.78,0.8387096774193548,1730,20,55,195
0.48,0.9665,0.9420289855072463,0.78,0.8533916849015317,1738,12,55,195
0.49,0.9665,0.9420289855072463,0.78,0.8533916849015317,1738,12,55,195
0.5,0.9665,0.9420289855072463,0.78,0.8533916849015317,1738,12,55,195
0.51,0.9665,0.9420289855072463,0.78,0.8533916849015317,1738,12,55,195
0.52,0.9665,0.9420289855072463,0.78,0.8533916849015317,1738,12,55,195
0.53,0.9665,0.9420289855072463,0.78,0.8533916849015317,1738,12,55,195
0.54,0.9665,0.9420289855072463,0.78,0.8533916849015317,1738,12,55,195
0.55,0.9665,0.9420289855072463,0.78,0.8533916849015317,1738,12,55,195
0.56,0.9665,0.9420289855072463,0.78,0.8533916849015317,1738,12,55,195
0.57,0.9665,0.9420289855072463,0.78,0.8533916849015317,1738,12,55,195
0.58,0.9665,0.9420289855072463,0.78,0.8533916849015317,1738,12,55,195
0.59,0.9665,0.9420289855072463,0.78,0.8533916849015317,1738,12,55,195
0.6,0.9665,0.9420289855072463,0.78,0.8533916849015317,1738,12,55,195
0.61,0.9665,0.9420289855072463,0.78,0.8533916849015317,1738,12,55,195
0.62,0.9665,0.9420289855072463,0.78,0.8533916849015317,1738,12,55,195
0.63,0.9665,0.9420289855072463,0.78,0.8533916849015317,1738,12,55,195
0.64,0.9665,0.9420289855072463,0.78,0.8533916849015317,1738,12,55,195
0.65,0.9665,0.9420289855072463,0.78,0.8533916849015317,1738,12,55,195
0.66,0.9665,0.9420289855072463,0.78,0.8533916849015317,1738,12,55,195
0.67,0.9665,0.9420289855072463,0.78,0.8533916849015317,1738,12,55,195
0.68,0.9665,0.9420289855072463,0.78,0.8533916849015317,1738,12,55,195
0.69,0.9665,0.9420289855072463,0.78,0.8533916849015317,1738,12,55,195
0.7,0.9665,0.9420289855072463,0.78,0.8533916849015317,1738,12,55,195
0.71,0.9665,0.9420289855072463,0.78,0.8533916849015317,1738,12,55,195
0.72,0.9665,0.9420289855072463,0.78,0.8533916849015317,1738,12,55,195
0.73,0.9675,0.9556650246305419,0.776,0.8565121412803531,1741,9,56,194
0.74,0.9675,0.9556650246305419,0.776,0.8565121412803531,1741,9,56,194
0.75,0.9675,0.9556650246305419,0.776,0.8565121412803531,1741,9,56,194
0.76,0.9675,0.9556650246305419,0.776,0.8565121412803531,1741,9,56,194
0.77,0.9675,0.9556650246305419,0.776,0.8565121412803531,1741,9,56,194
0.78,0.968,0.9603960396039604,0.776,0.8584070796460177,1742,8,56,194
0.79,0.968,0.9603960396039604,0.776,0.8584070796460177,1742,8,56,194
0.8,0.968,0.9603960396039604,0.776,0.8584070796460177,1742,8,56,194
0.81,0.968,0.9603960396039604,0.776,0.8584070796460177,1742,8,56,194
0.82,0.968,0.9603960396039604,0.776,0.8584070796460177,1742,8,56,194
0.83,0.968,0.9603960396039604,0.776,0.8584070796460177,1742,8,56,194
0.84,0.968,0.9603960396039604,0.776,0.8584070796460177,1742,8,56,194
0.85,0.968,0.9603960396039604,0.776,0.8584070796460177,1742,8,56,194
0.86,0.968,0.9603960396039604,0.776,0.8584070796460177,1742,8,56,194
0.87,0.968,0.9603960396039604,0.776,0.8584070796460177,1742,8,56,194
0.88,0.9685,0.9698492462311558,0.772,0.8596881959910914,1744,6,57,193
0.89,0.9685,0.9698492462311558,0.772,0.8596881959910914,1744,6,57,193
0.9,0.9685,0.9698492462311558,0.772,0.8596881959910914,1744,6,57,193
