threshold,accuracy,precision,recall,f1,tn,fp,fn,tp
0.1,0.207,0.13537117903930132,0.992,0.23823246878001922,83,792,1,124
0.11,0.264,0.14435389988358557,0.992,0.2520325203252033,140,735,1,124
0.12,0.293,0.1493975903614458,0.992,0.25968586387434556,169,706,1,124
0.13,0.302,0.1510353227771011,0.992,0.26215644820295986,178,697,1,124
0.14,0.321,0.1546134663341646,0.992,0.2675296655879181,197,678,1,124
0.15,0.35,0.16041397153945666,0.992,0.27616926503340755,226,649,1,124
0.16,0.379,0.16666666666666666,0.992,0.285385500575374,255,620,1,124
0.17,0.393,0.16986301369863013,0.992,0.29005847953216374,269,606,1,124
0.18,0.407,0.17318435754189945,0.992,0.2948870392390012,283,592,1,124
0.19,0.427,0.1781609195402299,0.992,0.3020706455542022,303,572,1,124
0.2,0.458,0.18646616541353384,0.992,0.3139240506329114,334,541,1,124
0.21,0.479,0.19158878504672897,0.984,0.32073011734028684,356,519,2,123
0.22,0.491,0.19329073482428116,0.968,0.322237017310253,370,505,4,121
0.23,0.519,0.20134228187919462,0.96,0.332871012482663,399,476,5,120
0.24,0.543,0.20877192982456141,0.952,0.3424460431654676,424,451,6,119
0.25,0.584,0.2239089184060721,0.944,0.3619631901840491,466,409,7,118
0.26,0.614,0.2331288343558282,0.912,0.3713355048859935,500,375,11,114
0.27,0.638,0.24406047516198703,0.904,0.3843537414965986,525,350,12,113
0.28,0.698,0.2770780856423174,0.88,0.421455938697318,588,287,15,110
0.29,0.733,0.2994350282485876,0.848,0.4425887265135699,627,248,19,106
0.3,0.782,0.34551495016611294,0.832,0.4882629107981221,678,197,21,104
0.31,0.812,0.3837638376383764,0.832,0.5252525252525252,708,167,21,104
0.32,0.824,0.39920948616600793,0.808,0.5343915343915344,723,152,24,101
0.33,0.835,0.4166666666666667,0.8,0.547945205479452,735,140,25,100
0.34,0.852,0.4474885844748858,0.784,0.5697674418604651,754,121,27,98
0.35,0.868,0.4827586206896552,0.784,0.5975609756097561,770,105,27,98
0.36,0.88,0.5133689839572193,0.768,0.6153846153846154,784,91,29,96
0.37,0.894,0.5555555555555556,0.76,0.6418918918918919,799,76,30,95
0.38,0.903,0.5864197530864198,0.76,0.662020905923345,808,67,30,95
0.39,0.906,0.6,0.744,0.6642857142857143,813,62,32,93
0.4,0.916,0.6413793103448275,0.744,0.6888888888888889,823,52,32,93
0.41,0.918,0.6524822695035462,0.736,0.6917293233082706,826,49,33,92
0.42,0.92,0.6618705035971223,0.736,0.6969696969696969,828,47,33,92
0.43,0.923,0.6764705882352942,0.736,0.7049808429118775,831,44,33,92
0.44,0.925,0.6865671641791045,0.736,0.7104247104247104,833,42,33,92
0.45,0.929,0.7076923076923077,0.736,0.7215686274509805,837,38,33,92
0.46,0.932,0.7244094488188977,0.736,0.7301587301587301,840,35,33,92
0.47,0.931,0.7222222222222222,0.728,0.7250996015936256,840,35,34,91
0.48,0.936,0.7520661157024794,0.728,0.7398373983739837,845,30,34,91
0.49,0.938,0.7647058823529411,0.728,0.7459016393442623,847,28,34,91
0.5,0.94,0.7777777777777778,0.728,0.7520661157024793,849,26,34,91
0.51,0.942,0.7913043478260869,0.728,0.7583333333333333,851,24,34,91
0.52,0.943,0.7982456140350878,0.728,0.7615062761506276,852,23,34,91
0.53,0.942,0.7964601769911505,0.72,0.7563025210084032,852,23,35,90
0.54,0.943,0.8035714285714286,0.72,0.759493670886076,853,22,35,90
0.55,0.944,0.8165137614678899,0.712,0.7606837606837606,855,20,36,89
0.56,0.944,0.8165137614678899,0.712,0.7606837606837606,855,20,36,89
0.57,0.944,0.822429906542056,0.704,0.7586206896551725,856,19,37,88
0.58,0.945,0.8301886792452831,0.704,0.7619047619047619,857,18,37,88
0.59,0.945,0.8301886792452831,0.704,0.7619047619047619,857,18,37,88
0.6,0.946,0.8380952380952381,0.704,0.7652173913043478,858,17,37,88
0.61,0.946,0.8380952380952381,0.704,0.7652173913043478,858,17,37,88
0.62,0.945,0.8365384615384616,0.696,0.759825327510917,858,17,38,87
0.63,0.946,0.8446601941747572,0.696,0.7631578947368421,859,16,38,87
0.64,0.946,0.8446601941747572,0.696,0.7631578947368421,859,16,38,87
0.65,0.946,0.8446601941747572,0.696,0.7631578947368421,859,16,38,87
0.66,0.946,0.8446601941747572,0.696,0.7631578947368421,859,16,38,87
0.67,0.946,0.8446601941747572,0.696,0.7631578947368421,859,16,38,87
0.68,0.949,0.87,0.696,0.7733333333333333,862,13,38,87
0.69,0.949,0.87,0.696,0.7733333333333333,862,13,38,87
0.7,0.949,0.87,0.696,0.7733333333333333,862,13,38,87
0.71,0.948,0.8686868686868687,0.688,0.7678571428571429,862,13,39,86
0.72,0.949,0.8775510204081632,0.688,0.7713004484304932,863,12,39,86
0.73,0.95,0.8865979381443299,0.688,0.7747747747747747,864,11,39,86
0.74,0.95,0.8865979381443299,0.688,0.7747747747747747,864,11,39,86
0.75,0.952,0.9052631578947369,0.688,0.7818181818181819,866,9,39,86
0.76,0.953,0.9239130434782609,0.68,0.783410138248848,868,7,40,85
0.77,0.953,0.9333333333333333,0.672,0.7813953488372094,869,6,41,84
0.78,0.953,0.9333333333333333,0.672,0.7813953488372094,869,6,41,84
0.79,0.953,0.9333333333333333,0.672,0.7813953488372094,869,6,41,84
0.8,0.955,0.9545454545454546,0.672,0.7887323943661971,871,4,41,84
0.81,0.954,0.9759036144578314,0.648,0.7788461538461539,873,2,44,81
0.82,0.953,0.9875,0.632,0.7707317073170732,874,1,46,79
0.83,0.954,1.0,0.632,0.7745098039215685,875,0,46,79
0.84,0.954,1.0,0.632,0.7745098039215685,875,0,46,79
0.85,0.954,1.0,0.632,0.7745098039215685,875,0,46,79
0.86,0.952,1.0,0.616,0.7623762376237623,875,0,48,77
0.87,0.952,1.0,0.616,0.7623762376237623,875,0,48,77
0.88,0.95,1.0,0.6,0.7499999999999999,875,0,50,75
0.89,0.948,1.0,0.584,0.7373737373737373,875,0,52,73
0.9,0.947,1.0,0.576,0.730964467005076,875,0,53,72
