threshold,accuracy,precision,recall,f1,tn,fp,fn,tp
0.1,0.367,0.16133333333333333,0.968,0.2765714285714286,246,629,4,121
0.11,0.367,0.16133333333333333,0.968,0.2765714285714286,246,629,4,121
0.12,0.367,0.16133333333333333,0.968,0.2765714285714286,246,629,4,121
0.13,0.367,0.16133333333333333,0.968,0.2765714285714286,246,629,4,121
0.14,0.367,0.16133333333333333,0.968,0.2765714285714286,246,629,4,121
0.15,0.367,0.16133333333333333,0.968,0.2765714285714286,246,629,4,121
0.16,0.367,0.16133333333333333,0.968,0.2765714285714286,246,629,4,121
0.17,0.367,0.16133333333333333,0.968,0.2765714285714286,246,629,4,121
0.18,0.367,0.16133333333333333,0.968,0.2765714285714286,246,629,4,121
0.19,0.367,0.16133333333333333,0.968,0.2765714285714286,246,629,4,121
0.2,0.367,0.16133333333333333,0.968,0.2765714285714286,246,629,4,121
0.21,0.367,0.16133333333333333,0.968,0.2765714285714286,246,629,4,121
0.22,0.367,0.16133333333333333,0.968,0.2765714285714286,246,629,4,121
0.23,0.578,0.21714285714285714,0.912,0.3507692307692308,464,411,11,114
0.24,0.578,0.21714285714285714,0.912,0.3507692307692308,464,411,11,114
0.25,0.795,0.35815602836879434,0.808,0.49631449631449637,694,181,24,101
0.26,0.795,0.35815602836879434,0.808,0.49631449631449637,694,181,24,101
0.27,0.795,0.35815602836879434,0.808,0.49631449631449637,694,181,24,101
0.28,0.795,0.35815602836879434,0.808,0.49631449631449637,694,181,24,101
0.29,0.795,0.35815602836879434,0.808,0.49631449631449637,694,181,24,101
0.3,0.795,0.35815602836879434,0.808,0.49631449631449637,694,181,24,101
0.31,0.795,0.35815602836879434,0.808,0.49631449631449637,694,181,24,101
0.32,0.795,0.35815602836879434,0.808,0.49631449631449637,694,181,24,101
0.33,0.795,0.35815602836879434,0.808,0.49631449631449637,694,181,24,101
0.34,0.795,0.35815602836879434,0.808,0.49631449631449637,694,181,24,101
0.35,0.795,0.35815602836879434,0.808,0.49631449631449637,694,181,24,101
0.36,0.795,0.35815602836879434,0.808,0.49631449631449637,694,181,24,101
0.37,0.795,0.35815602836879434,0.808,0.49631449631449637,694,181,24,101
0.38,0.795,0.35815602836879434,0.808,0.49631449631449637,694,181,24,101
0.39,0.852,0.4449760765550239,0.744,0.5568862275449101,759,116,32,93
0.4,0.942,0.8130841121495327,0.696,0.75,855,20,38,87
0.41,0.942,0.8130841121495327,0.696,0.75,855,20,38,87
0.42,0.942,0.8130841121495327,0.696,0.75,855,20,38,87
0.43,0.942,0.8130841121495327,0.696,0.75,855,20,38,87
0.44,0.942,0.8130841121495327,0.696,0.75,855,20,38,87
0.45,0.942,0.8130841121495327,0.696,0.75,855,20,38,87
0.46,0.942,0.8130841121495327,0.696,0.75,855,20,38,87
0.47,0.942,0.8130841121495327,0.696,0.75,855,20,38,87
0.48,0.942,0.8130841121495327,0.696,0.75,855,20,38,87
0.49,0.942,0.8130841121495327,0.696,0.75,855,20,38,87
0.5,0.942,0.8130841121495327,0.696,0.75,855,20,38,87
0.51,0.943,0.8207547169811321,0.696,0.7532467532467533,856,19,38,87
0.52,0.943,0.8207547169811321,0.696,0.7532467532467533,856,19,38,87
0.53,0.943,0.8207547169811321,0.696,0.7532467532467533,856,19,38,87
0.54,0.943,0.8207547169811321,0.696,0.7532467532467533,856,19,38,87
0.55,0.943,0.8207547169811321,0.696,0.7532467532467533,856,19,38,87
0.56,0.943,0.8207547169811321,0.696,0.7532467532467533,856,19,38,87
0.57,0.943,0.8207547169811321,0.696,0.7532467532467533,856,19,38,87
0.58,0.943,0.8207547169811321,0.696,0.7532467532467533,856,19,38,87
0.59,0.943,0.8207547169811321,0.696,0.7532467532467533,856,19,38,87
0.6,0.943,0.8207547169811321,0.696,0.7532467532467533,856,19,38,87
0.61,0.946,0.8514851485148515,0.688,0.7610619469026548,860,15,39,86
0.62,0.946,0.8514851485148515,0.688,0.7610619469026548,860,15,39,86
0.63,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
0.64,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
0.65,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
0.66,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
0.67,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
0.68,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
0.69,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
0.7,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
0.71,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
0.72,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
0.73,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
0.74,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
0.75,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
0.76,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
0.77,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
0.78,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
0.79,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
