threshold,accuracy,precision,recall,f1,tn,fp,fn,tp
0.1,0.278,0.14336917562724014,0.96,0.2494802494802495,158,717,5,120
0.11,0.302,0.1467324290998767,0.952,0.2542735042735043,183,692,6,119
0.12,0.331,0.15217391304347827,0.952,0.2624035281146637,212,663,6,119
0.13,0.359,0.15782493368700265,0.952,0.2707622298065984,240,635,6,119
0.14,0.394,0.16550764951321278,0.952,0.2819905213270142,275,600,6,119
0.15,0.418,0.1712230215827338,0.952,0.2902439024390244,299,576,6,119
0.16,0.439,0.17559523809523808,0.944,0.2961104140526976,321,554,7,118
0.17,0.454,0.1796042617960426,0.944,0.3017902813299233,336,539,7,118
0.18,0.475,0.18553459119496854,0.944,0.3101182654402102,357,518,7,118
0.19,0.494,0.18923327895595432,0.928,0.3143631436314363,378,497,9,116
0.2,0.509,0.1929530201342282,0.92,0.31900138696255204,394,481,10,115
0.21,0.526,0.19861830742659758,0.92,0.32670454545454547,411,464,10,115
0.22,0.546,0.20466786355475763,0.912,0.33431085043988273,432,443,11,114
0.23,0.56,0.2088724584103512,0.904,0.33933933933933935,447,428,12,113
0.24,0.574,0.21223709369024857,0.888,0.3425925925925926,463,412,14,111
0.25,0.587,0.21764705882352942,0.888,0.3496062992125984,476,399,14,111
0.26,0.61,0.2268041237113402,0.88,0.36065573770491804,500,375,15,110
0.27,0.626,0.23225806451612904,0.864,0.36610169491525424,518,357,17,108
0.28,0.64,0.2383073496659243,0.856,0.37282229965156793,533,342,18,107
0.29,0.654,0.24597701149425288,0.856,0.3821428571428572,547,328,18,107
0.3,0.668,0.2529832935560859,0.848,0.3897058823529411,562,313,19,106
0.31,0.676,0.25790754257907544,0.848,0.3955223880597015,570,305,19,106
0.32,0.692,0.26717557251908397,0.84,0.4054054054054054,587,288,20,105
0.33,0.709,0.27925531914893614,0.84,0.41916167664670656,604,271,20,105
0.34,0.72,0.2876712328767123,0.84,0.4285714285714286,615,260,20,105
0.35,0.728,0.29295774647887324,0.832,0.43333333333333335,624,251,21,104
0.36,0.739,0.3023255813953488,0.832,0.4434968017057569,635,240,21,104
0.37,0.746,0.3086053412462908,0.832,0.45021645021645024,642,233,21,104
0.38,0.754,0.3149847094801223,0.824,0.45575221238938046,651,224,22,103
0.39,0.767,0.32802547770700635,0.824,0.469248291571754,664,211,22,103
0.4,0.779,0.34105960264900664,0.824,0.4824355971896956,676,199,22,103
0.41,0.788,0.3515358361774744,0.824,0.49282296650717705,685,190,22,103
0.42,0.797,0.3607142857142857,0.808,0.4987654320987654,696,179,24,101
0.43,0.801,0.36594202898550726,0.808,0.5037406483790524,700,175,24,101
0.44,0.814,0.3831417624521073,0.8,0.5181347150259068,714,161,25,100
0.45,0.831,0.4098360655737705,0.8,0.5420054200542006,731,144,25,100
0.46,0.837,0.42016806722689076,0.8,0.5509641873278237,737,138,25,100
0.47,0.843,0.43103448275862066,0.8,0.5602240896358543,743,132,25,100
0.48,0.849,0.4424778761061947,0.8,0.5698005698005698,749,126,25,100
0.49,0.857,0.4583333333333333,0.792,0.5806451612903226,758,117,26,99
0.5,0.858,0.460093896713615,0.784,0.5798816568047337,760,115,27,98
0.51,0.864,0.47317073170731705,0.776,0.5878787878787879,767,108,28,97
0.52,0.87,0.4873096446700508,0.768,0.5962732919254659,774,101,29,96
0.53,0.872,0.49214659685863876,0.752,0.5949367088607596,778,97,31,94
0.54,0.879,0.5108695652173914,0.752,0.6084142394822007,785,90,31,94
0.55,0.889,0.5402298850574713,0.752,0.6287625418060201,795,80,31,94
0.56,0.895,0.5595238095238095,0.752,0.6416382252559727,801,74,31,94
0.57,0.896,0.5644171779141104,0.736,0.6388888888888888,804,71,33,92
0.58,0.904,0.5973154362416108,0.712,0.6496350364963505,815,60,36,89
0.59,0.91,0.6223776223776224,0.712,0.664179104477612,821,54,36,89
0.6,0.912,0.6312056737588653,0.712,0.6691729323308271,823,52,36,89
0.61,0.92,0.6744186046511628,0.696,0.68503937007874,833,42,38,87
0.62,0.92,0.6771653543307087,0.688,0.6825396825396826,834,41,39,86
0.63,0.927,0.7203389830508474,0.68,0.6995884773662552,842,33,40,85
0.64,0.929,0.7327586206896551,0.68,0.7053941908713692,844,31,40,85
0.65,0.932,0.7567567567567568,0.672,0.7118644067796612,848,27,41,84
0.66,0.934,0.780952380952381,0.656,0.7130434782608696,852,23,43,82
0.67,0.933,0.7788461538461539,0.648,0.7074235807860262,852,23,44,81
0.68,0.937,0.81,0.648,0.72,856,19,44,81
0.69,0.943,0.8617021276595744,0.648,0.7397260273972603,862,13,44,81
0.7,0.943,0.8617021276595744,0.648,0.7397260273972603,862,13,44,81
0.71,0.947,0.9090909090909091,0.64,0.7511737089201878,867,8,45,80
0.72,0.947,0.9186046511627907,0.632,0.7488151658767772,868,7,46,79
0.73,0.947,0.9285714285714286,0.624,0.7464114832535885,869,6,47,78
0.74,0.949,0.9625,0.616,0.751219512195122,872,3,48,77
0.75,0.951,1.0,0.608,0.7562189054726367,875,0,49,76
0.76,0.95,1.0,0.6,0.7499999999999999,875,0,50,75
0.77,0.95,1.0,0.6,0.7499999999999999,875,0,50,75
0.78,0.95,1.0,0.6,0.7499999999999999,875,0,50,75
0.79,0.95,1.0,0.6,0.7499999999999999,875,0,50,75
0.8,0.948,1.0,0.584,0.7373737373737373,875,0,52,73
0.81,0.946,1.0,0.568,0.7244897959183673,875,0,54,71
0.82,0.945,1.0,0.56,0.717948717948718,875,0,55,70
0.83,0.944,1.0,0.552,0.711340206185567,875,0,56,69
0.84,0.944,1.0,0.552,0.711340206185567,875,0,56,69
0.85,0.943,1.0,0.544,0.7046632124352332,875,0,57,68
0.86,0.941,1.0,0.528,0.6910994764397906,875,0,59,66
0.87,0.94,1.0,0.52,0.6842105263157895,875,0,60,65
0.88,0.94,1.0,0.52,0.6842105263157895,875,0,60,65
0.89,0.939,1.0,0.512,0.6772486772486772,875,0,61,64
0.9,0.939,1.0,0.512,0.6772486772486772,875,0,61,64
