threshold,accuracy,precision,recall,f1,tn,fp,fn,tp
0.1,0.382,0.16734143049932523,0.992,0.2863741339491917,258,617,1,124
0.11,0.396,0.1696551724137931,0.984,0.28941176470588237,273,602,2,123
0.12,0.412,0.17256011315417255,0.976,0.2932692307692308,290,585,3,122
0.13,0.433,0.17784256559766765,0.976,0.3008631319358816,311,564,3,122
0.14,0.457,0.18333333333333332,0.968,0.30828025477707005,336,539,4,121
0.15,0.481,0.18829113924050633,0.952,0.31439894319682965,362,513,6,119
0.16,0.507,0.19636963696369636,0.952,0.32558139534883723,388,487,6,119
0.17,0.537,0.20557491289198607,0.944,0.3376251788268955,419,456,7,118
0.18,0.558,0.21129326047358835,0.928,0.3442136498516321,442,433,9,116
0.19,0.592,0.22417153996101363,0.92,0.3605015673981191,477,398,10,115
0.2,0.617,0.23565573770491804,0.92,0.37520391517128876,502,373,10,115
0.21,0.645,0.25,0.92,0.3931623931623932,530,345,10,115
0.22,0.67,0.26107226107226106,0.896,0.4043321299638989,558,317,13,112
0.23,0.699,0.27889447236180903,0.888,0.42447418738049714,588,287,14,111
0.24,0.731,0.3,0.864,0.44536082474226807,623,252,17,108
0.25,0.755,0.3203592814371258,0.856,0.4662309368191721,648,227,18,107
0.26,0.783,0.347682119205298,0.84,0.49180327868852464,678,197,20,105
0.27,0.804,0.37184115523465705,0.824,0.5124378109452736,701,174,22,103
0.28,0.825,0.4015748031496063,0.816,0.5382585751978891,723,152,23,102
0.29,0.845,0.4358974358974359,0.816,0.5682451253481894,743,132,23,102
0.3,0.859,0.46261682242990654,0.792,0.584070796460177,760,115,26,99
0.31,0.878,0.5076923076923077,0.792,0.61875,779,96,26,99
0.32,0.888,0.5359116022099447,0.776,0.6339869281045751,791,84,28,97
0.33,0.896,0.5614035087719298,0.768,0.6486486486486486,800,75,29,96
0.34,0.906,0.5962732919254659,0.768,0.6713286713286714,810,65,29,96
0.35,0.911,0.6168831168831169,0.76,0.6810035842293908,816,59,30,95
0.36,0.916,0.6375838926174496,0.76,0.6934306569343065,821,54,30,95
0.37,0.918,0.6462585034013606,0.76,0.6985294117647058,823,52,30,95
0.38,0.923,0.6690140845070423,0.76,0.7116104868913857,828,47,30,95
0.39,0.93,0.7037037037037037,0.76,0.7307692307692308,835,40,30,95
0.4,0.934,0.7286821705426356,0.752,0.7401574803149605,840,35,31,94
0.41,0.935,0.734375,0.752,0.7430830039525692,841,34,31,94
0.42,0.938,0.7560975609756098,0.744,0.7499999999999999,845,30,32,93
0.43,0.939,0.7622950819672131,0.744,0.7530364372469635,846,29,32,93
0.44,0.94,0.768595041322314,0.744,0.7560975609756098,847,28,32,93
