threshold,accuracy,precision,recall,f1,tn,fp,fn,tp
0.1,0.375,0.1648793565683646,0.984,0.28243398392652125,252,623,2,123
0.11,0.393,0.16895604395604397,0.984,0.28839390386869873,270,605,2,123
0.12,0.409,0.17183098591549295,0.976,0.29221556886227545,287,588,3,122
0.13,0.423,0.1752873563218391,0.976,0.2971985383678441,301,574,3,122
0.14,0.439,0.17941176470588235,0.976,0.3031055900621118,317,558,3,122
0.15,0.455,0.18277945619335348,0.968,0.30749682337992373,334,541,4,121
0.16,0.475,0.18847352024922118,0.968,0.3155149934810952,354,521,4,121
0.17,0.496,0.1938610662358643,0.96,0.32258064516129026,376,499,5,120
0.18,0.517,0.19966442953020133,0.952,0.33009708737864074,398,477,6,119
0.19,0.538,0.20695652173913043,0.952,0.33999999999999997,419,456,6,119
0.2,0.568,0.21731123388581952,0.944,0.35329341317365265,450,425,7,118
0.21,0.596,0.22807017543859648,0.936,0.3667711598746082,479,396,8,117
0.22,0.625,0.24066390041493776,0.928,0.38220757825370677,509,366,9,116
0.23,0.662,0.2595936794582393,0.92,0.40492957746478875,547,328,10,115
0.24,0.7,0.2795969773299748,0.888,0.42528735632183906,589,286,14,111
0.25,0.718,0.2884097035040431,0.856,0.4314516129032258,611,264,18,107
0.26,0.747,0.3128654970760234,0.856,0.4582441113490364,640,235,18,107
0.27,0.763,0.32608695652173914,0.84,0.4697986577181208,658,217,20,105
0.28,0.784,0.34782608695652173,0.832,0.490566037735849,680,195,21,104
0.29,0.803,0.3695652173913043,0.816,0.5087281795511222,701,174,23,102
0.3,0.817,0.38846153846153847,0.808,0.5246753246753247,716,159,24,101
0.31,0.831,0.4098360655737705,0.8,0.5420054200542006,731,144,25,100
0.32,0.846,0.4366812227074236,0.8,0.5649717514124295,746,129,25,100
0.33,0.858,0.4604651162790698,0.792,0.5823529411764706,759,116,26,99
0.34,0.868,0.48292682926829267,0.792,0.6,769,106,26,99
0.35,0.874,0.4973821989528796,0.76,0.6012658227848101,779,96,30,95
0.36,0.886,0.5307262569832403,0.76,0.625,791,84,30,95
0.37,0.892,0.5491329479768786,0.76,0.6375838926174496,797,78,30,95
0.38,0.9,0.5757575757575758,0.76,0.6551724137931034,805,70,30,95
0.39,0.909,0.6089743589743589,0.76,0.6761565836298933,814,61,30,95
0.4,0.916,0.6375838926174496,0.76,0.6934306569343065,821,54,30,95
0.41,0.922,0.6643356643356644,0.76,0.7089552238805971,827,48,30,95
0.42,0.925,0.6785714285714286,0.76,0.7169811320754718,830,45,30,95
0.43,0.928,0.6962962962962963,0.752,0.7230769230769231,834,41,31,94
0.44,0.931,0.7121212121212122,0.752,0.7315175097276264,837,38,31,94
0.45,0.931,0.7121212121212122,0.752,0.7315175097276264,837,38,31,94
0.46,0.934,0.7286821705426356,0.752,0.7401574803149605,840,35,31,94
0.47,0.934,0.736,0.736,0.736,842,33,33,92
0.48,0.939,0.7666666666666667,0.736,0.7510204081632653,847,28,33,92
0.49,0.939,0.7666666666666667,0.736,0.7510204081632653,847,28,33,92
0.5,0.941,0.7796610169491526,0.736,0.7572016460905351,849,26,33,92
0.51,0.943,0.7931034482758621,0.736,0.7634854771784233,851,24,33,92
0.52,0.945,0.8070175438596491,0.736,0.7698744769874476,853,22,33,92
0.53,0.946,0.8141592920353983,0.736,0.7731092436974789,854,21,33,92
0.54,0.948,0.8288288288288288,0.736,0.7796610169491526,856,19,33,92
0.55,0.948,0.8288288288288288,0.736,0.7796610169491526,856,19,33,92
0.56,0.948,0.8348623853211009,0.728,0.7777777777777778,857,18,34,91
0.57,0.948,0.8411214953271028,0.72,0.7758620689655171,858,17,35,90
0.58,0.95,0.8571428571428571,0.72,0.782608695652174,860,15,35,90
0.59,0.949,0.8557692307692307,0.712,0.7772925764192139,860,15,36,89
0.6,0.949,0.8557692307692307,0.712,0.7772925764192139,860,15,36,89
0.61,0.952,0.8811881188118812,0.712,0.7876106194690266,863,12,36,89
0.62,0.954,0.9157894736842105,0.696,0.7909090909090909,867,8,38,87
0.63,0.954,0.9157894736842105,0.696,0.7909090909090909,867,8,38,87
0.64,0.956,0.9354838709677419,0.696,0.7981651376146789,869,6,38,87
0.65,0.956,0.9354838709677419,0.696,0.7981651376146789,869,6,38,87
0.66,0.957,0.9456521739130435,0.696,0.8018433179723502,870,5,38,87
0.67,0.958,0.9560439560439561,0.696,0.8055555555555556,871,4,38,87
0.68,0.959,0.9666666666666667,0.696,0.8093023255813954,872,3,38,87
0.69,0.959,0.9666666666666667,0.696,0.8093023255813954,872,3,38,87
0.7,0.959,0.9666666666666667,0.696,0.8093023255813954,872,3,38,87
0.71,0.96,0.9775280898876404,0.696,0.8130841121495326,873,2,38,87
0.72,0.96,0.9775280898876404,0.696,0.8130841121495326,873,2,38,87
0.73,0.959,0.9772727272727273,0.688,0.8075117370892018,873,2,39,86
0.74,0.959,0.9883720930232558,0.68,0.8056872037914692,874,1,40,85
0.75,0.959,0.9883720930232558,0.68,0.8056872037914692,874,1,40,85
0.76,0.959,0.9883720930232558,0.68,0.8056872037914692,874,1,40,85
0.77,0.959,0.9883720930232558,0.68,0.8056872037914692,874,1,40,85
0.78,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
0.79,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
0.8,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
0.81,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
0.82,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
0.83,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
0.84,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
0.85,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
0.86,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
