threshold,accuracy,precision,recall,f1,tn,fp,fn,tp
0.1,0.407,0.1722689075630252,0.984,0.29320619785458873,284,591,2,123
0.11,0.452,0.18290854572713644,0.976,0.3080808080808081,330,545,3,122
0.12,0.488,0.19138755980861244,0.96,0.3191489361702127,368,507,5,120
0.13,0.524,0.2010221465076661,0.944,0.33146067415730335,406,469,7,118
0.14,0.57,0.2128060263653484,0.904,0.3445121951219512,457,418,12,113
0.15,0.623,0.23191489361702128,0.872,0.3663865546218487,514,361,16,109
0.16,0.67,0.25653206650831356,0.864,0.3956043956043956,562,313,17,108
0.17,0.721,0.287292817679558,0.832,0.4271047227926078,617,258,21,104
0.18,0.753,0.3128834355828221,0.816,0.4523281596452328,651,224,23,102
0.19,0.785,0.3469387755102041,0.816,0.4868735083532219,683,192,23,102
0.2,0.808,0.3754646840148699,0.808,0.5126903553299492,707,168,24,101
0.21,0.834,0.41350210970464135,0.784,0.5414364640883979,736,139,27,98
0.22,0.855,0.4532710280373832,0.776,0.5722713864306784,758,117,28,97
0.23,0.878,0.5080213903743316,0.76,0.6089743589743589,783,92,30,95
0.24,0.895,0.5588235294117647,0.76,0.6440677966101696,800,75,30,95
0.25,0.911,0.6168831168831169,0.76,0.6810035842293908,816,59,30,95
0.26,0.92,0.6551724137931034,0.76,0.7037037037037037,825,50,30,95
0.27,0.925,0.6811594202898551,0.752,0.714828897338403,831,44,31,94
0.28,0.927,0.6911764705882353,0.752,0.7203065134099617,833,42,31,94
0.29,0.929,0.7045454545454546,0.744,0.7237354085603113,836,39,32,93
0.3,0.933,0.7265625,0.744,0.7351778656126482,840,35,32,93
0.31,0.935,0.7380952380952381,0.744,0.7410358565737052,842,33,32,93
0.32,0.937,0.75,0.744,0.746987951807229,844,31,32,93
0.33,0.938,0.7560975609756098,0.744,0.7499999999999999,845,30,32,93
0.34,0.94,0.768595041322314,0.744,0.7560975609756098,847,28,32,93
0.35,0.94,0.768595041322314,0.744,0.7560975609756098,847,28,32,93
0.36,0.941,0.775,0.744,0.7591836734693876,848,27,32,93
0.37,0.942,0.7815126050420168,0.744,0.7622950819672131,849,26,32,93
0.38,0.943,0.788135593220339,0.744,0.7654320987654322,850,25,32,93
0.39,0.943,0.788135593220339,0.744,0.7654320987654322,850,25,32,93
0.4,0.943,0.7982456140350878,0.728,0.7615062761506276,852,23,34,91
0.41,0.944,0.8053097345132744,0.728,0.7647058823529412,853,22,34,91
0.42,0.945,0.8125,0.728,0.7679324894514769,854,21,34,91
0.43,0.946,0.8198198198198198,0.728,0.7711864406779662,855,20,34,91
0.44,0.948,0.8348623853211009,0.728,0.7777777777777778,857,18,34,91
0.45,0.951,0.8584905660377359,0.728,0.787878787878788,860,15,34,91
0.46,0.952,0.8666666666666667,0.728,0.7913043478260869,861,14,34,91
0.47,0.953,0.875,0.728,0.794759825327511,862,13,34,91
0.48,0.952,0.8737864077669902,0.72,0.7894736842105263,862,13,35,90
0.49,0.952,0.8737864077669902,0.72,0.7894736842105263,862,13,35,90
0.5,0.952,0.8737864077669902,0.72,0.7894736842105263,862,13,35,90
0.51,0.951,0.8725490196078431,0.712,0.7841409691629956,862,13,36,89
0.52,0.951,0.8725490196078431,0.712,0.7841409691629956,862,13,36,89
0.53,0.952,0.8811881188118812,0.712,0.7876106194690266,863,12,36,89
0.54,0.951,0.88,0.704,0.7822222222222222,863,12,37,88
0.55,0.951,0.88,0.704,0.7822222222222222,863,12,37,88
0.56,0.953,0.8979591836734694,0.704,0.789237668161435,865,10,37,88
0.57,0.952,0.8969072164948454,0.696,0.7837837837837837,865,10,38,87
0.58,0.952,0.8969072164948454,0.696,0.7837837837837837,865,10,38,87
0.59,0.952,0.8969072164948454,0.696,0.7837837837837837,865,10,38,87
0.6,0.952,0.8969072164948454,0.696,0.7837837837837837,865,10,38,87
0.61,0.954,0.9247311827956989,0.688,0.7889908256880734,868,7,39,86
0.62,0.956,0.945054945054945,0.688,0.7962962962962962,870,5,39,86
0.63,0.956,0.945054945054945,0.688,0.7962962962962962,870,5,39,86
0.64,0.957,0.9555555555555556,0.688,0.8,871,4,39,86
0.65,0.957,0.9555555555555556,0.688,0.8,871,4,39,86
0.66,0.957,0.9555555555555556,0.688,0.8,871,4,39,86
0.67,0.957,0.9555555555555556,0.688,0.8,871,4,39,86
0.68,0.958,0.9662921348314607,0.688,0.8037383177570094,872,3,39,86
0.69,0.96,0.9885057471264368,0.688,0.8113207547169811,874,1,39,86
0.7,0.96,0.9885057471264368,0.688,0.8113207547169811,874,1,39,86
0.71,0.96,1.0,0.68,0.8095238095238095,875,0,40,85
0.72,0.96,1.0,0.68,0.8095238095238095,875,0,40,85
0.73,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
0.74,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
0.75,0.958,1.0,0.664,0.798076923076923,875,0,42,83
0.76,0.957,1.0,0.656,0.7922705314009661,875,0,43,82
0.77,0.957,1.0,0.656,0.7922705314009661,875,0,43,82
0.78,0.957,1.0,0.656,0.7922705314009661,875,0,43,82
0.79,0.957,1.0,0.656,0.7922705314009661,875,0,43,82
0.8,0.956,1.0,0.648,0.7864077669902912,875,0,44,81
0.81,0.956,1.0,0.648,0.7864077669902912,875,0,44,81
0.82,0.956,1.0,0.648,0.7864077669902912,875,0,44,81
0.83,0.954,1.0,0.632,0.7745098039215685,875,0,46,79
0.84,0.953,1.0,0.624,0.7684729064039408,875,0,47,78
0.85,0.95,1.0,0.6,0.7499999999999999,875,0,50,75
0.86,0.95,1.0,0.6,0.7499999999999999,875,0,50,75
0.87,0.95,1.0,0.6,0.7499999999999999,875,0,50,75
0.88,0.949,1.0,0.592,0.743718592964824,875,0,51,74
0.89,0.948,1.0,0.584,0.7373737373737373,875,0,52,73
0.9,0.947,1.0,0.576,0.730964467005076,875,0,53,72
