threshold,accuracy,precision,recall,f1,tn,fp,fn,tp
0.1,0.657,0.2488479262672811,0.864,0.3864042933810376,549,326,17,108
0.11,0.728,0.296398891966759,0.856,0.4403292181069959,621,254,18,107
0.12,0.738,0.30484330484330485,0.856,0.4495798319327731,631,244,18,107
0.13,0.824,0.398406374501992,0.8,0.5319148936170213,724,151,25,100
0.14,0.824,0.398406374501992,0.8,0.5319148936170213,724,151,25,100
0.15,0.824,0.398406374501992,0.8,0.5319148936170213,724,151,25,100
0.16,0.824,0.398406374501992,0.8,0.5319148936170213,724,151,25,100
0.17,0.827,0.4032258064516129,0.8,0.5361930294906166,727,148,25,100
0.18,0.827,0.4032258064516129,0.8,0.5361930294906166,727,148,25,100
0.19,0.834,0.41422594142259417,0.792,0.5439560439560439,735,140,26,99
0.2,0.834,0.41422594142259417,0.792,0.5439560439560439,735,140,26,99
0.21,0.834,0.41422594142259417,0.792,0.5439560439560439,735,140,26,99
0.22,0.868,0.48258706467661694,0.776,0.5950920245398774,771,104,28,97
0.23,0.868,0.48258706467661694,0.776,0.5950920245398774,771,104,28,97
0.24,0.868,0.48258706467661694,0.776,0.5950920245398774,771,104,28,97
0.25,0.868,0.48258706467661694,0.776,0.5950920245398774,771,104,28,97
0.26,0.868,0.48258706467661694,0.776,0.5950920245398774,771,104,28,97
0.27,0.868,0.48258706467661694,0.776,0.5950920245398774,771,104,28,97
0.28,0.868,0.48258706467661694,0.776,0.5950920245398774,771,104,28,97
0.29,0.92,0.6595744680851063,0.744,0.6992481203007519,827,48,32,93
0.3,0.92,0.6595744680851063,0.744,0.6992481203007519,827,48,32,93
0.31,0.92,0.6595744680851063,0.744,0.6992481203007519,827,48,32,93
0.32,0.923,0.6739130434782609,0.744,0.7072243346007604,830,45,32,93
0.33,0.923,0.6739130434782609,0.744,0.7072243346007604,830,45,32,93
0.34,0.923,0.6739130434782609,0.744,0.7072243346007604,830,45,32,93
0.35,0.923,0.6739130434782609,0.744,0.7072243346007604,830,45,32,93
0.36,0.948,0.8230088495575221,0.744,0.7815126050420168,855,20,32,93
0.37,0.948,0.8230088495575221,0.744,0.7815126050420168,855,20,32,93
0.38,0.948,0.8230088495575221,0.744,0.7815126050420168,855,20,32,93
0.39,0.948,0.8230088495575221,0.744,0.7815126050420168,855,20,32,93
0.4,0.948,0.8230088495575221,0.744,0.7815126050420168,855,20,32,93
0.41,0.948,0.8230088495575221,0.744,0.7815126050420168,855,20,32,93
0.42,0.948,0.8230088495575221,0.744,0.7815126050420168,855,20,32,93
0.43,0.948,0.8230088495575221,0.744,0.7815126050420168,855,20,32,93
0.44,0.948,0.8230088495575221,0.744,0.7815126050420168,855,20,32,93
0.45,0.948,0.8230088495575221,0.744,0.7815126050420168,855,20,32,93
0.46,0.948,0.8230088495575221,0.744,0.7815126050420168,855,20,32,93
0.47,0.948,0.8230088495575221,0.744,0.7815126050420168,855,20,32,93
0.48,0.948,0.8230088495575221,0.744,0.7815126050420168,855,20,32,93
0.49,0.948,0.8230088495575221,0.744,0.7815126050420168,855,20,32,93
0.5,0.948,0.8230088495575221,0.744,0.7815126050420168,855,20,32,93
0.51,0.948,0.8230088495575221,0.744,0.7815126050420168,855,20,32,93
0.52,0.948,0.8230088495575221,0.744,0.7815126050420168,855,20,32,93
0.53,0.948,0.8230088495575221,0.744,0.7815126050420168,855,20,32,93
0.54,0.948,0.8230088495575221,0.744,0.7815126050420168,855,20,32,93
0.55,0.948,0.8230088495575221,0.744,0.7815126050420168,855,20,32,93
0.56,0.948,0.8230088495575221,0.744,0.7815126050420168,855,20,32,93
0.57,0.948,0.8230088495575221,0.744,0.7815126050420168,855,20,32,93
0.58,0.948,0.8230088495575221,0.744,0.7815126050420168,855,20,32,93
0.59,0.948,0.8230088495575221,0.744,0.7815126050420168,855,20,32,93
0.6,0.948,0.8230088495575221,0.744,0.7815126050420168,855,20,32,93
0.61,0.948,0.8230088495575221,0.744,0.7815126050420168,855,20,32,93
0.62,0.948,0.8230088495575221,0.744,0.7815126050420168,855,20,32,93
0.63,0.948,0.8230088495575221,0.744,0.7815126050420168,855,20,32,93
0.64,0.948,0.8230088495575221,0.744,0.7815126050420168,855,20,32,93
0.65,0.948,0.8230088495575221,0.744,0.7815126050420168,855,20,32,93
0.66,0.948,0.8230088495575221,0.744,0.7815126050420168,855,20,32,93
0.67,0.946,0.8198198198198198,0.728,0.7711864406779662,855,20,34,91
0.68,0.946,0.8198198198198198,0.728,0.7711864406779662,855,20,34,91
0.69,0.948,0.8348623853211009,0.728,0.7777777777777778,857,18,34,91
0.7,0.948,0.8348623853211009,0.728,0.7777777777777778,857,18,34,91
0.71,0.956,0.9550561797752809,0.68,0.7943925233644861,871,4,40,85
0.72,0.956,0.9550561797752809,0.68,0.7943925233644861,871,4,40,85
0.73,0.956,0.9550561797752809,0.68,0.7943925233644861,871,4,40,85
0.74,0.956,0.9550561797752809,0.68,0.7943925233644861,871,4,40,85
0.75,0.956,0.9550561797752809,0.68,0.7943925233644861,871,4,40,85
0.76,0.956,0.9550561797752809,0.68,0.7943925233644861,871,4,40,85
0.77,0.957,0.9767441860465116,0.672,0.7962085308056872,873,2,41,84
0.78,0.957,0.9767441860465116,0.672,0.7962085308056872,873,2,41,84
0.79,0.957,0.9767441860465116,0.672,0.7962085308056872,873,2,41,84
0.8,0.957,0.9767441860465116,0.672,0.7962085308056872,873,2,41,84
