threshold,accuracy,precision,recall,f1,tn,fp,fn,tp
0.1,0.351,0.15616797900262466,0.952,0.2683201803833145,232,643,6,119
0.11,0.372,0.16059379217273953,0.952,0.2748267898383372,253,622,6,119
0.12,0.392,0.1650485436893204,0.952,0.28132387706855794,273,602,6,119
0.13,0.421,0.17101449275362318,0.944,0.28957055214723926,303,572,7,118
0.14,0.449,0.1782477341389728,0.944,0.29987293519695046,331,544,7,118
0.15,0.47,0.18408736349453977,0.944,0.30809399477806787,352,523,7,118
0.16,0.493,0.19093851132686085,0.944,0.31763122476446837,375,500,7,118
0.17,0.51,0.19532554257095158,0.936,0.32320441988950277,393,482,8,117
0.18,0.528,0.20137693631669534,0.936,0.33144475920679883,411,464,8,117
0.19,0.539,0.20422535211267606,0.928,0.3347763347763348,423,452,9,116
0.2,0.552,0.20689655172413793,0.912,0.3372781065088757,438,437,11,114
0.21,0.573,0.21292775665399238,0.896,0.3440860215053763,461,414,13,112
0.22,0.584,0.21637426900584794,0.888,0.34796238244514105,473,402,14,111
0.23,0.598,0.22132796780684105,0.88,0.3536977491961415,488,387,15,110
0.24,0.607,0.22540983606557377,0.88,0.35889070146818924,497,378,15,110
0.25,0.627,0.23504273504273504,0.88,0.37099494097807756,517,358,15,110
0.26,0.644,0.24161073825503357,0.864,0.37762237762237766,536,339,17,108
0.27,0.656,0.2459396751740139,0.848,0.381294964028777,550,325,19,106
0.28,0.666,0.2517814726840855,0.848,0.3882783882783883,560,315,19,106
0.29,0.676,0.25790754257907544,0.848,0.3955223880597015,570,305,19,106
0.3,0.686,0.2631578947368421,0.84,0.40076335877862596,581,294,20,105
0.31,0.695,0.2692307692307692,0.84,0.40776699029126207,590,285,20,105
0.32,0.705,0.27393617021276595,0.824,0.4111776447105788,602,273,22,103
0.33,0.721,0.2861111111111111,0.824,0.4247422680412371,618,257,22,103
0.34,0.728,0.2905982905982906,0.816,0.4285714285714286,626,249,23,102
0.35,0.744,0.3044776119402985,0.816,0.4434782608695652,642,233,23,102
0.36,0.757,0.3167701863354037,0.816,0.45637583892617456,655,220,23,102
0.37,0.766,0.3258785942492013,0.816,0.46575342465753433,664,211,23,102
0.38,0.775,0.3333333333333333,0.8,0.47058823529411764,675,200,25,100
0.39,0.781,0.3401360544217687,0.8,0.47732696897374705,681,194,25,100
0.4,0.795,0.35714285714285715,0.8,0.4938271604938272,695,180,25,100
0.41,0.808,0.37453183520599254,0.8,0.5102040816326531,708,167,25,100
0.42,0.815,0.38461538461538464,0.8,0.5194805194805195,715,160,25,100
0.43,0.821,0.39285714285714285,0.792,0.5251989389920425,722,153,26,99
0.44,0.826,0.4008097165991903,0.792,0.532258064516129,727,148,26,99
0.45,0.832,0.4107883817427386,0.792,0.540983606557377,733,142,26,99
0.46,0.84,0.4248927038626609,0.792,0.553072625698324,741,134,26,99
0.47,0.847,0.43805309734513276,0.792,0.5641025641025642,748,127,26,99
0.48,0.859,0.46190476190476193,0.776,0.5791044776119404,762,113,28,97
0.49,0.864,0.47317073170731705,0.776,0.5878787878787879,767,108,28,97
0.5,0.868,0.4824120603015075,0.768,0.5925925925925926,772,103,29,96
0.51,0.873,0.4947916666666667,0.76,0.5993690851735015,778,97,30,95
0.52,0.877,0.5053191489361702,0.76,0.6070287539936102,782,93,30,95
0.53,0.883,0.521978021978022,0.76,0.6188925081433224,788,87,30,95
0.54,0.888,0.536723163841808,0.76,0.6291390728476821,793,82,30,95
0.55,0.892,0.5491329479768786,0.76,0.6375838926174496,797,78,30,95
0.56,0.892,0.5497076023391813,0.752,0.6351351351351352,798,77,31,94
0.57,0.896,0.562874251497006,0.752,0.6438356164383562,802,73,31,94
0.58,0.898,0.5723270440251572,0.728,0.6408450704225352,807,68,34,91
0.59,0.905,0.6,0.72,0.6545454545454547,815,60,35,90
0.6,0.91,0.6223776223776224,0.712,0.664179104477612,821,54,36,89
0.61,0.91,0.624113475177305,0.704,0.6616541353383458,822,53,37,88
0.62,0.914,0.6423357664233577,0.704,0.6717557251908398,826,49,37,88
0.63,0.915,0.6492537313432836,0.696,0.6718146718146718,828,47,38,87
0.64,0.919,0.671875,0.688,0.6798418972332015,833,42,39,86
0.65,0.922,0.6910569105691057,0.68,0.685483870967742,837,38,40,85
0.66,0.926,0.7142857142857143,0.68,0.6967213114754098,841,34,40,85
0.67,0.926,0.717948717948718,0.672,0.6942148760330579,842,33,41,84
0.68,0.93,0.7433628318584071,0.672,0.7058823529411766,846,29,41,84
0.69,0.934,0.7757009345794392,0.664,0.7155172413793103,851,24,42,83
0.7,0.939,0.8137254901960784,0.664,0.7312775330396476,856,19,42,83
0.71,0.943,0.8541666666666666,0.656,0.7420814479638009,861,14,43,82
0.72,0.947,0.8913043478260869,0.656,0.7557603686635944,865,10,43,82
0.73,0.944,0.8876404494382022,0.632,0.7383177570093459,865,10,46,79
0.74,0.946,0.9080459770114943,0.632,0.7452830188679246,867,8,46,79
0.75,0.947,0.9390243902439024,0.616,0.7439613526570048,870,5,48,77
0.76,0.948,0.9506172839506173,0.616,0.7475728155339806,871,4,48,77
0.77,0.948,0.9506172839506173,0.616,0.7475728155339806,871,4,48,77
0.78,0.95,0.9746835443037974,0.616,0.7549019607843137,873,2,48,77
0.79,0.95,0.9746835443037974,0.616,0.7549019607843137,873,2,48,77
0.8,0.949,0.9868421052631579,0.6,0.7462686567164178,874,1,50,75
0.81,0.949,1.0,0.592,0.743718592964824,875,0,51,74
0.82,0.948,1.0,0.584,0.7373737373737373,875,0,52,73
0.83,0.948,1.0,0.584,0.7373737373737373,875,0,52,73
0.84,0.945,1.0,0.56,0.717948717948718,875,0,55,70
0.85,0.944,1.0,0.552,0.711340206185567,875,0,56,69
0.86,0.944,1.0,0.552,0.711340206185567,875,0,56,69
0.87,0.942,1.0,0.536,0.6979166666666667,875,0,58,67
0.88,0.941,1.0,0.528,0.6910994764397906,875,0,59,66
0.89,0.941,1.0,0.528,0.6910994764397906,875,0,59,66
0.9,0.94,1.0,0.52,0.6842105263157895,875,0,60,65
