threshold,accuracy,precision,recall,f1,tn,fp,fn,tp
0.1,0.505,0.19370860927152317,0.936,0.3209876543209877,388,487,8,117
0.11,0.57,0.2128060263653484,0.904,0.3445121951219512,457,418,12,113
0.12,0.615,0.2280334728033473,0.872,0.36152570480928686,506,369,16,109
0.13,0.666,0.25526932084309134,0.872,0.3949275362318841,557,318,16,109
0.14,0.706,0.27586206896551724,0.832,0.41434262948207173,602,273,21,104
0.15,0.746,0.3086053412462908,0.832,0.45021645021645024,642,233,21,104
0.16,0.784,0.34576271186440677,0.816,0.4857142857142857,682,193,23,102
0.17,0.808,0.3763837638376384,0.816,0.5151515151515151,706,169,23,102
0.18,0.829,0.4057377049180328,0.792,0.5365853658536586,730,145,26,99
0.19,0.847,0.43805309734513276,0.792,0.5641025641025642,748,127,26,99
0.2,0.863,0.47115384615384615,0.784,0.5885885885885886,765,110,27,98
0.21,0.881,0.5157894736842106,0.784,0.6222222222222222,783,92,27,98
0.22,0.899,0.5697674418604651,0.784,0.65993265993266,801,74,27,98
0.23,0.906,0.593939393939394,0.784,0.6758620689655173,808,67,27,98
0.24,0.921,0.6533333333333333,0.784,0.7127272727272727,823,52,27,98
0.25,0.927,0.6805555555555556,0.784,0.7286245353159851,829,46,27,98
0.26,0.931,0.7,0.784,0.7396226415094339,833,42,27,98
0.27,0.934,0.7153284671532847,0.784,0.748091603053435,836,39,27,98
0.28,0.932,0.7111111111111111,0.768,0.7384615384615385,836,39,29,96
0.29,0.933,0.7164179104477612,0.768,0.7413127413127413,837,38,29,96
0.3,0.934,0.7218045112781954,0.768,0.7441860465116279,838,37,29,96
0.31,0.936,0.732824427480916,0.768,0.75,840,35,29,96
0.32,0.941,0.7619047619047619,0.768,0.7649402390438246,845,30,29,96
0.33,0.941,0.7619047619047619,0.768,0.7649402390438246,845,30,29,96
0.34,0.943,0.7741935483870968,0.768,0.7710843373493975,847,28,29,96
0.35,0.942,0.7723577235772358,0.76,0.7661290322580646,847,28,30,95
0.36,0.941,0.7704918032786885,0.752,0.7611336032388664,847,28,31,94
0.37,0.94,0.768595041322314,0.744,0.7560975609756098,847,28,32,93
0.38,0.941,0.775,0.744,0.7591836734693876,848,27,32,93
0.39,0.941,0.7796610169491526,0.736,0.7572016460905351,849,26,33,92
0.4,0.942,0.7863247863247863,0.736,0.7603305785123966,850,25,33,92
0.41,0.942,0.7913043478260869,0.728,0.7583333333333333,851,24,34,91
0.42,0.944,0.8053097345132744,0.728,0.7647058823529412,853,22,34,91
0.43,0.944,0.8053097345132744,0.728,0.7647058823529412,853,22,34,91
0.44,0.946,0.8198198198198198,0.728,0.7711864406779662,855,20,34,91
0.45,0.948,0.8348623853211009,0.728,0.7777777777777778,857,18,34,91
0.46,0.95,0.8504672897196262,0.728,0.7844827586206896,859,16,34,91
0.47,0.951,0.8653846153846154,0.72,0.7860262008733625,861,14,35,90
0.48,0.952,0.8737864077669902,0.72,0.7894736842105263,862,13,35,90
0.49,0.952,0.8737864077669902,0.72,0.7894736842105263,862,13,35,90
0.5,0.952,0.8737864077669902,0.72,0.7894736842105263,862,13,35,90
0.51,0.952,0.8737864077669902,0.72,0.7894736842105263,862,13,35,90
0.52,0.952,0.8811881188118812,0.712,0.7876106194690266,863,12,36,89
0.53,0.953,0.89,0.712,0.7911111111111112,864,11,36,89
0.54,0.954,0.898989898989899,0.712,0.7946428571428571,865,10,36,89
0.55,0.955,0.9081632653061225,0.712,0.7982062780269059,866,9,36,89
0.56,0.955,0.9081632653061225,0.712,0.7982062780269059,866,9,36,89
0.57,0.955,0.9081632653061225,0.712,0.7982062780269059,866,9,36,89
0.58,0.955,0.9166666666666666,0.704,0.7963800904977375,867,8,37,88
0.59,0.957,0.9361702127659575,0.704,0.8036529680365296,869,6,37,88
0.6,0.957,0.9361702127659575,0.704,0.8036529680365296,869,6,37,88
0.61,0.956,0.9354838709677419,0.696,0.7981651376146789,869,6,38,87
0.62,0.956,0.9354838709677419,0.696,0.7981651376146789,869,6,38,87
0.63,0.955,0.9347826086956522,0.688,0.7926267281105991,869,6,39,86
0.64,0.955,0.9347826086956522,0.688,0.7926267281105991,869,6,39,86
0.65,0.955,0.9545454545454546,0.672,0.7887323943661971,871,4,41,84
0.66,0.956,0.9655172413793104,0.672,0.7924528301886793,872,3,41,84
0.67,0.956,0.9655172413793104,0.672,0.7924528301886793,872,3,41,84
0.68,0.956,0.9764705882352941,0.664,0.7904761904761906,873,2,42,83
0.69,0.955,0.9761904761904762,0.656,0.784688995215311,873,2,43,82
0.7,0.955,0.9761904761904762,0.656,0.784688995215311,873,2,43,82
0.71,0.955,0.9878048780487805,0.648,0.7826086956521738,874,1,44,81
0.72,0.956,1.0,0.648,0.7864077669902912,875,0,44,81
0.73,0.956,1.0,0.648,0.7864077669902912,875,0,44,81
0.74,0.956,1.0,0.648,0.7864077669902912,875,0,44,81
0.75,0.956,1.0,0.648,0.7864077669902912,875,0,44,81
0.76,0.956,1.0,0.648,0.7864077669902912,875,0,44,81
0.77,0.956,1.0,0.648,0.7864077669902912,875,0,44,81
0.78,0.956,1.0,0.648,0.7864077669902912,875,0,44,81
0.79,0.956,1.0,0.648,0.7864077669902912,875,0,44,81
0.8,0.956,1.0,0.648,0.7864077669902912,875,0,44,81
0.81,0.955,1.0,0.64,0.7804878048780487,875,0,45,80
0.82,0.954,1.0,0.632,0.7745098039215685,875,0,46,79
0.83,0.953,1.0,0.624,0.7684729064039408,875,0,47,78
0.84,0.953,1.0,0.624,0.7684729064039408,875,0,47,78
0.85,0.952,1.0,0.616,0.7623762376237623,875,0,48,77
