threshold,accuracy,precision,recall,f1,tn,fp,fn,tp
0.1,0.484,0.1911532385466035,0.968,0.31926121372031663,363,512,4,121
0.11,0.546,0.20987654320987653,0.952,0.34393063583815026,427,448,6,119
0.12,0.592,0.22090729783037474,0.896,0.35443037974683544,480,395,13,112
0.13,0.651,0.24545454545454545,0.864,0.3823008849557522,543,332,17,108
0.14,0.692,0.2695214105793451,0.856,0.40996168582375475,585,290,18,107
0.15,0.739,0.30346820809248554,0.84,0.4458598726114649,634,241,20,105
0.16,0.781,0.3443708609271523,0.832,0.4871194379391101,677,198,21,104
0.17,0.815,0.38721804511278196,0.824,0.5268542199488492,712,163,22,103
0.18,0.854,0.452914798206278,0.808,0.5804597701149425,753,122,24,101
0.19,0.871,0.49019607843137253,0.8,0.60790273556231,771,104,25,100
0.2,0.892,0.547486033519553,0.784,0.6447368421052632,794,81,27,98
0.21,0.906,0.593939393939394,0.784,0.6758620689655173,808,67,27,98
0.22,0.907,0.6012658227848101,0.76,0.6713780918727915,812,63,30,95
0.23,0.914,0.6291390728476821,0.76,0.6884057971014492,819,56,30,95
0.24,0.92,0.6551724137931034,0.76,0.7037037037037037,825,50,30,95
0.25,0.924,0.6737588652482269,0.76,0.7142857142857142,829,46,30,95
0.26,0.929,0.7014925373134329,0.752,0.7258687258687259,835,40,31,94
0.27,0.93,0.7099236641221374,0.744,0.7265625,837,38,32,93
0.28,0.933,0.7265625,0.744,0.7351778656126482,840,35,32,93
0.29,0.939,0.7622950819672131,0.744,0.7530364372469635,846,29,32,93
0.3,0.938,0.7603305785123967,0.736,0.7479674796747968,846,29,33,92
0.31,0.94,0.773109243697479,0.736,0.7540983606557377,848,27,33,92
0.32,0.941,0.7796610169491526,0.736,0.7572016460905351,849,26,33,92
0.33,0.943,0.7931034482758621,0.736,0.7634854771784233,851,24,33,92
0.34,0.946,0.8141592920353983,0.736,0.7731092436974789,854,21,33,92
0.35,0.949,0.8363636363636363,0.736,0.7829787234042553,857,18,33,92
0.36,0.949,0.8363636363636363,0.736,0.7829787234042553,857,18,33,92
0.37,0.949,0.8425925925925926,0.728,0.7811158798283262,858,17,34,91
0.38,0.949,0.8425925925925926,0.728,0.7811158798283262,858,17,34,91
0.39,0.949,0.8425925925925926,0.728,0.7811158798283262,858,17,34,91
0.4,0.95,0.8504672897196262,0.728,0.7844827586206896,859,16,34,91
0.41,0.952,0.8666666666666667,0.728,0.7913043478260869,861,14,34,91
0.42,0.953,0.875,0.728,0.794759825327511,862,13,34,91
0.43,0.953,0.875,0.728,0.794759825327511,862,13,34,91
0.44,0.953,0.875,0.728,0.794759825327511,862,13,34,91
0.45,0.953,0.875,0.728,0.794759825327511,862,13,34,91
0.46,0.953,0.875,0.728,0.794759825327511,862,13,34,91
0.47,0.955,0.8921568627450981,0.728,0.8017621145374448,864,11,34,91
0.48,0.954,0.8910891089108911,0.72,0.7964601769911505,864,11,35,90
0.49,0.954,0.898989898989899,0.712,0.7946428571428571,865,10,36,89
0.5,0.954,0.9072164948453608,0.704,0.7927927927927927,866,9,37,88
0.51,0.955,0.9166666666666666,0.704,0.7963800904977375,867,8,37,88
0.52,0.956,0.9263157894736842,0.704,0.8,868,7,37,88
0.53,0.957,0.9361702127659575,0.704,0.8036529680365296,869,6,37,88
0.54,0.957,0.9361702127659575,0.704,0.8036529680365296,869,6,37,88
0.55,0.958,0.9560439560439561,0.696,0.8055555555555556,871,4,38,87
0.56,0.96,0.9885057471264368,0.688,0.8113207547169811,874,1,39,86
0.57,0.96,0.9885057471264368,0.688,0.8113207547169811,874,1,39,86
0.58,0.959,0.9883720930232558,0.68,0.8056872037914692,874,1,40,85
0.59,0.959,0.9883720930232558,0.68,0.8056872037914692,874,1,40,85
0.6,0.959,0.9883720930232558,0.68,0.8056872037914692,874,1,40,85
0.61,0.959,0.9883720930232558,0.68,0.8056872037914692,874,1,40,85
0.62,0.959,0.9883720930232558,0.68,0.8056872037914692,874,1,40,85
0.63,0.958,0.9882352941176471,0.672,0.8,874,1,41,84
0.64,0.958,0.9882352941176471,0.672,0.8,874,1,41,84
0.65,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
0.66,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
0.67,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
0.68,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
0.69,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
0.7,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
0.71,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
0.72,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
0.73,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
0.74,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
0.75,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
0.76,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
0.77,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
0.78,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
0.79,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
0.8,0.959,1.0,0.672,0.8038277511961722,875,0,41,84
0.81,0.958,1.0,0.664,0.798076923076923,875,0,42,83
0.82,0.958,1.0,0.664,0.798076923076923,875,0,42,83
0.83,0.957,1.0,0.656,0.7922705314009661,875,0,43,82
0.84,0.956,1.0,0.648,0.7864077669902912,875,0,44,81
0.85,0.956,1.0,0.648,0.7864077669902912,875,0,44,81
0.86,0.956,1.0,0.648,0.7864077669902912,875,0,44,81
0.87,0.956,1.0,0.648,0.7864077669902912,875,0,44,81
0.88,0.955,1.0,0.64,0.7804878048780487,875,0,45,80
0.89,0.955,1.0,0.64,0.7804878048780487,875,0,45,80
0.9,0.954,1.0,0.632,0.7745098039215685,875,0,46,79
