version,model_name,selection_source_file,evaluation_source_file,selection_split,evaluation_split,selection_mode,min_recall,selection_note,best_threshold,selection_accuracy,selection_precision,selection_recall,selection_f1,selection_tn,selection_fp,selection_fn,selection_tp,accuracy,precision,recall,f1,tn,fp,fn,tp
v1,LogisticRegression,results_standard_research_clean\v1\LogisticRegression_validation_predictions.csv,results_standard_research_clean\v1\LogisticRegression_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.71,0.9554486634599038,0.9605037206639955,0.6712,0.7902048504826936,87152,345,4110,8390,0.9542786283588508,0.9611447184737087,0.66096,0.7832764505119454,87163,334,4238,8262
v1,DecisionTree,results_standard_research_clean\v1\DecisionTree_validation_predictions.csv,results_standard_research_clean\v1\DecisionTree_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.8,0.961898856965709,1.0,0.6952,0.8201982067012742,87497,0,3810,8690,0.961708851265538,1.0,0.69368,0.8191393887865476,87497,0,3829,8671
v1,RandomForest,results_standard_research_clean\v1\RandomForest_validation_predictions.csv,results_standard_research_clean\v1\RandomForest_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.8,0.961868856065682,0.9912905779889153,0.70112,0.821329834590694,87420,77,3736,8764,0.9614488434653039,0.9903573454339194,0.6984,0.8191414496833216,87412,85,3770,8730
v1,XGBoost,results_standard_research_clean\v1\XGBoost_validation_predictions.csv,results_standard_research_clean\v1\XGBoost_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.84,0.961848855465664,0.9946463150700535,0.69856,0.8207152591757131,87450,47,3768,8732,0.961608848265448,0.9949708538118642,0.6964,0.819332674478799,87453,44,3795,8705
v1,CatBoost,results_standard_research_clean\v1\CatBoost_validation_predictions.csv,results_standard_research_clean\v1\CatBoost_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.84,0.9616788503655109,0.990493435943866,0.70016,0.82039745031871,87413,84,3748,8752,0.96148884466534,0.9919235581845068,0.6976,0.8191254520689493,87426,71,3780,8720
v2,LogisticRegression,results_standard_research_clean\v2\LogisticRegression_validation_predictions.csv,results_standard_research_clean\v2\LogisticRegression_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.7,0.9571387141614248,0.9648030783159801,0.682,0.7991188601424822,87186,311,3975,8525,0.9557786733602008,0.9646801656695813,0.6708,0.7913363533408834,87190,307,4115,8385
v2,DecisionTree,results_standard_research_clean\v2\DecisionTree_validation_predictions.csv,results_standard_research_clean\v2\DecisionTree_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.82,0.961898856965709,1.0,0.6952,0.8201982067012742,87497,0,3810,8690,0.961708851265538,1.0,0.69368,0.8191393887865476,87497,0,3829,8671
v2,RandomForest,results_standard_research_clean\v2\RandomForest_validation_predictions.csv,results_standard_research_clean\v2\RandomForest_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.79,0.9618788563656909,1.0,0.69504,0.8200868416084576,87497,0,3812,8688,0.961698850965529,0.9998846863468634,0.69368,0.8191006990364633,87496,1,3829,8671
v2,XGBoost,results_standard_research_clean\v2\XGBoost_validation_predictions.csv,results_standard_research_clean\v2\XGBoost_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.83,0.9614088422652679,0.98128550740782,0.70472,0.8203194114634259,87329,168,3691,8809,0.9611588347650429,0.9824188129899216,0.70184,0.8187587494167056,87340,157,3727,8773
v2,CatBoost,results_standard_research_clean\v2\CatBoost_validation_predictions.csv,results_standard_research_clean\v2\CatBoost_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.82,0.960978829364881,0.9691182889567874,0.71048,0.8198855243722305,87214,283,3619,8881,0.960818824564737,0.9720572057205721,0.70688,0.8185270958777211,87243,254,3664,8836
v3,LogisticRegression,results_standard_research_clean\v3\LogisticRegression_validation_predictions.csv,results_standard_research_clean\v3\LogisticRegression_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.7,0.964908947268418,0.9834390794709108,0.7316,0.839029313271251,87343,154,3355,9145,0.963798913967419,0.9820846905537459,0.7236,0.833256563795486,87332,165,3455,9045
v3,DecisionTree,results_standard_research_clean\v3\DecisionTree_validation_predictions.csv,results_standard_research_clean\v3\DecisionTree_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.88,0.9686790603718112,0.9833849329205366,0.76232,0.8588553402433527,87336,161,2971,9529,0.9685190555716672,0.984559585492228,0.76008,0.8578781038374718,87348,149,2999,9501
v3,RandomForest,results_standard_research_clean\v3\RandomForest_validation_predictions.csv,results_standard_research_clean\v3\RandomForest_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.84,0.9699890996729902,1.0,0.75992,0.8635847083958361,87497,0,3001,9499,0.9696790903727112,1.0,0.75744,0.8619810633648944,87497,0,3032,9468
v3,XGBoost,results_standard_research_clean\v3\XGBoost_validation_predictions.csv,results_standard_research_clean\v3\XGBoost_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.82,0.9699790993729812,0.9967573221757322,0.76232,0.8639165911151405,87466,31,2971,9529,0.9695490864725942,0.9970560403743034,0.75864,0.8616600790513833,87469,28,3017,9483
v3,CatBoost,results_standard_research_clean\v3\CatBoost_validation_predictions.csv,results_standard_research_clean\v3\CatBoost_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.81,0.9697390921727652,0.9949843260188088,0.76176,0.8628908019936565,87449,48,2978,9522,0.9694590837725132,0.9955928646379854,0.75904,0.8613708579210169,87455,42,3012,9488
v4,LogisticRegression,results_standard_research_clean\v4\LogisticRegression_validation_predictions.csv,results_standard_research_clean\v4\LogisticRegression_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.75,0.963428902867086,0.9624516263989122,0.73616,0.8342323557409002,87138,359,3298,9202,0.962408872266168,0.9606830399494044,0.72912,0.8290353390639923,87124,373,3386,9114
v4,DecisionTree,results_standard_research_clean\v4\DecisionTree_validation_predictions.csv,results_standard_research_clean\v4\DecisionTree_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.76,0.9699990999729992,1.0,0.76,0.8636363636363636,87497,0,3000,9500,0.9696490894726841,1.0,0.7572,0.8618256316867744,87497,0,3035,9465
v4,RandomForest,results_standard_research_clean\v4\RandomForest_validation_predictions.csv,results_standard_research_clean\v4\RandomForest_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.8,0.9698690960728822,0.9953012425603007,0.76256,0.8635231236128097,87452,45,2968,9532,0.9695990879726392,0.9954954954954955,0.76024,0.86210650458133,87454,43,2997,9503
v4,XGBoost,results_standard_research_clean\v4\XGBoost_validation_predictions.csv,results_standard_research_clean\v4\XGBoost_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.82,0.9697690930727921,0.9948825065274152,0.76208,0.8630577576443941,87448,49,2974,9526,0.9694390831724952,0.9951761744966443,0.7592,0.861317843528771,87451,46,3010,9490
v4,CatBoost,results_standard_research_clean\v4\CatBoost_validation_predictions.csv,results_standard_research_clean\v4\CatBoost_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.83,0.9697290918727561,0.9969572972405834,0.76016,0.862602696200808,87468,29,2998,9502,0.9692490774723241,0.9973614775725593,0.756,0.8600682593856656,87472,25,3050,9450
