threshold,accuracy,precision,recall,f1,tn,fp,fn,tp
0.1,0.3110993329799894,0.14821700396775883,0.95032,0.25643848628111304,19230,68267,621,11879
0.11,0.3374501235037051,0.1525923244962062,0.9444,0.26273327175812067,21939,65558,695,11805
0.12,0.3651509545286359,0.15759781864094885,0.93864,0.2698823448228272,24781,62716,767,11733
0.13,0.39224176725301757,0.16284397262187456,0.93264,0.27727434891188013,27565,59932,842,11658
0.14,0.4150924527735832,0.16746446080203617,0.9264,0.283653198447011,29928,57569,920,11580
0.15,0.43770313109393283,0.17247887830307387,0.92112,0.29055213485414355,32255,55242,986,11514
0.16,0.4591437743132294,0.17763341498961208,0.91656,0.29759214525052596,34456,53041,1043,11457
0.17,0.47703431102933086,0.1821434847202032,0.91216,0.3036525120174703,36300,51197,1098,11402
0.18,0.4954248627458824,0.18696598818988552,0.9068,0.3100128545250663,38206,49291,1165,11335
0.19,0.5122753682610478,0.19178803895243113,0.9028,0.31636786700494807,39941,47556,1215,11285
0.2,0.5298058941768253,0.197157396034392,0.89888,0.32338465966326085,41743,45754,1264,11236
0.21,0.5491864755942678,0.20349472151437933,0.8944,0.33155397390272834,43737,43760,1320,11180
0.22,0.5678070342110263,0.20992294326509028,0.8892,0.3396589658965897,45664,41833,1385,11115
0.23,0.5853575607268218,0.21653258167439857,0.88496,0.347932753550254,47472,40025,1438,11062
0.24,0.6017480524415733,0.2231723131787972,0.88112,0.35614046433421714,49159,38338,1486,11014
0.25,0.6170585117553526,0.22988794638182009,0.87808,0.3643787866212964,50728,36769,1524,10976
0.26,0.631448943468304,0.23641716091605697,0.87376,0.372142151350983,52221,35276,1578,10922
0.27,0.6436693100793024,0.2421871517096875,0.8692,0.37882221679857747,53500,33997,1635,10865
0.28,0.6557896736902107,0.248219618653802,0.8644,0.3856862395145458,54772,32725,1695,10805
0.29,0.6688600658019741,0.25547462573252033,0.86144,0.39407857417336084,56116,31381,1732,10768
0.3,0.6807804234127024,0.2624458742079898,0.85824,0.40197088633681166,57348,30149,1772,10728
0.31,0.6926707801234037,0.2697514649424126,0.8544,0.41004376871688547,58585,28912,1820,10680
0.32,0.705001150034501,0.277889565421904,0.85072,0.4189335592018438,59864,27633,1866,10634
0.33,0.7176615298458954,0.2867405861143492,0.84616,0.4283313422560593,61187,26310,1923,10577
0.34,0.7313619408582257,0.29737889004881074,0.8432,0.4396887971132386,62594,24903,1960,10540
0.35,0.7440923227696831,0.3078503904644472,0.83888,0.4504102057471758,63921,23576,2014,10486
0.36,0.7547926437793134,0.31716962764662937,0.83408,0.45957859472802615,65051,22446,2074,10426
0.37,0.7649829494884847,0.32666309520057984,0.82928,0.46869983948635635,66130,21367,2134,10366
0.38,0.774673240197206,0.3363458401305057,0.82472,0.4778215527230591,67156,20341,2191,10309
0.39,0.7847735432062962,0.347291807718348,0.82072,0.4880589914367269,68216,19281,2241,10259
0.4,0.7944638339150174,0.3585455822940453,0.81648,0.4982790186744783,69238,18259,2294,10206
0.41,0.8035041051231537,0.3698146192227847,0.81232,0.5082463648422054,70194,17303,2346,10154
0.42,0.8113343400302009,0.3802663256093891,0.80872,0.5172960802374373,71022,16475,2391,10109
0.43,0.8187345620368611,0.39075728155339806,0.80496,0.5261176470588235,71809,15688,2438,10062
0.44,0.8262147864435934,0.40196945337620577,0.80008,0.5350989834135901,72618,14879,2499,10001
0.45,0.8340050201506045,0.4145436350748447,0.79536,0.5450209686703397,73456,14041,2558,9942
0.46,0.8413252397571928,0.427225176155276,0.79064,0.5547105211461286,74247,13250,2617,9883
0.47,0.848735462063862,0.4409940679489484,0.78504,0.5647444751381215,75058,12439,2687,9813
0.48,0.8562156864705941,0.4560968767533196,0.7804,0.5757200188857413,75864,11633,2745,9755
0.49,0.8643159294778844,0.47389774171473265,0.7756,0.5883245342557194,76734,10763,2805,9695
0.5,0.8717761532845986,0.49177059905949705,0.76968,0.6001122754491018,77554,9943,2879,9621
0.51,0.8787363620908627,0.509974397269042,0.76488,0.6119431643625193,78310,9187,2939,9561
0.52,0.8854665639969199,0.5291432388799199,0.7604,0.6240357154580967,79039,8458,2995,9505
0.53,0.8919467584027521,0.5493162641838812,0.7552,0.6360114535960923,79752,7745,3060,9440
0.54,0.8984069522085663,0.5713154207031012,0.75016,0.6486355618579878,80461,7036,3123,9377
0.55,0.9043971319139574,0.5937141399974499,0.74504,0.660824522812744,81124,6373,3187,9313
0.56,0.9101873056191686,0.6175429220388804,0.73952,0.673049619571153,81772,5725,3256,9244
0.57,0.9158774763242897,0.6429770565193061,0.73536,0.6860725481415136,82393,5104,3308,9192
0.58,0.9204076122283669,0.6658631017605376,0.7292,0.6960937798312268,82923,4574,3385,9115
0.59,0.9248477454323629,0.6900785480057958,0.72392,0.7065943075781831,83433,4064,3451,9049
