threshold,accuracy,precision,recall,f1,tn,fp,fn,tp
0.1,0.4003020090602718,0.1715108232298068,0.99136,0.29242967717575985,27637,59860,108,12392
0.11,0.4115223456703701,0.17412459569680777,0.99056,0.29618466690587253,28769,58728,118,12382
0.12,0.41736252087562625,0.17546522183138547,0.98968,0.2980820201436075,29364,58133,129,12371
0.13,0.4231226936808104,0.1767903636519699,0.98864,0.2999441761122303,29953,57544,142,12358
0.14,0.42779283378501354,0.1778773428608474,0.98776,0.30146618973789263,30431,57066,153,12347
0.15,0.43128293848815463,0.17867385069957417,0.98688,0.30256800176596105,30791,56706,164,12336
0.16,0.4361830854925648,0.1797547803240403,0.9852,0.30403653869892605,31302,56195,185,12315
0.17,0.4402732081962459,0.18074058841673887,0.9844,0.30540698179471587,31721,55776,195,12305
0.18,0.444303329099873,0.18176041143262495,0.98392,0.30683831050570065,32130,55367,201,12299
0.19,0.44921347640429216,0.18290012661056082,0.98232,0.3083819928423432,32641,54856,221,12279
0.2,0.4529935898076942,0.18380314406030362,0.9812,0.30960885534337174,33033,54464,235,12265
0.21,0.45627368821064634,0.1845495502282761,0.97984,0.3105988563023825,33378,54119,252,12248
0.22,0.4620938628158845,0.18597222433488994,0.97808,0.31252156797586944,33982,53515,274,12226
0.23,0.4725441763252898,0.18836921170822363,0.97304,0.31563513688854283,35090,52407,337,12163
0.24,0.48670460113803415,0.1916944576782595,0.96568,0.31988869749569365,36598,50899,429,12071
0.25,0.518405552166565,0.19996970920840065,0.95064,0.330432122796285,39956,47541,617,11883
0.26,0.595687870636119,0.22523905087947113,0.91584,0.3615576540441525,48119,39378,1052,11448
0.27,0.7636129083872516,0.3274996902490398,0.84584,0.47217756341550554,65786,21711,1927,10573
0.28,0.8653259597787933,0.4769641240649864,0.80088,0.5978679566424796,76519,10978,2489,10011
0.29,0.9078172345170356,0.6011838697743248,0.78,0.6790166446131347,81029,6468,2750,9750
0.3,0.9201576047281419,0.6520333961755993,0.77472,0.7081017841474115,82329,5168,2816,9684
0.31,0.924397731931958,0.6717663421418637,0.7728,0.71875,82777,4720,2840,9660
0.32,0.9265077952338571,0.6822072868765475,0.77144,0.7240848507602778,83005,4492,2857,9643
0.33,0.927597827934838,0.6876962603482729,0.77088,0.7269161134580566,83121,4376,2864,9636
0.34,0.9285578567357021,0.692772818888569,0.76992,0.7293119127008184,83229,4268,2876,9624
0.35,0.9297178915367461,0.6988950276243094,0.76912,0.7323278488726388,83355,4142,2886,9614
0.36,0.9314179425382761,0.7078850405305822,0.76848,0.7369390103567318,83533,3964,2894,9606
0.37,0.9330279908397252,0.7169345794392523,0.76712,0.7411787439613527,83711,3786,2911,9589
0.38,0.9348980469414082,0.7275835866261399,0.766,0.7462977396726423,83912,3585,2925,9575
0.39,0.9359880796423893,0.7342345802288962,0.76472,0.7491672871194013,84037,3460,2941,9559
0.4,0.9374381231436943,0.7430328506928227,0.7636,0.7531760435571687,84196,3301,2955,9545
0.41,0.9386881606448193,0.7512426035502958,0.76176,0.7564647467725918,84344,3153,2978,9522
0.42,0.9407982239467184,0.765066065098292,0.75968,0.7623635195889531,84581,2916,3004,9496
0.43,0.9419882596477894,0.7735402204981625,0.75776,0.765568801778137,84724,2773,3028,9472
0.44,0.9433783013490404,0.7829829498427413,0.7568,0.7696688633959808,84875,2622,3040,9460
0.45,0.9440683220496615,0.7878636325748104,0.75616,0.7716863289382373,84952,2545,3048,9452
0.46,0.9443083292498775,0.7895396440805414,0.756,0.7724059013445583,84978,2519,3050,9450
0.47,0.9445683370501115,0.7915025559373167,0.7556,0.7731346948798756,85009,2488,3055,9445
0.48,0.9448183445503365,0.7933613445378151,0.75528,0.7738524590163933,85038,2459,3059,9441
0.49,0.9450683520505615,0.7951807228915663,0.75504,0.7745906684722393,85066,2431,3062,9438
0.5,0.9456783703511106,0.7997455470737913,0.75432,0.7763688760806916,85136,2361,3071,9429
0.51,0.9463583907517226,0.8046968403074295,0.75384,0.7784386617100371,85210,2287,3077,9423
0.52,0.9474384231526946,0.8134302526825892,0.752,0.7815098104423013,85341,2156,3100,9400
0.53,0.9503985119553586,0.8387241689128482,0.7468,0.7900973338975879,85702,1795,3165,9335
0.54,0.9527785833575008,0.8618347599553405,0.74104,0.7968857536132141,86012,1485,3237,9263
0.55,0.9534586037581128,0.8680112570356473,0.74024,0.7990500863557859,86090,1407,3247,9253
0.56,0.9537786133584008,0.871043707611153,0.73976,0.8000519120955183,86128,1369,3253,9247
0.57,0.9538886166584998,0.8722279890535057,0.73944,0.8003636835952721,86143,1354,3257,9243
0.58,0.9540986229586887,0.8741721854304636,0.7392,0.8010403120936281,86167,1330,3260,9240
0.59,0.9542486274588238,0.8756280216134231,0.73896,0.8015098268905376,86185,1312,3263,9237
0.6,0.9543586307589228,0.8766850199354471,0.7388,0.8018581227750283,86198,1299,3265,9235
0.61,0.9544486334590038,0.8779373989154219,0.73824,0.8020511929077397,86214,1283,3272,9228
0.62,0.9545486364590938,0.8789899952358265,0.738,0.802348336594912,86227,1270,3275,9225
0.63,0.9546086382591478,0.8796375774916547,0.73784,0.8025233848161845,86235,1262,3277,9223
0.64,0.9546486394591838,0.8804088260578852,0.73736,0.8025599721363578,86245,1252,3283,9217
0.65,0.9549386481594447,0.8839577329490874,0.73616,0.8033173286774334,86289,1208,3298,9202
0.66,0.9555686670600118,0.8910026205959429,0.7344,0.8051572161557691,86374,1123,3320,9180
0.67,0.9563486904607138,0.8997542997542998,0.7324,0.8074972436604189,86477,1020,3345,9155
0.68,0.9568787063611909,0.9055874777095304,0.73128,0.8091528724440117,86544,953,3359,9141
0.69,0.9573587207616229,0.9109780439121756,0.73024,0.8106571936056839,86605,892,3372,9128
0.7,0.9576087282618478,0.9145007526342198,0.72904,0.8113064767415981,86645,852,3387,9113
0.71,0.9582387471624149,0.9235701200895583,0.726,0.8129535071217414,86746,751,3425,9075
0.72,0.9590787723631709,0.9345668802977052,0.72328,0.8154595472174619,86864,633,3459,9041
0.73,0.9593187795633868,0.9376167739256799,0.72264,0.8162103551097857,86896,601,3467,9033
0.74,0.959558786763603,0.9407839866555463,0.72192,0.8169473112438892,86929,568,3476,9024
0.75,0.9595787873636209,0.9414405010438414,0.72152,0.8169384057971014,86936,561,3481,9019
0.76,0.9596087882636479,0.9421971359882931,0.72112,0.816966511079893,86944,553,3486,9014
0.77,0.959638789163675,0.9435128903793754,0.72024,0.8168950186008529,86958,539,3497,9003
0.78,0.959958798763963,0.9509554140127389,0.71664,0.8173357664233577,87035,462,3542,8958
0.79,0.960748822464674,0.9679144385026738,0.70952,0.8188154918524673,87203,294,3631,8869
0.8,0.961868856065682,0.9912905779889153,0.70112,0.821329834590694,87420,77,3736,8764
