threshold,accuracy,precision,recall,f1,tn,fp,fn,tp
0.1,0.40041201236037083,0.17157330897313458,0.99168,0.292534425184958,27644,59853,104,12396
0.11,0.408012240367211,0.17329676633970922,0.9908,0.2949968439982374,28415,59082,115,12385
0.12,0.4153224596737902,0.17502333078815643,0.99024,0.29746941914397634,29153,58344,122,12378
0.13,0.42105263157894735,0.1763422459893048,0.98928,0.29932829046898635,29738,57759,134,12366
0.14,0.42886286588597655,0.17814267574743162,0.98768,0.30184343063908853,30539,56958,154,12346
0.15,0.43540306209186275,0.17970913118241963,0.98656,0.304035896550874,31207,56290,168,12332
0.16,0.4414832444973349,0.18119374007177738,0.98552,0.30610774276910846,31828,55669,181,12319
0.17,0.443843315299459,0.1817309395854249,0.98472,0.3068351779838468,32074,55423,191,12309
0.18,0.446313389401682,0.1823301863022632,0.98416,0.30766152730364754,32328,55169,198,12302
0.19,0.45032350970529117,0.18330698326522088,0.9832,0.3090035954039172,32741,54756,210,12290
0.2,0.4530535916077482,0.18399017360955078,0.98264,0.3099458736547269,33021,54476,217,12283
0.21,0.45629368881066434,0.1846976428947963,0.98104,0.31086887635464855,33365,54132,237,12263
0.22,0.4611438343150295,0.18580886148987216,0.97896,0.31233569003803063,33876,53621,263,12237
0.23,0.46541396241887256,0.1867916736766438,0.97704,0.31362428257771274,34327,53170,287,12213
0.24,0.4712541376241287,0.18812860166545645,0.97416,0.31535602833206,34947,52550,323,12177
0.25,0.4915147454423633,0.19296363316092047,0.964,0.3215605694690915,37100,50397,450,12050
0.26,0.5914677440323209,0.22386925863882504,0.91944,0.36006767129296025,47652,39845,1007,11493
0.27,0.7690230706921207,0.3326595711082336,0.84264,0.4770056382039264,66367,21130,1967,10533
0.28,0.8770363110893327,0.5051892551892552,0.7944,0.6176141311108346,77771,9726,2570,9930
0.29,0.9071872156164685,0.5987483894717467,0.78072,0.6777318656897809,80957,6540,2741,9759
0.3,0.9202376071282139,0.6524258760107817,0.77456,0.7082662765179224,82339,5158,2818,9682
0.31,0.925187755632669,0.6755017833414924,0.77272,0.7208477928280906,82857,4640,2841,9659
0.32,0.927287818634559,0.6860456841955455,0.77128,0.7261703009076186,83085,4412,2859,9641
0.33,0.928307849235477,0.6914183123877917,0.77024,0.7287038789025544,83200,4297,2872,9628
0.34,0.9290378711361341,0.6952876553917318,0.7696,0.7305589307411909,83281,4216,2880,9620
0.35,0.9295278858365751,0.6979310344827586,0.76912,0.7317982873453854,83336,4161,2886,9614
0.36,0.9310879326379792,0.7061677571124017,0.76848,0.7360073554763821,83500,3997,2894,9606
0.37,0.9333580007400222,0.7184785864031147,0.76768,0.7422648514851485,83737,3760,2904,9596
0.38,0.9341380241407242,0.7231698113207548,0.76656,0.744233009708738,83829,3668,2918,9582
0.39,0.9362380871426143,0.7356109572176054,0.7648,0.7499215563225603,84061,3436,2940,9560
0.4,0.9376181285438563,0.7440754599314,0.7636,0.7537113076437144,84214,3283,2955,9545
0.41,0.9387281618448553,0.7511230199385295,0.76248,0.7567589026956212,84339,3158,2969,9531
0.42,0.9402882086462594,0.7611391088712903,0.7612,0.7611695532178713,84511,2986,2985,9515
0.43,0.9421182635479064,0.7736018261862058,0.75912,0.7662924977792135,84720,2777,3011,9489
0.44,0.9434483034491035,0.7828746177370031,0.75776,0.7701126062035042,84870,2627,3028,9472
0.45,0.9439683190495715,0.7868252516010978,0.7568,0.7715206133017984,84934,2563,3040,9460
0.46,0.9443783313499405,0.7901472064235531,0.75576,0.7725711481844946,84988,2509,3053,9447
0.47,0.9451183535506065,0.7956653735874515,0.7548,0.7746941456605632,85074,2423,3065,9435
0.48,0.9456483694510835,0.7997963167274887,0.75392,0.7761808672734011,85138,2359,3076,9424
0.49,0.9459883796513895,0.8023681744611977,0.75352,0.777177276290276,85177,2320,3081,9419
