threshold,accuracy,precision,recall,f1,tn,fp,fn,tp
0.1,0.40178205346160384,0.1719356627842485,0.992,0.29307492318600803,27777,59720,100,12400
0.11,0.40701221036631097,0.17310029758162537,0.9912,0.2947298309882607,28310,59187,110,12390
0.12,0.4122523675710271,0.17431270147383832,0.99064,0.29646033589102094,28841,58656,117,12383
0.13,0.41716251487544626,0.1754430738692755,0.98992,0.2980609418282548,29341,58156,126,12374
0.14,0.4248027440823225,0.17716072401824387,0.98816,0.30045486609423266,30127,57370,148,12352
0.15,0.4331729951898557,0.17907108509000044,0.98608,0.30309960286722487,30990,56507,174,12326
0.16,0.4406032180965429,0.18077194426480098,0.98392,0.3054286281911195,31760,55737,201,12299
0.17,0.444373331199936,0.18170394571500376,0.98328,0.30672672597731554,32145,55352,209,12291
0.18,0.4478134344030321,0.18246286963114938,0.98184,0.30773666988453297,32507,54990,227,12273
0.19,0.4524635739072172,0.18353406435376596,0.98016,0.30917533057434143,32993,54504,248,12252
0.2,0.4591237737132114,0.1851072207414587,0.97784,0.3112871186268018,33688,53809,277,12223
0.21,0.4674640239207176,0.18718720255457644,0.97544,0.31409876606816256,34552,52945,307,12193
0.22,0.47944438333149997,0.19011281729865245,0.97064,0.31795073375262056,35810,51687,367,12133
0.23,0.4958748762462874,0.1943795043774084,0.96448,0.3235511184466541,37530,49967,444,12056
0.24,0.5214156424692741,0.20112931311389495,0.95176,0.33208189697282664,40243,47254,603,11897
0.25,0.5637569127073813,0.21414794540678558,0.93264,0.3483171245462287,44716,42781,842,11658
0.26,0.628668860065802,0.23961945031712473,0.90672,0.37906354515050167,51531,35966,1166,11334
0.27,0.7142114263427903,0.2870237906003285,0.86672,0.43123830752696735,60585,26912,1666,10834
0.28,0.7950038501155035,0.3611140049310692,0.83192,0.5036201176840932,69099,18398,2101,10399
0.29,0.853415602468074,0.45155352011494254,0.80456,0.5784539284481767,75282,12215,2443,10057
0.3,0.8862965888976669,0.5303306849903371,0.79032,0.6347340015420201,78748,8749,2621,9879
0.31,0.9031370941128234,0.5840602222487753,0.78208,0.6687187906149532,80535,6962,2724,9776
0.32,0.9139274178225347,0.6252493404542823,0.77736,0.6930565956991549,81673,5824,2783,9717
0.33,0.9209976299288979,0.6560803474484256,0.77344,0.7099427228667939,82429,5068,2832,9668
0.34,0.925787773633209,0.6786241823169445,0.77184,0.7222367780813715,82928,4569,2852,9648
0.35,0.928107843235297,0.6904813141094613,0.77008,0.7281116447940699,83182,4315,2874,9626
0.36,0.9297778933368,0.699257965953732,0.76896,0.7324544692524575,83363,4134,2888,9612
0.37,0.9317379521385641,0.7098372781065089,0.76776,0.7376633358954651,83574,3923,2903,9597
0.38,0.9355580667420023,0.7314630790399022,0.76552,0.7481041357204284,83984,3513,2931,9569
0.39,0.9379681390441713,0.7462651544779038,0.76328,0.7546766857820842,84253,3244,2959,9541
0.4,0.9393181795453863,0.7551570929863536,0.76144,0.7582855321861057,84411,3086,2982,9518
0.41,0.9406382191465744,0.76374156219865,0.76032,0.7620269403463759,84557,2940,2996,9504
0.42,0.9417982539476184,0.7716772409305352,0.75896,0.7652657901105107,84690,2807,3013,9487
0.43,0.9427082812484374,0.7776593127204133,0.75856,0.7679909286032478,84786,2711,3018,9482
0.44,0.9432982989489684,0.7819052336140003,0.75776,0.7696432924351995,84855,2642,3028,9472
0.45,0.9437583127493825,0.7853112033195021,0.75704,0.7709164969450102,84910,2587,3037,9463
0.46,0.9449383481504445,0.7938655462184874,0.75576,0.7743442622950819,85044,2453,3053,9447
