threshold,accuracy,precision,recall,f1,tn,fp,fn,tp
0.1,0.5356660699820994,0.20784543325526933,0.9656,0.3420620075950802,41495,46002,430,12070
0.11,0.5364860945828375,0.20812926812443955,0.96552,0.34244126659856994,41578,45919,431,12069
0.12,0.5405562166865006,0.2094490104429115,0.96432,0.34414926268004736,42000,45497,446,12054
0.13,0.5420362610878326,0.20996881478771406,0.96416,0.3448404125953161,42150,45347,448,12052
0.14,0.5435763072892187,0.2104729788758234,0.96368,0.34548922317984315,42310,45187,454,12046
0.15,0.5438063141894257,0.21055759482607936,0.96368,0.34560321331229377,42333,45164,454,12046
0.16,0.5504465133954018,0.2126438817071011,0.96064,0.34820936639118455,43035,44462,492,12008
0.17,0.553676610298309,0.21373460914809073,0.9596,0.34960143396336396,43371,44126,505,11995
0.18,0.554696640899227,0.21403189228763772,0.95888,0.34995109560444376,43482,44015,514,11986
0.19,0.5597767933037991,0.21569405610174078,0.95656,0.3520129535585486,44019,43478,543,11957
0.2,0.5671770153104593,0.218127873115877,0.9528,0.3549872580140386,44806,42691,590,11910
0.21,0.5708671260137804,0.21930148416155948,0.9504,0.3563714902807775,45205,42292,620,11880
0.22,0.5747372421172635,0.22059890938192106,0.94824,0.3579290664492459,45619,41878,647,11853
0.23,0.5813974419232577,0.22294989147872038,0.94504,0.3607849125753989,46325,41172,687,11813
0.24,0.596047881436443,0.22843568674792633,0.93856,0.3674402580725986,47871,39626,768,11732
0.25,0.6030980929427883,0.2310310033041173,0.93416,0.37044556889741925,48631,38866,823,11677
0.26,0.628178845365361,0.24131642385494184,0.92096,0.38242670874512086,51304,36193,988,11512
0.27,0.8475354260627819,0.4415247018739353,0.82936,0.5762645914396888,74384,13113,2133,10367
0.28,0.8631658949768493,0.4727783146946477,0.82184,0.6002512489409565,76041,11456,2227,10273
0.29,0.8685160554816644,0.48467650397275824,0.81984,0.6092022351682321,76601,10896,2252,10248
0.3,0.889786693600808,0.5393749001650604,0.8104,0.6476775039161152,78846,8651,2370,10130
0.31,0.9063371901157035,0.592612293144208,0.80216,0.6816451393609789,80604,6893,2473,10027
0.32,0.9075772273168196,0.5970451566781843,0.80176,0.6844225909991122,80733,6764,2478,10022
0.33,0.9177375321259638,0.6362361341323474,0.7984,0.7081529837507983,81791,5706,2520,9980
0.34,0.9218476554296628,0.6536569367005576,0.7972,0.7183276265993873,82217,5280,2535,9965
0.35,0.92427772833185,0.6645738712262891,0.796,0.7243739079790333,82475,5022,2550,9950
0.36,0.9287578627358821,0.6856097224140312,0.79432,0.7359721295678602,82944,4553,2571,9929
0.37,0.9306179185375562,0.6951031289462607,0.79264,0.7406742916946998,83151,4346,2592,9908
0.38,0.9312579377381321,0.6983779971791255,0.79224,0.7423538230884558,83220,4277,2597,9903
0.39,0.9396881906457194,0.7440211241041117,0.78896,0.7658318773053775,84104,3393,2638,9862
0.4,0.9416882506475194,0.755968373378368,0.78784,0.7715751948916832,84318,3179,2652,9848
0.41,0.9425982779483385,0.7614884728454279,0.78744,0.7742468339495006,84414,3083,2657,9843
0.42,0.9456383691510746,0.7808077595802194,0.78568,0.7832363027354653,84740,2757,2679,9821
0.43,0.9477784333530006,0.794799092676604,0.78488,0.7898084044437288,84964,2533,2689,9811
