version,model_name,selection_source_file,evaluation_source_file,selection_split,evaluation_split,selection_mode,min_recall,selection_note,best_threshold,selection_accuracy,selection_precision,selection_recall,selection_f1,selection_tn,selection_fp,selection_fn,selection_tp,accuracy,precision,recall,f1,tn,fp,fn,tp
v1,LogisticRegression,results_standard_research_clean_smote\v1\LogisticRegression_validation_predictions.csv,results_standard_research_clean_smote\v1\LogisticRegression_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.71,0.9554186625598768,0.9588087631218621,0.67224,0.7903498871331829,87136,361,4097,8403,0.9543486304589137,0.9597867655580021,0.66256,0.7839462350324199,87150,347,4218,8282
v1,DecisionTree,results_standard_research_clean_smote\v1\DecisionTree_validation_predictions.csv,results_standard_research_clean_smote\v1\DecisionTree_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.41,0.960978829364881,0.9666739036039947,0.7124,0.8202837140751659,87190,307,3595,8905,0.9607288218646559,0.9680096080358118,0.70928,0.8186896901980701,87204,293,3634,8866
v1,RandomForest,results_standard_research_clean_smote\v1\RandomForest_validation_predictions.csv,results_standard_research_clean_smote\v1\RandomForest_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.63,0.961858855765673,0.9975939505041247,0.69656,0.8203316374599584,87476,21,3793,8707,0.9615988479654389,0.9970156106519743,0.69488,0.8189703941165378,87471,26,3814,8686
v1,XGBoost,results_standard_research_clean_smote\v1\XGBoost_validation_predictions.csv,results_standard_research_clean_smote\v1\XGBoost_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.44,0.961508845265358,0.9845412792651507,0.70312,0.8203668269006393,87359,138,3711,8789,0.9613188395651869,0.9853801169590644,0.70096,0.8191847419596111,87367,130,3738,8762
v1,CatBoost,results_standard_research_clean_smote\v1\CatBoost_validation_predictions.csv,results_standard_research_clean_smote\v1\CatBoost_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.44,0.961668850065502,0.9896056942718336,0.70072,0.8204767926560816,87405,92,3741,8759,0.9613988419652589,0.9895738893925657,0.69856,0.8189833051960232,87405,92,3768,8732
v2,LogisticRegression,results_standard_research_clean_smote\v2\LogisticRegression_validation_predictions.csv,results_standard_research_clean_smote\v2\LogisticRegression_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.7,0.9568087042611279,0.9598650927487352,0.68304,0.7981304043000701,87140,357,3962,8538,0.9554686640599218,0.9597760255970746,0.67192,0.7904569196743683,87145,352,4101,8399
v2,DecisionTree,results_standard_research_clean_smote\v2\DecisionTree_validation_predictions.csv,results_standard_research_clean_smote\v2\DecisionTree_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.41,0.960978829364881,0.9666739036039947,0.7124,0.8202837140751659,87190,307,3595,8905,0.9607388221646649,0.9681153090194365,0.70928,0.8187274909963986,87205,292,3634,8866
v2,RandomForest,results_standard_research_clean_smote\v2\RandomForest_validation_predictions.csv,results_standard_research_clean_smote\v2\RandomForest_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.62,0.961898856965709,1.0,0.6952,0.8201982067012742,87497,0,3810,8690,0.961708851265538,1.0,0.69368,0.8191393887865476,87497,0,3829,8671
v2,XGBoost,results_standard_research_clean_smote\v2\XGBoost_validation_predictions.csv,results_standard_research_clean_smote\v2\XGBoost_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.43,0.96148884466534,0.9842122942559623,0.7032,0.8203070318697214,87356,141,3710,8790,0.9612788383651509,0.986248872858431,0.7,0.8188283735728992,87375,122,3750,8750
v2,CatBoost,results_standard_research_clean_smote\v2\CatBoost_validation_predictions.csv,results_standard_research_clean_smote\v2\CatBoost_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.44,0.961468844065322,0.9843172398342108,0.70296,0.82018014654408,87357,140,3713,8787,0.961138834165025,0.9857884051432438,0.6992,0.8181222503042216,87371,126,3760,8740
