threshold,accuracy,precision,recall,f1,tn,fp,fn,tp
0.1,0.927517825534766,0.6873038516405136,0.77088,0.7266968325791855,83113,4384,2864,9636
0.11,0.9318079542386272,0.7099253565885744,0.76848,0.7380431024547655,83572,3925,2894,9606
0.12,0.9371181135434064,0.7411490683229813,0.76368,0.7522458628841607,84163,3334,2954,9546
0.13,0.9398481954458634,0.7585519496052946,0.76104,0.7597939379417756,84469,3028,2987,9513
0.14,0.9411382341470245,0.7672971225347559,0.75944,0.7633483435188164,84618,2879,3007,9493
0.15,0.9423782713481405,0.7756504663721159,0.7584,0.7669282420516139,84755,2742,3020,9480
0.16,0.9432282968489054,0.781732595590057,0.75728,0.7693120403104556,84854,2643,3034,9466
0.17,0.9435683070492115,0.7842161982922987,0.7568,0.7702642185400806,84894,2603,3040,9460
0.18,0.9438783163494905,0.7863318922514134,0.75664,0.7712002609262885,84927,2570,3042,9458
0.19,0.9462783883516506,0.8039399624765479,0.75416,0.7782547676050525,85198,2299,3073,9427
0.2,0.9463783913517405,0.8048863830514266,0.75376,0.7784846732215153,85213,2284,3078,9422
0.21,0.9465583967519026,0.8064405618362452,0.75328,0.7789543348775645,85237,2260,3084,9416
0.22,0.9470384111523346,0.8106243532252501,0.752,0.7802124833997345,85301,2196,3100,9400
0.23,0.9474884246527396,0.8142175986129172,0.75136,0.7815269398793426,85354,2143,3108,9392
0.24,0.9477484324529736,0.816827802456232,0.75024,0.7821191776823319,85394,2103,3122,9378
0.25,0.9497784933548007,0.8346160730266691,0.74608,0.7878685477739291,85649,1848,3174,9326
0.26,0.9545286358590758,0.879618138424821,0.73712,0.80208922742111,86236,1261,3286,9214
0.27,0.9552586577597328,0.8870563271604939,0.73576,0.8043554311701941,86326,1171,3303,9197
0.28,0.9561886856605698,0.8977172528656804,0.73304,0.8070639009996918,86453,1044,3337,9163
0.29,0.9576187285618568,0.9143430290872618,0.72928,0.8113929684023143,86643,854,3384,9116
0.3,0.9582087462623878,0.9215726010740704,0.7276,0.8131789530153338,86723,774,3405,9095
0.31,0.9583287498624958,0.9229519845700944,0.72736,0.8135653885732183,86738,759,3408,9092
0.32,0.9583687510625318,0.9235850015242354,0.72712,0.8136609820509377,86745,752,3411,9089
0.33,0.9583887516625499,0.9241175872240871,0.7268,0.813667099547714,86751,746,3415,9085
