threshold,accuracy,precision,recall,f1,tn,fp,fn,tp
0.1,0.9411782353470605,0.7675885492479378,0.75936,0.7634521032735463,84623,2874,3008,9492
0.11,0.9433783013490404,0.7826554232804233,0.75736,0.7697999674743862,84868,2629,3033,9467
0.12,0.9452983589507685,0.796875,0.7548,0.7752670501232539,85092,2405,3065,9435
0.13,0.9467284018520555,0.8077220077220078,0.75312,0.7794659490788657,85256,2241,3086,9414
0.14,0.9474884246527396,0.8138366958178197,0.75192,0.7816541228325502,85347,2150,3101,9399
0.15,0.9485184555536667,0.8229660868037252,0.74936,0.7844401641403567,85482,2015,3133,9367
0.16,0.9500285008550257,0.8352846545714541,0.74768,0.7890582126725485,85654,1843,3154,9346
0.17,0.9509185275558266,0.8429087624209576,0.74648,0.7917691981332203,85758,1739,3169,9331
0.18,0.9524685740572217,0.8574328688751499,0.74336,0.7963320049706475,85952,1545,3208,9292
0.19,0.9535786073582208,0.8691281473130402,0.74008,0.7994296577946768,86104,1393,3249,9251
0.2,0.9548386451593548,0.8820095693779905,0.73736,0.8032244008714599,86264,1233,3283,9217
0.21,0.9554986649599488,0.8896418199419167,0.7352,0.8050810337275515,86357,1140,3310,9190
0.22,0.9561086832604978,0.897091941643004,0.73296,0.8067626469422797,86446,1051,3338,9162
0.23,0.9567787033611008,0.9042111506524317,0.73176,0.8088963565617261,86528,969,3353,9147
0.24,0.9574187225616768,0.9118528882670398,0.72992,0.8108060072869456,86615,882,3376,9124
0.25,0.9579687390621718,0.9188288743059061,0.72808,0.8124079446552108,86693,804,3399,9101
0.26,0.9584387531625949,0.9249337950702791,0.72648,0.8137825970069003,86760,737,3419,9081
0.27,0.9588387651629549,0.9299487179487179,0.72536,0.8150112359550562,86814,683,3433,9067
0.28,0.9589887696630899,0.9323586945330999,0.72448,0.8153783820285418,86840,657,3444,9056
0.29,0.9590987729631889,0.9339525283797729,0.724,0.8156827399729607,86857,640,3450,9050
0.3,0.9591987759632788,0.9354571783202317,0.72352,0.8159509202453988,86873,624,3456,9044
0.31,0.9593287798633959,0.9378959393498806,0.72248,0.8162140178046906,86899,598,3469,9031
0.32,0.9594887846635399,0.9404650192889167,0.7216,0.8166221538182971,86926,571,3480,9020
0.33,0.9596287888636659,0.9427644658365596,0.7208,0.8169742032007979,86950,547,3490,9010
0.34,0.9597887936638099,0.945934574524035,0.71944,0.8172854091879856,86983,514,3507,8993
0.35,0.9598887966638999,0.9475904249710008,0.71888,0.8175408270026839,87000,497,3514,8986
0.36,0.960148804464134,0.9517241379310345,0.7176,0.8182440136830103,87042,455,3530,8970
0.37,0.960348810464314,0.9555887690829508,0.71608,0.8186765445648695,87081,416,3549,8951
0.38,0.9605388161644849,0.9599913959991396,0.71408,0.8189742178181484,87125,372,3574,8926
0.39,0.960708821264638,0.9640498105035192,0.71224,0.8192316540142628,87165,332,3597,8903
0.4,0.961018830564917,0.9703630796150481,0.70984,0.8199038994640547,87226,271,3627,8873
0.41,0.961228836865106,0.9756205184776613,0.70752,0.8202179457454208,87276,221,3656,8844
0.42,0.961268838065142,0.9787989787989788,0.70544,0.8199358408108234,87306,191,3682,8818
0.43,0.96148884466534,0.9842122942559623,0.7032,0.8203070318697214,87356,141,3710,8790
0.44,0.961468844065322,0.9862782589135081,0.70152,0.8198775185825815,87375,122,3731,8769
0.45,0.961748852465574,0.9947530512147827,0.69768,0.8201438848920863,87451,46,3779,8721
0.46,0.96178885366561,0.9970221051425954,0.6964,0.820027318543639,87471,26,3795,8705
0.47,0.961828854865646,0.9977072108219649,0.69624,0.8201479526928331,87477,20,3797,8703
0.48,0.961818854565637,0.9996546961325967,0.6948,0.8198036624504436,87494,3,3815,8685
0.49,0.961818854565637,0.9998848456932289,0.69464,0.8197696374622356,87496,1,3817,8683
0.5,0.961818854565637,0.9998848456932289,0.69464,0.8197696374622356,87496,1,3817,8683
0.51,0.961828854865646,1.0,0.69464,0.8198083368739083,87497,0,3817,8683
0.52,0.961818854565637,1.0,0.69456,0.8197526201491832,87497,0,3818,8682
