threshold,accuracy,precision,recall,f1,tn,fp,fn,tp
0.1,0.961698850965529,0.8999815464107769,0.78032,0.83588996486417,86413,1084,2746,9754
0.11,0.962368871066132,0.9064855308458174,0.77936,0.8381296511377812,86492,1005,2758,9742
0.12,0.9627888836665099,0.9105789916752408,0.7788,0.8395498253632875,86541,956,2765,9735
0.13,0.963228896866906,0.9149656664471828,0.77816,0.8410358393497903,86593,904,2773,9727
0.14,0.9638589157674731,0.921377086494689,0.7772,0.843169588613088,86668,829,2785,9715
0.15,0.965058951768553,0.9335644136337378,0.77568,0.8473302455649742,86807,690,2804,9696
0.16,0.9663589907697231,0.9475798549872624,0.77368,0.8518453272262838,86962,535,2829,9671
0.17,0.9675690270708122,0.962156764852721,0.77088,0.855962691538974,87118,379,2864,9636
0.18,0.9682590477714331,0.9705348133198789,0.76944,0.8583668005354752,87205,292,2882,9618
0.19,0.9684390531715952,0.9725874974711713,0.7692,0.8590190297507371,87226,271,2885,9615
0.2,0.9685290558716761,0.9736655525169655,0.76904,0.8593393822911545,87237,260,2887,9613
0.21,0.9686090582717481,0.9745513535435466,0.76896,0.8596342172338236,87246,251,2888,9612
0.22,0.9686690600718022,0.9756270945465624,0.76856,0.8598022105875509,87257,240,2893,9607
0.23,0.9687390621718651,0.9768056968463886,0.76816,0.8600089565606807,87269,228,2898,9602
0.24,0.9687890636719102,0.9777890983188996,0.76776,0.8601389200089624,87279,218,2903,9597
0.25,0.9688090642719281,0.9787690109217108,0.76712,0.8601157106337176,87289,208,2911,9589
0.26,0.9689890696720902,0.9809640773718146,0.7668,0.8607606304162363,87311,186,2915,9585
0.27,0.9692090762722881,0.9840715239954784,0.76608,0.8614997076154919,87342,155,2924,9576
0.28,0.9693090792723782,0.9853834276891406,0.76584,0.8618501012829168,87355,142,2927,9573
0.29,0.9692990789723692,0.9856819118252987,0.76552,0.8617615273775215,87358,139,2931,9569
0.3,0.9692590777723332,0.9862773421378457,0.76472,0.8614816149963952,87364,133,2941,9559
0.31,0.9692790783723512,0.9865813377374071,0.76464,0.8615467820443483,87367,130,2942,9558
0.32,0.9693190795723872,0.9871900826446282,0.76448,0.8616771866546438,87373,124,2944,9556
0.33,0.9693190795723872,0.9875930521091811,0.76416,0.8616272776474833,87377,120,2948,9552
0.34,0.9693190795723872,0.9882998550424519,0.7636,0.8615398501669825,87384,113,2955,9545
0.35,0.9693290798723961,0.988908468954079,0.7632,0.8615162324468326,87390,107,2960,9540
0.36,0.9693590807724232,0.9892160929075072,0.7632,0.8616329479768786,87393,104,2960,9540
0.37,0.9693590807724232,0.9895206474372277,0.76296,0.8615954467431566,87396,101,2963,9537
0.38,0.9694090822724681,0.9903396696790278,0.76272,0.8617526099335653,87404,93,2966,9534
0.39,0.9694290828724862,0.9909535198086722,0.7624,0.8617805308134014,87410,87,2970,9530
0.4,0.9695090852725582,0.9923934562884235,0.76192,0.8620174684346291,87424,73,2976,9524
0.41,0.9696290888726662,0.9941514360313316,0.76152,0.8624235560588902,87441,56,2981,9519
0.42,0.9696790903727112,0.995291902071563,0.76104,0.862544201650195,87452,45,2987,9513
0.43,0.9696990909727292,0.9958115183246073,0.7608,0.8625850340136054,87457,40,2990,9510
0.44,0.9696990909727292,0.9967477968946706,0.76008,0.8624727668845316,87466,31,2999,9501
0.45,0.9697290918727561,0.9976883471682253,0.7596,0.8625153290639053,87475,22,3005,9495
0.46,0.9697090912727382,0.9983163211617384,0.75896,0.8623369540517202,87481,16,3013,9487
0.47,0.9697590927727832,0.9989469250210615,0.75888,0.8625204582651391,87487,10,3014,9486
0.48,0.9697290918727561,0.9992621482028038,0.7584,0.8623277391185701,87490,7,3020,9480
0.49,0.9697190915727472,0.9993673555461831,0.75824,0.8622634643377002,87491,6,3022,9478
0.5,0.9697190915727472,0.9994726850875343,0.75816,0.8622509325812027,87492,5,3023,9477
0.51,0.9696990909727292,0.9994725738396625,0.758,0.8621474067333941,87492,5,3025,9475
0.52,0.9696990909727292,0.9994725738396625,0.758,0.8621474067333941,87492,5,3025,9475
0.53,0.9696690900727022,0.9994724068798143,0.75776,0.8619920826318422,87492,5,3028,9472
0.54,0.9696590897726932,0.9994723512030392,0.75768,0.8619402985074628,87492,5,3029,9471
0.55,0.9696290888726662,0.9994721841021852,0.75744,0.8617849178537295,87492,5,3032,9468
0.56,0.9696090882726481,0.9994720726428044,0.75728,0.8616813071776432,87492,5,3034,9466
0.57,0.9695990879726392,0.9994720168954594,0.7572,0.8616294947655895,87492,5,3035,9465
0.58,0.9695790873726212,0.9994719053654415,0.75704,0.8615258557902404,87492,5,3037,9463
0.59,0.9695890876726302,0.9995774796662089,0.75704,0.861565074885055,87493,4,3037,9463
0.6,0.9695890876726302,0.9995774796662089,0.75704,0.861565074885055,87493,4,3037,9463
0.61,0.9695890876726302,0.9995774796662089,0.75704,0.861565074885055,87493,4,3037,9463
0.62,0.9695890876726302,0.9995774796662089,0.75704,0.861565074885055,87493,4,3037,9463
0.63,0.9695890876726302,0.9995774796662089,0.75704,0.861565074885055,87493,4,3037,9463
0.64,0.9695790873726212,0.999577435030636,0.75696,0.8615132477465174,87493,4,3038,9462
0.65,0.9695690870726121,0.9995773903856313,0.75688,0.8614614158889141,87493,4,3039,9461
0.66,0.9695490864725942,0.9995773010673148,0.75672,0.8613577380139325,87493,4,3041,9459
0.67,0.9695390861725852,0.9995772563939971,0.75664,0.8613058919952645,87493,4,3042,9458
0.68,0.9695290858725761,0.9995772117112356,0.75656,0.8612540412549521,87493,4,3043,9457
0.69,0.9695290858725761,0.9995772117112356,0.75656,0.8612540412549521,87493,4,3043,9457
0.7,0.9695290858725761,0.9996828417380272,0.75648,0.861241404435539,87494,3,3044,9456
0.71,0.9694990849725492,0.9996827411167513,0.75624,0.8610858079795957,87494,3,3047,9453
0.72,0.9694490834725041,0.9997883373902,0.75576,0.8608137044967881,87495,2,3053,9447
0.73,0.9694390831724952,1.0,0.75552,0.8607364199781261,87497,0,3056,9444
0.74,0.9694090822724681,1.0,0.75528,0.8605806481017273,87497,0,3059,9441
0.75,0.9693690810724321,1.0,0.75496,0.8603728859917035,87497,0,3063,9437
0.76,0.9693390801724052,1.0,0.75472,0.8602170146804049,87497,0,3066,9434
