threshold,accuracy,precision,recall,f1,tn,fp,fn,tp
0.1,0.43268298048941467,0.17890640880448355,0.98576,0.3028485757121439,30945,56552,178,12322
0.11,0.4411832354970649,0.18097311290227688,0.98432,0.3057350163999603,31813,55684,196,12304
0.12,0.45040351210536317,0.18307356980771528,0.98104,0.30856524583563993,32776,54721,237,12263
0.13,0.46107383221496645,0.18565548247945685,0.97784,0.31206198858776824,33883,53614,277,12223
0.14,0.47338420152604577,0.18862424016871357,0.97312,0.31599729828025147,35173,52324,336,12164
0.15,0.4890346710401312,0.1926513450236514,0.96768,0.32133037576208373,36806,50691,404,12096
0.16,0.5066451993559806,0.1972879684418146,0.96024,0.3273247886555768,38660,48837,497,12003
0.17,0.5250757522725682,0.20258393540161496,0.95336,0.3341605327725201,40589,46908,583,11917
0.18,0.5425562766883006,0.20800028108146093,0.9472,0.34109733085576827,42414,45083,660,11840
0.19,0.5618668560056802,0.21434827032549994,0.93984,0.3490818327687645,44437,43060,752,11748
0.2,0.5817374521235638,0.22136708283450202,0.93192,0.3577537889839227,46523,40974,851,11649
0.21,0.5997679930397912,0.22838702036949313,0.92568,0.366379583306947,48404,39093,929,11571
0.22,0.6168985069552086,0.2353737311596432,0.91824,0.3747000734513997,50210,37287,1022,11478
0.23,0.6347490424712742,0.2434100909984193,0.9116,0.3842263209360353,52078,35419,1105,11395
0.24,0.6542796283888517,0.25290521931886883,0.9036,0.3951995241510821,54131,33366,1205,11295
0.25,0.6748702461073832,0.2640539520845124,0.89584,0.4078822758068041,56287,31210,1302,11198
0.26,0.6959708791263738,0.27668280025946806,0.8872,0.42181735194553266,58505,28992,1410,11090
0.27,0.7167415022450674,0.29085718816905876,0.88032,0.4372479287942304,60668,26829,1496,11004
0.28,0.738402152064562,0.3072994554329731,0.87128,0.454350138712167,62947,24550,1609,10891
0.29,0.7602128063841915,0.3262909377080937,0.8624,0.4734507444332206,65239,22258,1720,10780
0.3,0.7814934448033442,0.3475709162047603,0.8528,0.49386147787815604,67487,20010,1840,10660
0.31,0.8012740382211466,0.37051218998103,0.84376,0.5149148074012595,69578,17919,1953,10547
0.32,0.8193445803374101,0.39492466296590006,0.83664,0.536569097765578,71474,16023,2042,10458
0.33,0.8339550186505595,0.4174378369678925,0.83,0.5554960646784816,73018,14479,2125,10375
0.34,0.8471354140624219,0.44043444796031817,0.824,0.5740400156049712,74411,13086,2200,10300
0.35,0.8581357440723222,0.46197564276048714,0.81936,0.5908278050187481,75569,11928,2258,10242
0.36,0.8687360620818625,0.4850923985521052,0.8148,0.6081323143061859,76686,10811,2315,10185
0.37,0.8778763362900887,0.5072079287215937,0.81064,0.6239916251000677,77652,9845,2367,10133
0.38,0.887236617098513,0.5322886989553656,0.80712,0.6415082342468367,78632,8865,2411,10089
0.39,0.8960968829064871,0.5588333705108186,0.80168,0.6585830704521556,79586,7911,2479,10021
0.4,0.9053171595147854,0.5897466256215961,0.79696,0.6778715296679368,80567,6930,2538,9962
0.41,0.9140374211226336,0.6226901319924576,0.79256,0.6974304822245687,81494,6003,2593,9907
0.42,0.9212176365290958,0.653046357615894,0.78888,0.7145652173913043,82258,5239,2639,9861
0.43,0.9273778213346401,0.6818244931963343,0.78568,0.7300773119238775,82914,4583,2679,9821
0.44,0.9315679470384112,0.7033867836341411,0.78256,0.7408641648047866,83372,4125,2718,9782
0.45,0.9349480484414533,0.7220863895680522,0.77968,0.74977882063315,83746,3751,2754,9746
0.46,0.9377281318439553,0.7380283827881915,0.778,0.7574872453947112,84045,3452,2775,9725
0.47,0.9398881966458994,0.751219512195122,0.77616,0.7634861302380483,84284,3213,2798,9702
0.48,0.9418682560476814,0.7638286120097846,0.7744,0.7690779803757994,84504,2993,2820,9680
0.49,0.9434583037491124,0.774103139013453,0.77336,0.7737313910677125,84676,2821,2833,9667
0.5,0.9453083592507775,0.7865351699405004,0.772,0.7791998062093747,84878,2619,2850,9650
0.51,0.9468684060521816,0.797894387797397,0.77,0.7836990595611285,85059,2438,2875,9625
0.52,0.9486084582537476,0.8108792972379424,0.768,0.7888573893750771,85258,2239,2900,9600
0.53,0.9500385011550346,0.8212878917622881,0.76728,0.7933658697989908,85410,2087,2909,9591
0.54,0.9511985359560787,0.8307291666666666,0.7656,0.7968359700249791,85547,1950,2930,9570
0.55,0.9525085752572577,0.8416042309387395,0.76384,0.8008387502621094,85700,1797,2952,9548
0.56,0.9536786103583107,0.8513754912468738,0.76256,0.8045239702903443,85833,1664,2968,9532
0.57,0.9550086502595078,0.8629229792252563,0.76096,0.808740381754028,85986,1511,2988,9512
0.58,0.9561686850605519,0.8731954022988506,0.75968,0.8124919786096257,86118,1379,3004,9496
0.59,0.9569487084612538,0.880773162345507,0.75824,0.8149262714414685,86214,1283,3022,9478
0.6,0.9578187345620368,0.8893380970289583,0.75672,0.8176867219917012,86320,1177,3041,9459
0.61,0.9585087552626579,0.8961950849226682,0.7556,0.8199140587699119,86403,1094,3055,9445
0.62,0.9591987759632788,0.9032567049808429,0.7544,0.8221447253705317,86487,1010,3070,9430
0.63,0.959838795163855,0.9098550724637681,0.75336,0.8242450765864333,86564,933,3083,9417
0.64,0.9604388131643949,0.9160498636540709,0.75248,0.8262473647224176,86635,862,3094,9406
0.65,0.9609188275648269,0.9215897939156036,0.75128,0.8277655354781842,86698,799,3109,9391
0.66,0.961348840465214,0.9267569437580311,0.75008,0.8291108458239378,86756,741,3124,9376
0.67,0.9616388491654749,0.9311305732484076,0.74848,0.8298740464786234,86805,692,3144,9356
0.68,0.962058861765853,0.936259771497294,0.74736,0.8312127413470949,86861,636,3158,9342
0.69,0.962248867466024,0.940078684555634,0.74552,0.831570963280239,86903,594,3181,9319
0.7,0.962508875266258,0.9437176756921205,0.74448,0.8323420240597469,86942,555,3194,9306
0.71,0.9627088812664379,0.9476370317444116,0.74272,0.8327577701036014,86984,513,3216,9284
0.72,0.962838885166555,0.9505539597866229,0.74128,0.8329737504494786,87015,482,3234,9266
0.73,0.962838885166555,0.9536252840322248,0.73864,0.8324767829771886,87048,449,3267,9233
0.74,0.962958888766663,0.9558457711442786,0.73776,0.8327614231533322,87071,426,3278,9222
0.75,0.963048891466744,0.9590240850797622,0.73584,0.8327373138382147,87104,393,3302,9198
0.76,0.96318889566687,0.9617761022096555,0.73472,0.8330536532269036,87132,365,3316,9184
0.77,0.963248897466924,0.9651101507325814,0.73248,0.8328557784145176,87166,331,3344,9156
0.78,0.963198895966879,0.9670620631222199,0.73048,0.8322851153039833,87186,311,3369,9131
0.79,0.963208896266888,0.9696517942711106,0.72848,0.8319400666940752,87212,285,3394,9106
0.8,0.963178895366861,0.9721567787534804,0.72624,0.8313948163751259,87237,260,3422,9078
0.81,0.963178895366861,0.9754151390985552,0.72368,0.8308992376228529,87269,228,3454,9046
0.82,0.963228896866906,0.9791463017269468,0.7212,0.8306076380890957,87305,192,3485,9015
0.83,0.96308889266678,0.9816293056314926,0.71816,0.8294756294756295,87329,168,3523,8977
0.84,0.963108893266798,0.9850269734669163,0.71576,0.8290784413658898,87361,136,3553,8947
0.85,0.9628888866666,0.9875735049373128,0.71208,0.827499651373588,87385,112,3599,8901
0.86,0.962698880966429,0.9899441340782122,0.7088,0.8261072261072261,87407,90,3640,8860
